PR_type,bonus,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,version
featureBased,0.0,False,0,True,after_each_move,0.01,full,0,0.6
featureBased,0.8500000000000001,True,2,True,after_each_move,2.5,full,1,0.6
featureBased,1.2000000000000002,True,1,True,after_each_move,1.0,full,2,0.6
featureBased,0.8250000000000001,True,2,True,after_each_move,2.5,full,3,0.6
featureBased,0.0,False,1,True,after_each_move,1.0,full,4,0.6
featureBased,0.4495,True,0,True,after_each_move,0.01,full,5,0.6
none,1.6995000000000002,True,3,False,after_each_move,0.01,none,6,0.6
none,1.6,True,4,False,after_each_move,1.0,none,7,0.6
none,0.8500000000000001,True,5,False,after_each_move,2.5,none,8,0.6
featureBased,0.0,False,2,True,after_each_move,2.5,full,9,0.6
featureBased,0.0,True,2,True,after_each_move,2.5,full,10,0.6
none,0.0,False,3,False,after_each_move,0.01,none,11,0.6
none,1.6920000000000002,True,3,False,after_each_move,0.01,none,12,0.6
none,0.0,False,4,False,after_each_move,1.0,none,13,0.6
featureBased,0.8500000000000001,True,2,True,after_each_move,2.5,full,14,0.6
none,2.2920000000000003,True,3,False,after_each_move,0.01,none,15,0.6
featureBased,0.0,False,2,True,after_each_move,2.5,full,16,0.6
featureBased,2.25,True,1,True,after_each_move,1.0,full,17,0.6
none,0.0,False,5,False,after_each_move,2.5,none,18,0.6
featureBased,1.375,True,2,True,after_each_move,2.5,full,19,0.6
featureBased,1.8920000000000003,True,0,True,after_each_move,0.01,full,20,0.6
none,0.1,True,4,False,after_each_move,1.0,none,21,0.6
featureBased,1.3,True,1,True,after_each_move,1.0,full,22,0.6
featureBased,1.8420000000000003,True,0,True,after_each_move,0.01,full,23,0.6
none,0.0,False,4,False,after_each_move,1.0,none,24,0.6
featureBased,2.15,True,1,True,after_each_move,1.0,full,25,0.6
featureBased,0.8945000000000001,True,0,True,after_each_move,0.01,full,26,0.6
none,1.3250000000000002,True,5,False,after_each_move,2.5,none,27,0.6
none,1.75,True,4,False,after_each_move,1.0,none,28,0.6
featureBased,2.5,True,1,True,after_each_move,1.0,full,29,0.6
none,1.1,True,5,False,after_each_move,2.5,none,30,0.6
featureBased,0.0,False,0,True,after_each_move,0.01,full,31,0.6
featureBased,0.35000000000000003,True,2,True,after_each_move,2.5,full,32,0.6
none,0.6000000000000001,True,5,False,after_each_move,2.5,none,33,0.6
none,0.0,False,5,False,after_each_move,2.5,none,34,0.6
featureBased,1.8920000000000003,True,0,True,after_each_move,0.01,full,35,0.6
none,1.9500000000000002,True,5,False,after_each_move,2.5,none,36,0.6
featureBased,1.895,True,0,True,after_each_move,0.01,full,37,0.6
none,1.225,True,5,False,after_each_move,2.5,none,38,0.6
featureBased,2.2920000000000003,True,0,True,after_each_move,0.01,full,39,0.6
none,0.0,False,5,False,after_each_move,2.5,none,40,0.6
none,1.05,True,4,False,after_each_move,1.0,none,41,0.6
none,0.0,True,5,False,after_each_move,2.5,none,42,0.6
none,2.0935,True,3,False,after_each_move,0.01,none,43,0.6
featureBased,1.55,True,1,True,after_each_move,1.0,full,44,0.6
none,1.05,True,5,False,after_each_move,2.5,none,45,0.6
featureBased,1.7000000000000002,True,1,True,after_each_move,1.0,full,46,0.6
featureBased,0.0,False,2,True,after_each_move,2.5,full,47,0.6
featureBased,2.0460000000000003,True,0,True,after_each_move,0.01,full,48,0.6
none,1.05,True,4,False,after_each_move,1.0,none,49,0.6
none,1.3980000000000001,True,3,False,after_each_move,0.01,none,50,0.6
featureBased,0.2,True,2,True,after_each_move,2.5,full,51,0.6
none,0.0,True,5,False,after_each_move,2.5,none,52,0.6
none,1.6920000000000002,True,3,False,after_each_move,0.01,none,53,0.6
none,0.0,False,5,False,after_each_move,2.5,none,54,0.6
featureBased,0.0,False,0,True,after_each_move,0.01,full,55,0.6
none,0.5,True,4,False,after_each_move,1.0,none,56,0.6
featureBased,1.8920000000000003,True,0,True,after_each_move,0.01,full,57,0.6
none,1.5,True,5,False,after_each_move,2.5,none,58,0.6
featureBased,1.55,True,1,True,after_each_move,1.0,full,59,0.6
none,1.6960000000000002,True,3,False,after_each_move,0.01,none,60,0.6
none,1.6,True,4,False,after_each_move,1.0,none,61,0.6
featureBased,0.0,True,2,True,after_each_move,2.5,full,62,0.6
none,0.9500000000000001,True,5,False,after_each_move,2.5,none,63,0.6
none,1.6920000000000002,True,3,False,after_each_move,0.01,none,64,0.6
none,1.05,True,4,False,after_each_move,1.0,none,65,0.6
none,0.4,True,4,False,after_each_move,1.0,none,66,0.6
none,0.0,True,4,False,after_each_move,1.0,none,67,0.6
none,1.0,True,4,False,after_each_move,1.0,none,68,0.6
none,1.8485,True,3,False,after_each_move,0.01,none,69,0.6
none,0.0,True,5,False,after_each_move,2.5,none,70,0.6
none,1.375,True,5,False,after_each_move,2.5,none,71,0.6
featureBased,1.092,True,0,True,after_each_move,0.01,full,72,0.6
featureBased,0.0,True,2,True,after_each_move,2.5,full,73,0.6
featureBased,0.0,False,0,True,after_each_move,0.01,full,74,0.6
none,0.0,True,4,False,after_each_move,1.0,none,75,0.6
featureBased,0.5,True,2,True,after_each_move,2.5,full,76,0.6
featureBased,0.0,False,0,True,after_each_move,0.01,full,77,0.6
featureBased,0.0,False,0,True,after_each_move,0.01,full,78,0.6
featureBased,2.45,True,1,True,after_each_move,1.0,full,79,0.6
featureBased,1.3,True,2,True,after_each_move,2.5,full,80,0.6
featureBased,0.07500000000000001,True,2,True,after_each_move,2.5,full,81,0.6
none,1.9935,True,3,False,after_each_move,0.01,none,82,0.6
featureBased,0.24700000000000003,True,0,True,after_each_move,0.01,full,83,0.6
none,1.4500000000000002,True,5,False,after_each_move,2.5,none,84,0.6
none,1.6920000000000002,True,3,False,after_each_move,0.01,none,85,0.6
featureBased,0.0,False,0,True,after_each_move,0.01,full,86,0.6
featureBased,1.6920000000000002,True,0,True,after_each_move,0.01,full,87,0.6
none,0.0,True,5,False,after_each_move,2.5,none,88,0.6
featureBased,0.0,False,1,True,after_each_move,1.0,full,89,0.6
none,1.8920000000000003,True,3,False,after_each_move,0.01,none,90,0.6
none,1.25,True,3,False,after_each_move,0.01,none,91,0.6
none,0.0,False,3,False,after_each_move,0.01,none,92,0.6
none,0.0,True,5,False,after_each_move,2.5,none,93,0.6
none,0.55,True,4,False,after_each_move,1.0,none,94,0.6
featureBased,0.0,False,0,True,after_each_move,0.01,full,95,0.6
none,1.6,True,4,False,after_each_move,1.0,none,96,0.6
none,0.0,True,5,False,after_each_move,2.5,none,97,0.6
none,0.0,False,4,False,after_each_move,1.0,none,98,0.6
featureBased,0.8480000000000001,True,0,True,after_each_move,0.01,full,99,0.6
featureBased,2.25,True,1,True,after_each_move,1.0,full,100,0.6
featureBased,2.095,True,0,True,after_each_move,0.01,full,101,0.6
none,1.0,True,4,False,after_each_move,1.0,none,102,0.6
featureBased,2.4000000000000004,True,1,True,after_each_move,1.0,full,103,0.6
featureBased,1.8920000000000003,True,0,True,after_each_move,0.01,full,104,0.6
featureBased,1.075,True,2,True,after_each_move,2.5,full,105,0.6
featureBased,1.2000000000000002,True,1,True,after_each_move,1.0,full,106,0.6
none,0.30000000000000004,True,3,False,after_each_move,0.01,none,107,0.6
featureBased,0.7000000000000001,True,1,True,after_each_move,1.0,full,108,0.6
featureBased,0.5,True,1,True,after_each_move,1.0,full,109,0.6
none,0.0,False,3,False,after_each_move,0.01,none,110,0.6
none,1.35,True,4,False,after_each_move,1.0,none,111,0.6
none,1.75,True,4,False,after_each_move,1.0,none,112,0.6
none,2.1,True,4,False,after_each_move,1.0,none,113,0.6
none,1.4000000000000001,True,3,False,after_each_move,0.01,none,114,0.6
none,0.0,True,5,False,after_each_move,2.5,none,115,0.6
