,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,relative_score,n_click,clicks,click_times,path,action_times
0,0,0.01,featureBased,full,1,8,"[8, 0, 0]",27.84,0.5613333333333334,16,"[2, 6, 11, 10, 9, 17, 16, 5, 4, 3, 8, 15, 14, 12, 7, 13]","[3102, 7056, 7903, 8836, 29902, 31481, 32094, 32569, 33424, 34322, 35588, 35983, 36573, 37004, 37440, 37780]","[1, 2, 6, 10]","[15097, 51901, 54027]"
1,0,0.01,featureBased,full,2,5,"[0, 0, 0]",33.84,0.9948387096774195,16,"[3, 4, 5, 2, 7, 12, 13, 10, 6, 11, 17, 9, 16, 15, 8, 14]","[2296, 3705, 4534, 5189, 5782, 6208, 6669, 7086, 7442, 7893, 8324, 8857, 9308, 9804, 10182, 10760]","[1, 4, 8, 14]","[19380, 23839, 24816]"
2,0,0.01,featureBased,full,3,7,"[0, 0, 0]",33.84,0.9948387096774195,16,"[3, 2, 5, 4, 6, 10, 11, 17, 9, 16, 15, 8, 14, 12, 7, 13]","[2575, 3116, 3660, 4210, 4815, 5340, 5853, 6483, 6938, 7408, 8094, 8515, 8919, 9458, 10469, 10838]","[1, 5, 9, 16]","[18812, 23295, 24169]"
3,0,0.01,featureBased,full,4,0,"[0, 0, 0]",39.84,0.9961904761904763,16,"[3, 2, 5, 4, 12, 7, 13, 10, 6, 11, 17, 9, 16, 15, 8, 14]","[1149, 1922, 2506, 3038, 3625, 4111, 4696, 5194, 5563, 5937, 6473, 6872, 7392, 7783, 8273, 8617]","[1, 4, 8, 15]","[12369, 18033, 19987]"
4,0,0.01,featureBased,full,5,1,"[0, 0, 0]",45.84,0.996279069767442,16,"[2, 6, 10, 11, 5, 9, 17, 16, 4, 8, 14, 15, 3, 7, 12, 13]","[2705, 3145, 3667, 4233, 5199, 5693, 6138, 6712, 8487, 9020, 9585, 10210, 10918, 11521, 12036, 12594]","[1, 5, 9, 16]","[18496, 23227, 26626]"
5,0,0.01,featureBased,full,6,3,"[0, 0, 0]",33.84,0.9951515151515152,16,"[2, 3, 4, 5, 10, 6, 11, 17, 9, 16, 15, 8, 14, 12, 7, 13]","[3176, 3860, 4590, 5129, 5959, 6431, 6880, 7456, 7881, 8359, 9002, 9311, 9665, 10187, 10531, 10894]","[1, 2, 6, 10]","[13608, 18339, 19029]"
6,0,0.01,featureBased,full,7,4,"[0, 0, 0]",41.84,0.9960000000000001,16,"[2, 6, 10, 11, 5, 9, 17, 16, 15, 8, 14, 4, 12, 7, 13, 3]","[5633, 6113, 6814, 7461, 7956, 8414, 8834, 9385, 9965, 10245, 11243, 11792, 12281, 12628, 12917, 13353]","[1, 5, 9, 17]","[16967, 21817, 22998]"
7,0,0.01,featureBased,full,8,6,"[0, 0, 0]",37.84,0.9948387096774195,16,"[3, 7, 12, 13, 2, 6, 10, 11, 5, 9, 17, 16, 4, 8, 15, 14]","[1411, 1778, 2213, 2602, 3123, 3647, 4010, 4648, 5166, 5536, 5874, 6366, 6920, 7308, 7690, 8115]","[1, 2, 6, 11]","[11056, 16005, 20791]"
8,0,0.01,featureBased,full,9,2,"[0, 0, 0]",33.84,0.9944827586206898,16,"[2, 6, 10, 11, 5, 9, 17, 16, 4, 8, 15, 14, 3, 7, 12, 13]","[953, 1349, 1757, 2359, 2997, 3348, 3731, 4319, 4933, 5373, 5746, 6240, 6790, 7115, 7529, 8194]","[1, 2, 6, 10]","[10468, 20593, 22423]"
9,0,0.01,featureBased,full,10,9,"[0, 0, 0]",36.84,0.9951515151515152,16,"[2, 6, 10, 11, 5, 9, 17, 16, 4, 8, 15, 14, 12, 7, 13, 3]","[1461, 1917, 2282, 2764, 3264, 3614, 4019, 4607, 5351, 5847, 6218, 6970, 7393, 7795, 8603, 9182]","[1, 3, 7, 12]","[13275, 17902, 19544]"
10,0,0.01,featureBased,full,11,11,"[0, 0, 0]",37.84,0.9948387096774195,16,"[2, 6, 10, 11, 5, 9, 17, 16, 4, 8, 15, 14, 12, 7, 13, 3]","[1524, 1904, 2381, 3533, 4624, 5163, 5678, 6327, 6844, 7304, 7670, 8112, 8962, 9548, 9902, 10363]","[1, 2, 6, 11]","[12931, 17185, 18536]"
