,pid,info_cost,PR_type,message,trial_index,trial_i,score,relative_score,n_click,early_click
0,0,1.0,0,0,1,11,-2.0,-0.1836734693877551,9,9.0
1,0,1.0,0,0,2,0,17.0,0.27450980392156865,4,1.0
2,0,1.0,0,0,3,1,34.0,0.8823529411764706,10,10.0
3,0,1.0,0,0,4,7,24.0,0.45,10,10.0
4,0,1.0,0,0,5,3,2.0,0.2608695652173913,8,8.0
5,0,1.0,0,0,6,5,29.0,0.8367346938775511,8,8.0
6,0,1.0,0,0,7,9,29.0,0.7,12,12.0
7,0,1.0,0,0,8,10,30.0,0.7297297297297297,10,10.0
8,0,1.0,0,0,9,4,33.0,0.7631578947368421,9,9.0
9,0,1.0,0,0,10,8,39.0,0.75,11,11.0
10,0,1.0,0,0,11,2,26.0,0.8709677419354839,8,8.0
11,0,1.0,0,0,12,6,46.0,0.8113207547169812,10,10.0
12,2,0.01,1,1,1,1,45.9,0.9976744186046511,10,10.0
13,2,0.01,1,1,2,0,39.92,0.9980952380952381,8,8.0
14,2,0.01,1,1,3,5,33.88,0.9961290322580646,12,12.0
15,2,0.01,1,1,4,11,37.86,0.9954838709677419,14,14.0
16,2,0.01,1,1,5,4,41.86,0.9964999999999999,14,14.0
17,2,0.01,1,1,6,10,21.86,0.9936363636363637,14,14.0
18,2,0.01,1,1,7,7,33.85,0.9951612903225807,15,15.0
19,2,0.01,1,1,8,8,40.88,0.9960000000000001,12,12.0
20,2,0.01,1,1,9,6,37.85,0.9951612903225807,15,15.0
21,2,0.01,1,1,10,2,33.87,0.9955172413793103,13,13.0
22,2,0.01,1,1,11,9,36.84,0.9951515151515152,16,16.0
23,2,0.01,1,1,12,3,33.85,0.9954545454545455,15,15.0
24,3,2.5,1,1,1,1,0.5,0.48333333333333334,5,4.0
25,3,2.5,1,1,2,4,22.0,0.43333333333333335,4,4.0
26,3,2.5,1,1,3,0,-4.0,0.05555555555555555,2,2.0
27,3,2.5,1,1,4,8,30.0,0.7666666666666667,2,1.0
28,3,2.5,1,1,5,3,-5.0,0.6923076923076923,2,2.0
29,3,2.5,1,1,6,5,25.0,0.7666666666666667,0,0.0
30,3,2.5,1,1,7,9,41.5,0.875,1,1.0
31,3,2.5,1,1,8,11,2.0,0.0,0,0.0
32,3,2.5,1,1,9,10,26.5,0.9242424242424242,1,1.0
33,3,2.5,1,1,10,7,9.0,0.375,0,0.0
34,3,2.5,1,1,11,2,5.0,0.3,0,0.0
35,3,2.5,1,1,12,6,17.0,0.9523809523809523,0,0.0
36,4,1.0,1,1,1,10,10.0,0.1891891891891892,3,0.0
37,4,1.0,1,1,2,11,49.0,0.8571428571428571,7,4.0
38,4,1.0,1,1,3,7,47.0,0.8333333333333334,10,8.0
39,4,1.0,1,1,4,0,42.0,0.7647058823529411,12,12.0
40,4,1.0,1,1,5,9,29.0,0.7,12,12.0
41,4,1.0,1,1,6,8,38.0,0.7272727272727273,12,12.0
42,4,1.0,1,1,7,1,31.0,0.8470588235294118,13,13.0
43,4,1.0,1,1,8,6,46.0,0.8113207547169812,10,10.0
44,4,1.0,1,1,9,2,23.0,0.8225806451612904,11,11.0
45,4,1.0,1,1,10,4,13.0,0.23684210526315788,13,13.0
46,4,1.0,1,1,11,3,24.0,0.7391304347826086,12,10.0
47,4,1.0,1,1,12,5,21.0,0.673469387755102,16,16.0
48,5,0.01,1,1,1,0,10.94,0.3080952380952381,6,4.0
49,5,0.01,1,1,2,3,6.94,0.18000000000000002,6,4.0
50,5,0.01,1,1,3,9,28.92,0.7551515151515152,8,6.0
51,5,0.01,1,1,4,5,33.84,0.9948387096774195,16,16.0
52,5,0.01,1,1,5,8,40.84,0.9946666666666668,16,16.0
53,5,0.01,1,1,6,11,37.84,0.9948387096774195,16,16.0
54,5,0.01,1,1,7,2,33.84,0.9944827586206898,16,16.0
55,5,0.01,1,1,8,6,37.84,0.9948387096774195,16,16.0
56,5,0.01,1,1,9,7,33.84,0.9948387096774195,16,16.0
57,5,0.01,1,1,10,1,45.84,0.996279069767442,16,16.0
58,5,0.01,1,1,11,4,41.84,0.9960000000000001,16,16.0
59,5,0.01,1,1,12,10,21.84,0.9927272727272727,16,16.0
60,6,2.5,1,1,1,5,16.5,0.48333333333333334,5,4.0
61,6,2.5,1,1,2,8,25.0,0.6,4,2.0
62,6,2.5,1,1,3,3,-5.0,0.6923076923076923,2,1.0
63,6,2.5,1,1,4,2,5.0,0.3,0,0.0
64,6,2.5,1,1,5,4,32.0,0.7666666666666667,0,0.0
65,6,2.5,1,1,6,7,21.0,0.75,0,0.0
66,6,2.5,1,1,7,6,18.0,1.0,0,0.0
67,6,2.5,1,1,8,10,-4.0,0.0,0,0.0
68,6,2.5,1,1,9,1,8.0,0.7333333333333333,2,2.0
69,6,2.5,1,1,10,9,36.0,0.6,2,1.0
70,6,2.5,1,1,11,11,17.5,0.484375,1,0.0
71,6,2.5,1,1,12,0,7.5,0.6944444444444444,1,0.0
73,8,0.01,1,1,1,2,31.92,0.9282758620689656,8,8.0
74,8,0.01,1,1,2,6,37.96,0.9987096774193549,4,1.0
75,8,0.01,1,1,3,8,40.97,0.999,3,3.0
76,8,0.01,1,1,4,7,33.87,0.9958064516129032,13,13.0
77,8,0.01,1,1,5,11,37.96,0.9987096774193549,4,4.0
78,8,0.01,1,1,6,4,8.99,0.17475000000000002,1,1.0
79,8,0.01,1,1,7,3,33.92,0.9975757575757577,8,8.0
