action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,106333,,,106334,,,instructions,"[{""page_index"":0,""viewing_time"":61210},{""page_index"":1,""viewing_time"":15578},{""page_index"":0,""viewing_time"":11139},{""page_index"":1,""viewing_time"":6775},{""page_index"":2,""viewing_time"":11629}]",0
,,,,,,,,,,,,13949,,,152744,,,instructions,"[{""page_index"":0,""viewing_time"":3405},{""page_index"":1,""viewing_time"":6508},{""page_index"":2,""viewing_time"":4035}]",0
,,,,,,,,,,,,49217,,,49218,,,instructions,"[{""page_index"":0,""viewing_time"":13083},{""page_index"":1,""viewing_time"":10659},{""page_index"":2,""viewing_time"":12721},{""page_index"":1,""viewing_time"":206},{""page_index"":0,""viewing_time"":7968},{""page_index"":1,""viewing_time"":2039},{""page_index"":2,""viewing_time"":2540}]",1
,,,,,,,,,,,,50195,,,123280,,,instructions,"[{""page_index"":0,""viewing_time"":34050},{""page_index"":1,""viewing_time"":8330},{""page_index"":2,""viewing_time"":7815}]",1
,,,,,,,,,,,,24694,,,24696,,,instructions,"[{""page_index"":0,""viewing_time"":10611},{""page_index"":1,""viewing_time"":5845},{""page_index"":2,""viewing_time"":8237}]",2
,,,,,,,,,,,,79603,,,79604,,,instructions,"[{""page_index"":0,""viewing_time"":40149},{""page_index"":1,""viewing_time"":23905},{""page_index"":2,""viewing_time"":15548}]",3
,,,,,,,,,,,,5395,,,106411,,,instructions,"[{""page_index"":0,""viewing_time"":2357},{""page_index"":1,""viewing_time"":1295},{""page_index"":2,""viewing_time"":1742}]",3
,,,,,,,,,,,,95563,,,95566,,,instructions,"[{""page_index"":0,""viewing_time"":37323},{""page_index"":1,""viewing_time"":31372},{""page_index"":2,""viewing_time"":26865}]",4
,,,,,,,,,,,,96193,,,96195,,,instructions,"[{""page_index"":0,""viewing_time"":41219},{""page_index"":1,""viewing_time"":39090},{""page_index"":2,""viewing_time"":15883}]",5
,,,,,,,,,,,,57356,,,57358,,,instructions,"[{""page_index"":0,""viewing_time"":36466},{""page_index"":1,""viewing_time"":9328},{""page_index"":2,""viewing_time"":11562}]",6
,,,,,,,,,,,,91094,,,91095,,,instructions,"[{""page_index"":0,""viewing_time"":52398},{""page_index"":1,""viewing_time"":29918},{""page_index"":2,""viewing_time"":8777}]",7
,,,,,,,,,,,,145770,,,145770,,,instructions,"[{""page_index"":0,""viewing_time"":34173},{""page_index"":1,""viewing_time"":37716},{""page_index"":2,""viewing_time"":73879}]",8
,,,,,,,,,,,,376124,,,376126,,,instructions,"[{""page_index"":0,""viewing_time"":141897},{""page_index"":1,""viewing_time"":182845},{""page_index"":2,""viewing_time"":51380}]",9
,,,,,,,,,,,,59622,,,478122,,,instructions,"[{""page_index"":0,""viewing_time"":20124},{""page_index"":1,""viewing_time"":8262},{""page_index"":2,""viewing_time"":13528},{""page_index"":1,""viewing_time"":12616},{""page_index"":2,""viewing_time"":5090}]",9
,,,,,,,,,,,,51068,,,548541,,,instructions,"[{""page_index"":0,""viewing_time"":21114},{""page_index"":1,""viewing_time"":21203},{""page_index"":2,""viewing_time"":8750}]",9
,,,,,,,,,,,,38949,,,614860,,,instructions,"[{""page_index"":0,""viewing_time"":22203},{""page_index"":1,""viewing_time"":15858},{""page_index"":2,""viewing_time"":888}]",9
,,,,,,,,,,,,165388,,,165390,,,instructions,"[{""page_index"":0,""viewing_time"":54928},{""page_index"":1,""viewing_time"":2319},{""page_index"":2,""viewing_time"":1568},{""page_index"":1,""viewing_time"":464},{""page_index"":0,""viewing_time"":54757},{""page_index"":1,""viewing_time"":32176},{""page_index"":2,""viewing_time"":19175}]",10
,,,,,,,,,,,,29041,,,29042,,,instructions,"[{""page_index"":0,""viewing_time"":12387},{""page_index"":1,""viewing_time"":8350},{""page_index"":2,""viewing_time"":8303}]",11
,,,,,,,,,,,,26136,,,93925,,,instructions,"[{""page_index"":0,""viewing_time"":14645},{""page_index"":1,""viewing_time"":6090},{""page_index"":2,""viewing_time"":5401}]",11
,,,,,,,,,,,,13374,,,122007,,,instructions,"[{""page_index"":0,""viewing_time"":6800},{""page_index"":1,""viewing_time"":5580},{""page_index"":2,""viewing_time"":993}]",11
,,,,,,,,,,,,319083,,,319085,,,instructions,"[{""page_index"":0,""viewing_time"":252118},{""page_index"":1,""viewing_time"":38193},{""page_index"":2,""viewing_time"":28768}]",12
,,,,,,,,,,,,755576,,,755577,,,instructions,"[{""page_index"":0,""viewing_time"":628604},{""page_index"":1,""viewing_time"":100367},{""page_index"":2,""viewing_time"":26603}]",13
,,,,,,,,,,,,71955,,,71956,,,instructions,"[{""page_index"":0,""viewing_time"":25122},{""page_index"":1,""viewing_time"":27689},{""page_index"":2,""viewing_time"":19144}]",14
,,,,,,,,,,,,79820,,,79821,,,instructions,"[{""page_index"":0,""viewing_time"":28146},{""page_index"":1,""viewing_time"":34853},{""page_index"":2,""viewing_time"":16820}]",15
,,,,,,,,,,,,105837,,,105837,,,instructions,"[{""page_index"":0,""viewing_time"":43828},{""page_index"":1,""viewing_time"":35715},{""page_index"":2,""viewing_time"":26293}]",16
,,,,,,,,,,,,93894,,,93895,,,instructions,"[{""page_index"":0,""viewing_time"":38386},{""page_index"":1,""viewing_time"":33089},{""page_index"":2,""viewing_time"":22419}]",17
,,,,,,,,,,,,24588,,,24592,,,instructions,"[{""page_index"":0,""viewing_time"":12587},{""page_index"":1,""viewing_time"":6208},{""page_index"":2,""viewing_time"":5791}]",18
,,,,,,,,,,,,23692,,,61721,,,instructions,"[{""page_index"":0,""viewing_time"":9966},{""page_index"":1,""viewing_time"":8868},{""page_index"":2,""viewing_time"":4856}]",18
,,,,,,,,,,,,63597,,,63597,,,instructions,"[{""page_index"":0,""viewing_time"":33556},{""page_index"":1,""viewing_time"":14066},{""page_index"":2,""viewing_time"":15974}]",19
,,,,,,,,,,,,9122,,,121439,,,instructions,"[{""page_index"":0,""viewing_time"":5133},{""page_index"":1,""viewing_time"":2965},{""page_index"":2,""viewing_time"":1023}]",19
,,,,,,,,,,,,203205,,,203206,,,instructions,"[{""page_index"":0,""viewing_time"":132674},{""page_index"":1,""viewing_time"":47550},{""page_index"":2,""viewing_time"":22980}]",20
,,,,,,,,,,,,4102,,,285704,,,instructions,"[{""page_index"":0,""viewing_time"":2149},{""page_index"":1,""viewing_time"":877},{""page_index"":2,""viewing_time"":1076}]",20
,,,,,,,,,,,,73057,,,73057,,,instructions,"[{""page_index"":0,""viewing_time"":39941},{""page_index"":1,""viewing_time"":13744},{""page_index"":2,""viewing_time"":19371}]",21
,,,,,,,,,,,,17323,,,168638,,,instructions,"[{""page_index"":0,""viewing_time"":14078},{""page_index"":1,""viewing_time"":2176},{""page_index"":2,""viewing_time"":1068}]",21
,,,,,,,,,,,,152474,,,152477,,,instructions,"[{""page_index"":0,""viewing_time"":29692},{""page_index"":1,""viewing_time"":79745},{""page_index"":2,""viewing_time"":43035}]",22
,,,,,,,,,,,,79227,,,79228,,,instructions,"[{""page_index"":0,""viewing_time"":37481},{""page_index"":1,""viewing_time"":25274},{""page_index"":2,""viewing_time"":16471}]",23
,,,,,,,,,,,,215566,,,215567,,,instructions,"[{""page_index"":0,""viewing_time"":107972},{""page_index"":1,""viewing_time"":62034},{""page_index"":2,""viewing_time"":45559}]",24
,,,,,,,,,,,,13299,,,13301,,,instructions,"[{""page_index"":0,""viewing_time"":8677},{""page_index"":1,""viewing_time"":2139},{""page_index"":2,""viewing_time"":2481}]",25
,,,,,,,,,,,,12865,,,57387,,,instructions,"[{""page_index"":0,""viewing_time"":2504},{""page_index"":1,""viewing_time"":4551},{""page_index"":2,""viewing_time"":5807}]",25
,,,,,,,,,,,,238538,,,238538,,,instructions,"[{""page_index"":0,""viewing_time"":28227},{""page_index"":1,""viewing_time"":194328},{""page_index"":2,""viewing_time"":15981}]",26
,,,,,,,,,,,,10995,,,267715,,,instructions,"[{""page_index"":0,""viewing_time"":5709},{""page_index"":1,""viewing_time"":3497},{""page_index"":2,""viewing_time"":1789}]",26
,,,,,,,,,,,,123849,,,123854,,,instructions,"[{""page_index"":0,""viewing_time"":68387},{""page_index"":1,""viewing_time"":42164},{""page_index"":2,""viewing_time"":13295}]",27
,,,,,,,,,,,,150814,,,150815,,,instructions,"[{""page_index"":0,""viewing_time"":69048},{""page_index"":1,""viewing_time"":58205},{""page_index"":2,""viewing_time"":23560}]",28
,,,,,,,,,,,,420854,,,420855,,,instructions,"[{""page_index"":0,""viewing_time"":32447},{""page_index"":1,""viewing_time"":30183},{""page_index"":2,""viewing_time"":358224}]",29
,,,,,,,,,,,,50417,,,50419,,,instructions,"[{""page_index"":0,""viewing_time"":20219},{""page_index"":1,""viewing_time"":17979},{""page_index"":2,""viewing_time"":12216}]",30
,,,,,,,,,,,,447044,,,447046,,,instructions,"[{""page_index"":0,""viewing_time"":39033},{""page_index"":1,""viewing_time"":36577},{""page_index"":2,""viewing_time"":74581},{""page_index"":1,""viewing_time"":535},{""page_index"":0,""viewing_time"":26341},{""page_index"":1,""viewing_time"":69296},{""page_index"":2,""viewing_time"":200680}]",31
,,,,,,,,,,,,27129,,,27132,,,instructions,"[{""page_index"":0,""viewing_time"":9421},{""page_index"":1,""viewing_time"":5455},{""page_index"":2,""viewing_time"":12249}]",32
,,,,,,,,,,,,42905,,,90194,,,instructions,"[{""page_index"":0,""viewing_time"":22829},{""page_index"":1,""viewing_time"":12034},{""page_index"":2,""viewing_time"":8039}]",32
