action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[6707, 11747, 13554]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6706, 4515, 1285]",-15.0,,225211,1.0,,mouselab-mdp,,0
"[12374, 14886, 17157]","[u'down', u'down', u'right']",,,[],[],"[u'0', 4, 8, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'1', u'4', u'3'], u'time': [2426, 6849, 10015, 11630]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12374, 1987, 1739]",21.0,,296564,2.0,,mouselab-mdp,,0
"[6296, 8352, 22536]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'9', u'10'], u'time': [2448, 10121, 11089]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[6296, 1553, 13670]",12.0,,346106,3.0,,mouselab-mdp,,0
"[17407, 18751, 20535]","[u'up', u'up', u'left']",,,[],[],"[u'0', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'4', u'1', u'7', u'5', u'6', u'11'], u'time': [1233, 2709, 3576, 4478, 7276, 9435, 13701, 15753]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[17407, 819, 1236]",27.0,,403899,4.0,,mouselab-mdp,,0
"[18173, 19712, 20662]","[u'up', u'up', u'left']",,,[],[],"[u'0', 2, 6, 11]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'1', u'2', u'7', u'5', u'8', u'6', u'12'], u'time': [4065, 5119, 5844, 6617, 8755, 10043, 12463, 14057, 15052]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18173, 1015, 435]",-4.0,,485034,5.0,,mouselab-mdp,,0
"[40784, 42024, 43360]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2', u'1', u'5', u'3', u'7', u'9', u'10', u'14', u'13', u'6', u'12', u'11', u'8', u'16', u'15'], u'time': [2689, 4347, 5086, 8524, 10652, 11859, 13938, 14696, 16101, 17014, 18682, 19619, 20759, 24703, 25375, 26540]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[40784, 715, 821]",-21.0,,535931,6.0,,mouselab-mdp,,0
"[12731, 13591, 14324]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'1', u'3', u'2', u'4', u'6', u'5', u'8', u'9', u'10'], u'time': [1089, 1957, 2813, 3615, 6882, 7752, 9449, 11497, 12176]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12731, 345, 227]",6.0,,679695,7.0,,mouselab-mdp,,0
"[7418, 11947, 18955]","[u'down', u'down', u'right']",,,[],[],"[u'0', 4, 8, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'16', u'15'], u'time': [2998, 4432, 15371, 17222]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7418, 4021, 6500]",1.0,,754200,8.0,,mouselab-mdp,,0
"[4130, 5370, 8129]","[u'down', u'down', u'right']",,,[],[],"[u'0', 4, 8, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4'], u'time': [1506, 2241]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4130, 730, 2206]",-7.0,,808751,9.0,,mouselab-mdp,,0
"[9162, 10179, 11338]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'1', u'3', u'5'], u'time': [1968, 3826, 4607, 5550, 7791]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9162, 502, 627]",0.0,,856142,10.0,,mouselab-mdp,,0
"[20936, 22481, 24177]","[u'left', u'left', u'up']",,,[],[],"[u'0', 3, 7, 13]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'1', u'5', u'3', u'7', u'4', u'9', u'10', u'12', u'11', u'13'], u'time': [2375, 4086, 5074, 5991, 7883, 9155, 11576, 14484, 15282, 16438, 17296, 19390]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[20936, 997, 1168]",3.0,,944304,11.0,,mouselab-mdp,,0
"[10087, 11070, 12144]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'12', u'1', u'5', u'9'], u'time': [1820, 3275, 4648, 5457, 6294, 7028, 8496]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10087, 471, 512]",18.0,,1004113,12.0,,mouselab-mdp,,0
"[15736, 16512, 17424]","[u'right', u'right', u'up']",,,[],[],"[u'0', 1, 5, 9]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'3', u'7', u'1', u'5', u'9'], u'time': [1426, 3410, 5396, 6441, 10719, 11541, 13760]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[15736, 179, 388]",18.0,,1235904,13.0,,mouselab-mdp,,0
