action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[40349, 49408, 50584]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, u'__', -4, u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, 4, -4, u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, -4, u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, -4, u'__', 12], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, u'__', u'__', -4, u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, -4, u'__', -4, u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, -4, 4, -4, u'__', u'__', u'__', u'__', 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, -4, 4, -4, u'__', u'__', u'__', 4, 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, -4, 4, -4, u'__', -4, u'__', 4, 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, -4, 4, -4, -12, -4, u'__', 4, 4, 4, 4, -4, 12, -4, -4, 12], [0, 4, -4, 4, -4, -12, -4, 4, 4, 4, 4, 4, -4, 12, -4, -4, 12]]",,[],[],[],"[u'0', 1, 2, 3]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 10, 12, 11, 13, 14, 16, 15, 1, 4, 2, 3, 8, 6, 5, 7], u'time': [3546, 5281, 6767, 11208, 13661, 15010, 16254, 17572, 20097, 21312, 23386, 24678, 26598, 28210, 29510, 30743]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[40348, 8540, 670]",-12.0,167536,1.0,,mouselab-mdp,,0
"[2811, 4704, 6879]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 9, 10, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2810, 1398, 1673]",12.0,222724,2.0,,mouselab-mdp,,0
"[1910, 5403, 7059]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 9, 10, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1910, 2993, 1149]",20.0,296714,3.0,,mouselab-mdp,,0
"[1096, 2710, 4333]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 9, 10, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1096, 1114, 1120]",-20.0,361712,4.0,,mouselab-mdp,,0
"[2329, 4095, 5082]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 1, 2, 3]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2328, 1244, 481]",-4.0,420491,5.0,,mouselab-mdp,,0
"[4050, 5964, 7295]","[u'3', u'3', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 13, 14, 16]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4049, 1391, 840]",-20.0,472911,6.0,,mouselab-mdp,,0
"[2031, 3546, 5129]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 9, 10, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2031, 997, 1063]",20.0,546962,7.0,,mouselab-mdp,,0
"[1573, 3242, 4629]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 1, 2, 3]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1573, 1161, 864]",36.0,593875,8.0,,mouselab-mdp,,0
"[1591, 2866, 3797]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 9, 10, 12]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1590, 768, 434]",4.0,649278,9.0,,mouselab-mdp,,0
"[1635, 2622, 3860]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[],[],[],"[u'0', 1, 2, 3]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[1634, 463, 735]",4.0,766136,10.0,,mouselab-mdp,,0
