action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,18051,,18053,,,instructions,"[{""page_index"":0,""viewing_time"":9302},{""page_index"":1,""viewing_time"":3915},{""page_index"":2,""viewing_time"":4832}]",0
,,,,,,,,,,,,,24160,,59914,,,instructions,"[{""page_index"":0,""viewing_time"":13439},{""page_index"":1,""viewing_time"":6},{""page_index"":0,""viewing_time"":5},{""page_index"":1,""viewing_time"":6896},{""page_index"":2,""viewing_time"":3813}]",0
,,,,,,,,,,,,,147032,,147033,,,instructions,"[{""page_index"":0,""viewing_time"":108567},{""page_index"":1,""viewing_time"":23488},{""page_index"":2,""viewing_time"":14976}]",1
,,,,,,,,,,,,,142276,,142278,,,instructions,"[{""page_index"":0,""viewing_time"":75389},{""page_index"":1,""viewing_time"":48661},{""page_index"":2,""viewing_time"":18225}]",2
,,,,,,,,,,,,,30078,,30079,,,instructions,"[{""page_index"":0,""viewing_time"":4154},{""page_index"":1,""viewing_time"":13845},{""page_index"":2,""viewing_time"":12078}]",3
,,,,,,,,,,,,,15862,,71545,,,instructions,"[{""page_index"":0,""viewing_time"":9058},{""page_index"":1,""viewing_time"":3899},{""page_index"":2,""viewing_time"":2904}]",3
,,,,,,,,,,,,,13837,,99528,,,instructions,"[{""page_index"":0,""viewing_time"":2191},{""page_index"":1,""viewing_time"":9872},{""page_index"":2,""viewing_time"":1774}]",3
,,,,,,,,,,,,,208037,,208039,,,instructions,"[{""page_index"":0,""viewing_time"":158517},{""page_index"":1,""viewing_time"":19411},{""page_index"":2,""viewing_time"":30108}]",4
,,,,,,,,,,,,,79689,,79689,,,instructions,"[{""page_index"":0,""viewing_time"":30499},{""page_index"":1,""viewing_time"":33434},{""page_index"":2,""viewing_time"":15754}]",5
,,,,,,,,,,,,,92320,,92322,,,instructions,"[{""page_index"":0,""viewing_time"":39083},{""page_index"":1,""viewing_time"":31922},{""page_index"":2,""viewing_time"":21313}]",6
,,,,,,,,,,,,,44132,,44132,,,instructions,"[{""page_index"":0,""viewing_time"":9669},{""page_index"":1,""viewing_time"":17182},{""page_index"":2,""viewing_time"":17280}]",7
,,,,,,,,,,,,,161059,,161062,,,instructions,"[{""page_index"":0,""viewing_time"":59330},{""page_index"":1,""viewing_time"":51720},{""page_index"":2,""viewing_time"":50007}]",8
,,,,,,,,,,,,,12990,,12992,,,instructions,"[{""page_index"":0,""viewing_time"":5462},{""page_index"":1,""viewing_time"":3687},{""page_index"":2,""viewing_time"":3841}]",9
,,,,,,,,,,,,,208293,,208295,,,instructions,"[{""page_index"":0,""viewing_time"":83959},{""page_index"":1,""viewing_time"":79881},{""page_index"":2,""viewing_time"":44451}]",10
,,,,,,,,,,,,,242287,,242288,,,instructions,"[{""page_index"":0,""viewing_time"":98390},{""page_index"":1,""viewing_time"":120456},{""page_index"":2,""viewing_time"":23439}]",11
,,,,,,,,,,,,,102390,,396583,,,instructions,"[{""page_index"":0,""viewing_time"":36892},{""page_index"":1,""viewing_time"":40024},{""page_index"":2,""viewing_time"":25473}]",11
,,,,,,,,,,,,,33294,,469485,,,instructions,"[{""page_index"":0,""viewing_time"":19669},{""page_index"":1,""viewing_time"":7305},{""page_index"":2,""viewing_time"":6319}]",11
,,,,,,,,,,,,,71566,,589255,,,instructions,"[{""page_index"":0,""viewing_time"":37629},{""page_index"":1,""viewing_time"":18760},{""page_index"":2,""viewing_time"":15176}]",11
,,,,,,,,,,,,,11354,,11355,,,instructions,"[{""page_index"":0,""viewing_time"":8128},{""page_index"":1,""viewing_time"":1979},{""page_index"":2,""viewing_time"":1246}]",12
,,,,,,,,,,,,,22447,,55363,,,instructions,"[{""page_index"":0,""viewing_time"":8935},{""page_index"":1,""viewing_time"":9392},{""page_index"":2,""viewing_time"":4120}]",12
,,,,,,,,,,,,,29089,,29091,,,instructions,"[{""page_index"":0,""viewing_time"":24908},{""page_index"":1,""viewing_time"":3075},{""page_index"":2,""viewing_time"":1103}]",13
,,,,,,,,,,,,,127037,,127039,,,instructions,"[{""page_index"":0,""viewing_time"":31246},{""page_index"":1,""viewing_time"":33906},{""page_index"":2,""viewing_time"":24408},{""page_index"":1,""viewing_time"":14838},{""page_index"":0,""viewing_time"":19749},{""page_index"":1,""viewing_time"":866},{""page_index"":2,""viewing_time"":2024}]",14
,,,,,,,,,,,,,41076,,189064,,,instructions,"[{""page_index"":0,""viewing_time"":14867},{""page_index"":1,""viewing_time"":19936},{""page_index"":2,""viewing_time"":6273}]",14
,,,,,,,,,,,,,71253,,71255,,,instructions,"[{""page_index"":0,""viewing_time"":31349},{""page_index"":1,""viewing_time"":25863},{""page_index"":2,""viewing_time"":14040}]",15
,,,,,,,,,,,,,82663,,82664,,,instructions,"[{""page_index"":0,""viewing_time"":46567},{""page_index"":1,""viewing_time"":18511},{""page_index"":2,""viewing_time"":17584}]",16
,,,,,,,,,,,,,141561,,141564,,,instructions,"[{""page_index"":0,""viewing_time"":66404},{""page_index"":1,""viewing_time"":51889},{""page_index"":2,""viewing_time"":23265}]",17
,,,,,,,,,,,,,129146,,129146,,,instructions,"[{""page_index"":0,""viewing_time"":61110},{""page_index"":1,""viewing_time"":40507},{""page_index"":2,""viewing_time"":27528}]",18
,,,,,,,,,,,,,147185,,147197,,,instructions,"[{""page_index"":0,""viewing_time"":71244},{""page_index"":1,""viewing_time"":42977},{""page_index"":2,""viewing_time"":32960}]",19
,,,,,,,,,,,,,151448,,151448,,,instructions,"[{""page_index"":0,""viewing_time"":34548},{""page_index"":1,""viewing_time"":88665},{""page_index"":2,""viewing_time"":28234}]",20
,,,,,,,,,,,,,198561,,198562,,,instructions,"[{""page_index"":0,""viewing_time"":75026},{""page_index"":1,""viewing_time"":78320},{""page_index"":2,""viewing_time"":45212}]",21
,,,,,,,,,,,,,129426,,129427,,,instructions,"[{""page_index"":0,""viewing_time"":50340},{""page_index"":1,""viewing_time"":39143},{""page_index"":2,""viewing_time"":39943}]",22
,,,,,,,,,,,,,102109,,102109,,,instructions,"[{""page_index"":0,""viewing_time"":53533},{""page_index"":1,""viewing_time"":36705},{""page_index"":2,""viewing_time"":11871}]",23
,,,,,,,,,,,,,74314,,74316,,,instructions,"[{""page_index"":0,""viewing_time"":22518},{""page_index"":1,""viewing_time"":32958},{""page_index"":2,""viewing_time"":18834}]",24
,,,,,,,,,,,,,52591,,52592,,,instructions,"[{""page_index"":0,""viewing_time"":20130},{""page_index"":1,""viewing_time"":13375},{""page_index"":2,""viewing_time"":19085}]",25
,,,,,,,,,,,,,40820,,122917,,,instructions,"[{""page_index"":0,""viewing_time"":29604},{""page_index"":1,""viewing_time"":9788},{""page_index"":2,""viewing_time"":1428}]",25
,,,,,,,,,,,,,2951,,146085,,,instructions,"[{""page_index"":0,""viewing_time"":1648},{""page_index"":1,""viewing_time"":763},{""page_index"":2,""viewing_time"":540}]",25
,,,,,,,,,,,,,129618,,129619,,,instructions,"[{""page_index"":0,""viewing_time"":71193},{""page_index"":1,""viewing_time"":39075},{""page_index"":2,""viewing_time"":19349}]",26
,,,,,,,,,,,,,240598,,240598,,,instructions,"[{""page_index"":0,""viewing_time"":103580},{""page_index"":1,""viewing_time"":87936},{""page_index"":2,""viewing_time"":49081}]",27
