bonus,completed,pid,score,test_idx,version
1.79,True,0,179.0,"[4, 7, 11, 1, 6, 13]",0.98.3
0.0,False,1,,,0.98.3
2.0,True,2,200.0,"[0, 11, 15, 10, 9, 6]",0.98.3
1.4,True,3,140.0,"[8, 14, 15, 6, 7, 11]",0.98.3
0.0,False,4,,,0.98.3
1.43,True,5,143.0,"[5, 11, 13, 9, 8, 14]",0.98.3
1.8,True,6,180.0,"[5, 9, 6, 3, 8, 4]",0.98.3
1.8,True,7,180.0,"[10, 9, 4, 2, 14, 8]",0.98.3
1.99,True,8,199.0,"[11, 13, 12, 4, 1, 5]",0.98.3
1.79,True,9,179.0,"[2, 5, 12, 15, 7, 8]",0.98.3
1.73,True,10,173.0,"[14, 10, 2, 4, 9, 1]",0.98.3
0.0,False,11,,,0.98.3
0.24,True,12,24.0,"[9, 3, 1, 5, 12, 15]",0.98.3
1.75,True,13,175.0,"[7, 4, 14, 9, 8, 5]",0.98.3
0.42,True,14,42.0,"[15, 1, 5, 10, 2, 14]",0.98.3
1.33,True,15,133.0,"[14, 4, 11, 1, 5, 10]",0.98.3
1.74,True,16,174.0,"[6, 4, 8, 7, 12, 1]",0.98.3
1.18,True,17,118.0,"[2, 15, 9, 6, 11, 13]",0.98.3
1.43,True,18,143.0,"[2, 4, 13, 12, 3, 15]",0.98.3
0.0,True,19,-24.0,"[0, 5, 3, 14, 15, 1]",0.98.3
1.22,True,20,122.0,"[1, 6, 0, 12, 10, 2]",0.98.3
1.23,True,21,123.0,"[7, 0, 15, 9, 2, 11]",0.98.3
0.0,False,22,,,0.98.3
1.65,True,23,165.0,"[3, 0, 4, 9, 5, 13]",0.98.3
2.03,True,24,203.0,"[8, 10, 4, 14, 9, 7]",0.98.3
1.98,True,25,198.0,"[5, 2, 10, 15, 9, 4]",0.98.3
1.07,True,26,107.0,"[11, 4, 3, 0, 15, 10]",0.98.3
2.08,True,27,208.0,"[14, 5, 8, 2, 6, 1]",0.98.3
