action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,"{""Q0"":""I would click all the closest routes and then follow the most lucrative routes"",""Q1"":""not to take risks""}",15701,,923772,,,survey-text,,0
,,,,,,,,,,,,"{""Q0"":""I picked two places..If both were negative, i went a different way.I didn't want to spend too much on the cost of finding a route.Most of the paths were going to be money makers."",""Q1"":""I tried a couple of different scenarios for picking two intermediate points to find the one that was going to pay.But it really wasn't very effective.""}",138456,,1075411,,,survey-text,,2
,,,,,,,,,,,,"{""Q0"":""I just tried to make the most money, when I found a good route I stopped looking.\n\nNote: I made a wrong button error on #7, what I did makes no sense, as you will see. You may want to ignore that for purposes of your study. Sorry."",""Q1"":""I stopped checking out the spot I had to go into after a while.""}",62311,,998689,,,survey-text,,3
,,,,,,,,,,,,"{""Q0"":""I looked for a profitable path while trying to minimize how many stops I clicked on."",""Q1"":""I learned to put a reasonable amount of time into thinking of a strategy and then going through with good opportunities early.""}",133653,,1004559,,,survey-text,,5
,,,,,,,,,,,,"{""Q0"":""I looked for profit with the four around me and clicked on paths from there."",""Q1"":""Not really, no""}",36533,,978209,,,survey-text,,6
,,,,,,,,,,,,"{""Q0"":""Started at the ends, and moved from there."",""Q1"":""Yes. If I started on a large red value, I move on to the next one instead.""}",57372,,973347,,,survey-text,,7
,,,,,,,,,,,,"{""Q0"":""I checked to see if I would earn money on my path. First I checked the farthest circle."",""Q1"":""I learned that checking the final destination did not reflect the final outcome. There was money to make along the way.""}",95210,,1139625,,,survey-text,,8
,,,,,,,,,,,,"{""Q0"":""I tried to find out what I could gain in the end and what I would lose on the way there"",""Q1"":""It felt pretty random""}",22461,,1003287,,,survey-text,,9
,,,,,,,,,,,,"{""Q0"":""lots of clicking to see amounts"",""Q1"":""not much!  If I got lucky with first few clicks and found some green, I would just stick with that path""}",90844,,1161771,,,survey-text,,10
,,,,,,,,,,,,"{""Q0"":""Just tried different combinations"",""Q1"":""No - seemed pretty random""}",19965,,1108577,,,survey-text,,12
,,,,,,,,,,,,"{""Q0"":""I tried to find where the best bonuses would be."",""Q1"":""Yes I did""}",17727,,879912,,,survey-text,,13
,,,,,,,,,,,,"{""Q0"":""I continued the same path each time."",""Q1"":""Unfortunately, no.""}",22429,,1021011,,,survey-text,,14
,,,,,,,,,,,,"{""Q0"":""I tried to budget how much I spent on seeing the values in proportion with potential profit."",""Q1"":""Yes.""}",71421,,1004413,,,survey-text,,15
,,,,,,,,,,,,"{""Q0"":""I tried to uncover the circles and decide the highest profit."",""Q1"":""Its best to see what is ahead.""}",23564,,927527,,,survey-text,,16
,,,,,,,,,,,,"{""Q0"":""It was basically a guessing game to be honest. I didn't find a certain pattern that worked."",""Q1"":""Not really, but I had fun playing.""}",49745,,1521446,,,survey-text,,17
,,,,,,,,,,,,"{""Q0"":""I tried to look at the least amount of bubbles and then guess the best route.  That did not go so well"",""Q1"":""It was better look at the prices before guessing""}",59441,,1062465,,,survey-text,,18
,,,,,,,,,,,,"{""Q0"":""Randomly"",""Q1"":""Not at all""}",23811,,986325,,,survey-text,,19
,,,,,,,,,,,,"{""Q0"":""Trying to find the initial route that would allow me to gain some money before losing more. "",""Q1"":""I clicked on all of the circles when I was confused as to which route I wanted to pick and would be most profitable. ""}",52883,,1140307,,,survey-text,,20
,,,,,,,,,,,,"{""Q0"":""Pick one route at a time."",""Q1"":""Not really.""}",38609,,1068808,,,survey-text,,21
,,,,,,,,,,,,"{""Q0"":""I checked for a few points and go by chance at the beginning. Then I started to check a few points and check the routes on those. I did not check all possibilities, only tried to finish with +"",""Q1"":""It could have resulted better if I opened all options or more than I did.""}",110183,,1023054,,,survey-text,,23
,,,,,,,,,,,,"{""Q0"":""I first clicked on the circles adjacent to the airplane. I tried not to click on all of them. Once I found one with a positive payoff, I then clicked the next circle down that same path. Sometimes I instead clicked the circle at the end of the path instead. If it was negative, I tried the other circle at the end of that path. I usually checked the entire path before taking it."",""Q1"":""Yes, I learned that it's better to spend the money checking many locations in order to get a good payoff.""}",87032,,1094988,,,survey-text,,24
,,,,,,,,,,,,"{""Q0"":""Look to see which ones made the most"",""Q1"":""Not really""}",20384,,1044753,,,survey-text,,25
,,,,,,,,,,,,"{""Q0"":""Once I actually realized how the rules worked, which was after an embarrassingly long amount of time, I selected the surrounding circles, the the outer circles if the inner ones were worth the gain/loss of the next steps. "",""Q1"":""Not really ""}",87293,,1018779,,,survey-text,,26
,,,,,,,,,,,,"{""Q0"":""I'd click the closest circle at random, if it was a +$ I kept going on that path and if it was a -$ I clicked another close circle instead until finding a +$. "",""Q1"":""No my initial plan seemed to be working fine. ""}",108773,,1329789,,,survey-text,,27
