p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,,118691,,118693,,,instructions,"[{""page_index"":0,""viewing_time"":55920},{""page_index"":1,""viewing_time"":36863},{""page_index"":2,""viewing_time"":25903}]",0
,,,,,,,,,,,,,,123603,,123605,,,instructions,"[{""page_index"":0,""viewing_time"":62305},{""page_index"":1,""viewing_time"":39242},{""page_index"":2,""viewing_time"":22055}]",1
,,,,,,,,,,,,,,284844,,284846,,,instructions,"[{""page_index"":0,""viewing_time"":57431},{""page_index"":1,""viewing_time"":130360},{""page_index"":2,""viewing_time"":35135},{""page_index"":1,""viewing_time"":671},{""page_index"":0,""viewing_time"":58442},{""page_index"":1,""viewing_time"":1243},{""page_index"":2,""viewing_time"":1562}]",2
,,,,,,,,,,,,,,204635,,204636,,,instructions,"[{""page_index"":0,""viewing_time"":80245},{""page_index"":1,""viewing_time"":92902},{""page_index"":2,""viewing_time"":31487}]",3
,,,,,,,,,,,,,,129787,,129790,,,instructions,"[{""page_index"":0,""viewing_time"":56802},{""page_index"":1,""viewing_time"":49918},{""page_index"":2,""viewing_time"":23064}]",4
,,,,,,,,,,,,,,123945,,123947,,,instructions,"[{""page_index"":0,""viewing_time"":56114},{""page_index"":1,""viewing_time"":41712},{""page_index"":2,""viewing_time"":26117}]",5
,,,,,,,,,,,,,,124060,,124060,,,instructions,"[{""page_index"":0,""viewing_time"":23346},{""page_index"":1,""viewing_time"":14023},{""page_index"":2,""viewing_time"":9235},{""page_index"":1,""viewing_time"":9608},{""page_index"":0,""viewing_time"":26537},{""page_index"":1,""viewing_time"":36},{""page_index"":0,""viewing_time"":6023},{""page_index"":1,""viewing_time"":8339},{""page_index"":0,""viewing_time"":6060},{""page_index"":1,""viewing_time"":11888},{""page_index"":2,""viewing_time"":8964}]",6
,,,,,,,,,,,,,,122373,,280564,,,instructions,"[{""page_index"":0,""viewing_time"":26383},{""page_index"":1,""viewing_time"":27796},{""page_index"":2,""viewing_time"":68194}]",6
,,,,,,,,,,,,,,55878,,377423,,,instructions,"[{""page_index"":0,""viewing_time"":29044},{""page_index"":1,""viewing_time"":20853},{""page_index"":2,""viewing_time"":5981}]",6
,,,,,,,,,,,,,,84640,,84641,,,instructions,"[{""page_index"":0,""viewing_time"":18845},{""page_index"":1,""viewing_time"":44077},{""page_index"":2,""viewing_time"":21717}]",7
