PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,score,test_idx,version
none,1.18,0.01,True,1,24,4,False,after_each_move,1.0,none,0,118.0,"[13, 8, 10, 1, 2, 9]",0.991
none,2.25,0.01,True,0,24,4,False,after_each_move,0.25,none,1,225.0,"[11, 2, 15, 9, 4, 13]",0.991
none,1.0,0.01,True,2,24,4,False,after_each_move,4.0,none,2,100.0,"[8, 5, 1, 7, 10, 11]",0.991
none,2.22,0.01,True,1,24,4,False,after_each_move,1.0,none,3,222.0,"[9, 11, 0, 15, 1, 12]",0.991
none,2.4,0.01,True,1,24,4,False,after_each_move,1.0,none,4,240.0,"[8, 6, 9, 1, 13, 5]",0.991
none,2.34,0.01,True,0,24,4,False,after_each_move,0.25,none,5,233.75,"[7, 10, 12, 6, 8, 11]",0.991
none,1.43,0.01,True,1,24,4,False,after_each_move,1.0,none,6,143.0,"[6, 10, 13, 1, 3, 2]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,7,-32.0,"[7, 12, 14, 1, 10, 2]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,8,-120.0,"[13, 5, 15, 6, 14, 3]",0.991
none,2.88,0.01,True,0,24,4,False,after_each_move,0.25,none,9,288.0,"[1, 15, 13, 2, 4, 8]",0.991
none,0.32,0.01,True,2,24,4,False,after_each_move,4.0,none,10,32.0,"[8, 3, 11, 9, 2, 10]",0.991
none,2.29,0.01,True,1,24,4,False,after_each_move,1.0,none,11,229.0,"[15, 14, 5, 1, 3, 4]",0.991
none,0.72,0.01,True,1,24,4,False,after_each_move,1.0,none,12,72.0,"[11, 3, 10, 13, 6, 4]",0.991
none,3.3,0.01,True,0,24,4,False,after_each_move,0.25,none,13,329.75,"[7, 4, 15, 2, 8, 3]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,14,-104.0,"[0, 14, 8, 12, 2, 7]",0.991
none,0.36,0.01,True,2,24,4,False,after_each_move,4.0,none,15,36.0,"[0, 14, 3, 11, 15, 13]",0.991
none,0.48,0.01,True,0,24,4,False,after_each_move,0.25,none,16,48.0,"[8, 7, 2, 11, 3, 13]",0.991
none,3.43,0.01,True,0,24,4,False,after_each_move,0.25,none,17,343.0,"[6, 7, 12, 10, 8, 5]",0.991
none,0.72,0.01,True,0,24,4,False,after_each_move,0.25,none,18,72.0,"[3, 14, 5, 2, 10, 7]",0.991
none,3.46,0.01,True,0,24,4,False,after_each_move,0.25,none,19,345.75,"[1, 15, 10, 2, 8, 13]",0.991
none,0.04,0.01,True,2,24,4,False,after_each_move,4.0,none,20,4.0,"[13, 12, 11, 4, 9, 7]",0.991
none,2.47,0.01,True,1,24,4,False,after_each_move,1.0,none,21,247.0,"[6, 13, 9, 12, 1, 14]",0.991
none,1.68,0.01,True,0,24,4,False,after_each_move,0.25,none,22,167.5,"[15, 2, 11, 4, 10, 14]",0.991
none,3.49,0.01,True,0,24,4,False,after_each_move,0.25,none,23,349.25,"[1, 15, 3, 14, 13, 9]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,24,-44.0,"[4, 13, 10, 9, 0, 14]",0.991
none,0.75,0.01,True,1,24,4,False,after_each_move,1.0,none,25,75.0,"[11, 14, 0, 10, 3, 6]",0.991
none,0.0,0.01,False,0,24,4,False,after_each_move,0.25,none,26,,,0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,27,-68.0,"[3, 2, 15, 4, 8, 13]",0.991
none,1.65,0.01,True,0,24,4,False,after_each_move,0.25,none,28,164.5,"[5, 11, 7, 0, 2, 13]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,29,-120.0,"[11, 2, 5, 3, 15, 0]",0.991
none,0.0,0.01,False,0,24,4,False,after_each_move,0.25,none,30,,,0.991
none,2.61,0.01,True,2,24,4,False,after_each_move,1.0,none,31,261.0,"[12, 3, 9, 7, 15, 8]",0.991
none,1.79,0.01,True,1,24,4,False,after_each_move,1.0,none,32,179.0,"[0, 7, 6, 2, 14, 10]",0.991
none,0.0,0.01,False,0,24,4,False,after_each_move,0.25,none,33,,,0.991
none,3.54,0.01,True,0,24,4,False,after_each_move,0.25,none,34,354.0,"[10, 13, 5, 7, 8, 3]",0.991
none,0.74,0.01,True,1,24,4,False,after_each_move,1.0,none,35,74.0,"[3, 14, 8, 15, 7, 9]",0.991
none,1.94,0.01,True,1,24,4,False,after_each_move,1.0,none,36,194.0,"[6, 4, 15, 8, 5, 11]",0.991
none,2.94,0.01,True,0,24,4,False,after_each_move,0.25,none,37,293.5,"[10, 11, 1, 14, 6, 12]",0.991
none,3.55,0.01,True,0,24,4,False,after_each_move,0.25,none,38,354.75,"[12, 1, 4, 0, 7, 9]",0.991
none,0.0,0.01,False,1,24,4,False,after_each_move,1.0,none,39,,,0.991
none,0.0,0.01,True,1,24,4,False,after_each_move,1.0,none,40,0.0,"[0, 11, 5, 2, 15, 13]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,41,-180.0,"[0, 3, 14, 8, 10, 12]",0.991
none,3.15,0.01,True,0,24,4,False,after_each_move,0.25,none,42,315.25,"[9, 5, 1, 11, 12, 4]",0.991
none,2.44,0.01,True,1,24,4,False,after_each_move,1.0,none,43,244.0,"[4, 15, 9, 8, 13, 6]",0.991
none,2.27,0.01,True,1,24,4,False,after_each_move,1.0,none,44,227.0,"[14, 1, 6, 11, 0, 5]",0.991
none,3.5,0.01,True,0,24,4,False,after_each_move,0.25,none,45,349.75,"[8, 7, 15, 0, 9, 2]",0.991
none,1.02,0.01,True,1,24,4,False,after_each_move,1.0,none,46,102.0,"[2, 1, 14, 3, 0, 15]",0.991
none,0.24,0.01,True,2,24,4,False,after_each_move,4.0,none,47,24.0,"[15, 9, 6, 0, 10, 5]",0.991
none,0.32,0.01,True,1,24,4,False,after_each_move,1.0,none,48,32.0,"[10, 4, 3, 11, 14, 9]",0.991
none,2.5,0.01,True,1,24,4,False,after_each_move,1.0,none,49,250.0,"[13, 1, 5, 3, 0, 11]",0.991
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,50,,,0.991
none,3.28,0.01,True,0,24,4,False,after_each_move,0.25,none,51,328.0,"[2, 1, 11, 9, 4, 8]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,52,-112.0,"[10, 9, 8, 7, 6, 2]",0.991
none,2.2,0.01,True,1,24,4,False,after_each_move,1.0,none,53,220.0,"[1, 2, 0, 6, 14, 10]",0.991
none,2.03,0.01,True,1,24,4,False,after_each_move,1.0,none,54,203.0,"[12, 4, 10, 14, 15, 9]",0.991
none,0.24,0.01,True,2,24,4,False,after_each_move,4.0,none,55,24.0,"[6, 10, 3, 5, 12, 15]",0.991
none,1.52,0.01,True,2,24,4,False,after_each_move,4.0,none,56,152.0,"[10, 4, 0, 14, 12, 3]",0.991
none,1.42,0.01,True,1,24,4,False,after_each_move,1.0,none,57,142.0,"[6, 4, 14, 10, 7, 2]",0.991
none,3.05,0.01,True,0,24,4,False,after_each_move,0.25,none,58,304.75,"[14, 8, 1, 5, 11, 4]",0.991
none,1.04,0.01,True,2,24,4,False,after_each_move,4.0,none,59,104.0,"[4, 14, 12, 5, 8, 15]",0.991
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,60,,,0.991
none,1.16,0.01,True,2,24,4,False,after_each_move,4.0,none,61,116.0,"[1, 4, 9, 3, 14, 5]",0.991
none,3.45,0.01,True,0,24,4,False,after_each_move,0.25,none,62,344.75,"[12, 10, 3, 8, 0, 13]",0.991
none,2.24,0.01,True,1,24,4,False,after_each_move,1.0,none,63,224.0,"[9, 12, 11, 15, 8, 3]",0.991
none,2.13,0.01,True,0,24,4,False,after_each_move,0.25,none,64,212.75,"[15, 7, 8, 3, 11, 9]",0.991
none,0.48,0.01,True,2,24,4,False,after_each_move,4.0,none,65,48.0,"[0, 7, 14, 10, 4, 5]",0.991
none,0.08,0.01,True,2,24,4,False,after_each_move,4.0,none,66,8.0,"[14, 2, 15, 3, 12, 0]",0.991
none,0.32,0.01,True,1,24,4,False,after_each_move,1.0,none,67,32.0,"[14, 13, 10, 11, 8, 15]",0.991
none,0.0,0.01,False,1,24,4,False,after_each_move,1.0,none,68,,,0.991
none,0.0,0.01,True,0,24,4,False,after_each_move,0.25,none,69,-11.0,"[7, 15, 9, 2, 4, 8]",0.991
none,1.04,0.01,True,2,24,4,False,after_each_move,4.0,none,70,104.0,"[4, 13, 2, 3, 0, 7]",0.991
none,2.33,0.01,True,1,24,4,False,after_each_move,1.0,none,71,233.0,"[8, 6, 10, 11, 0, 7]",0.991
none,0.37,0.01,True,0,24,4,False,after_each_move,0.25,none,72,36.5,"[2, 14, 5, 4, 1, 12]",0.991
none,2.81,0.01,True,0,24,4,False,after_each_move,0.25,none,73,280.5,"[15, 9, 14, 11, 12, 3]",0.991
none,0.08,0.01,True,2,24,4,False,after_each_move,4.0,none,74,8.0,"[9, 5, 4, 7, 1, 8]",0.991
none,2.42,0.01,True,1,24,4,False,after_each_move,1.0,none,75,242.0,"[3, 11, 15, 10, 1, 8]",0.991
none,1.83,0.01,True,0,24,4,False,after_each_move,0.25,none,76,182.75,"[8, 7, 10, 9, 6, 0]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,77,-200.0,"[1, 14, 10, 12, 3, 2]",0.991
none,0.8,0.01,True,0,24,4,False,after_each_move,0.25,none,78,80.0,"[15, 14, 13, 9, 12, 2]",0.991
none,0.0,0.01,False,0,24,4,False,after_each_move,0.25,none,79,,,0.991
none,2.53,0.01,True,0,24,4,False,after_each_move,0.25,none,80,253.25,"[1, 4, 0, 3, 15, 2]",0.991
none,0.0,0.01,False,2,24,4,False,after_each_move,4.0,none,81,,,0.991
none,1.44,0.01,True,0,24,4,False,after_each_move,0.25,none,82,144.0,"[1, 6, 8, 14, 15, 0]",0.991
none,0.0,0.01,True,1,24,4,False,after_each_move,1.0,none,83,-3.0,"[14, 13, 9, 4, 7, 3]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,84,-20.0,"[10, 4, 0, 2, 1, 11]",0.991
none,0.6,0.01,True,2,24,4,False,after_each_move,4.0,none,85,60.0,"[12, 10, 2, 14, 1, 13]",0.991
none,1.93,0.01,True,1,24,4,False,after_each_move,1.0,none,86,193.0,"[6, 1, 8, 2, 12, 13]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,87,-100.0,"[5, 6, 15, 10, 7, 4]",0.991
none,0.0,0.01,True,1,24,4,False,after_each_move,1.0,none,88,-17.0,"[5, 6, 4, 9, 14, 2]",0.991
none,0.64,0.01,True,2,24,4,False,after_each_move,4.0,none,89,64.0,"[14, 1, 7, 11, 15, 6]",0.991
none,3.35,0.01,True,0,24,4,False,after_each_move,0.25,none,90,335.0,"[2, 13, 4, 11, 5, 12]",0.991
none,0.0,0.01,False,0,24,4,False,after_each_move,0.25,none,91,,,0.991
none,2.3,0.01,True,0,24,4,False,after_each_move,1.0,none,92,230.0,"[2, 14, 0, 6, 1, 13]",0.991
none,0.0,0.01,True,1,24,4,False,after_each_move,1.0,none,93,-82.0,"[4, 15, 2, 5, 6, 0]",0.991
none,2.57,0.01,True,1,24,4,False,after_each_move,1.0,none,94,257.0,"[3, 12, 5, 15, 2, 6]",0.991
none,0.68,0.01,True,2,24,4,False,after_each_move,4.0,none,95,68.0,"[2, 15, 10, 5, 13, 7]",0.991
none,0.0,0.01,True,0,24,4,False,after_each_move,0.25,none,96,-0.75,"[12, 6, 9, 15, 8, 10]",0.991
none,1.41,0.01,True,1,24,4,False,after_each_move,1.0,none,97,141.0,"[6, 10, 7, 13, 11, 12]",0.991
none,2.37,0.01,True,1,24,4,False,after_each_move,1.0,none,98,237.0,"[14, 7, 12, 2, 11, 8]",0.991
none,1.35,0.01,True,0,24,4,False,after_each_move,0.25,none,99,134.5,"[15, 13, 4, 14, 12, 2]",0.991
none,0.04,0.01,True,2,24,4,False,after_each_move,4.0,none,100,4.0,"[5, 4, 15, 10, 2, 14]",0.991
none,2.78,0.01,True,0,24,4,False,after_each_move,0.25,none,101,277.75,"[9, 8, 3, 10, 7, 2]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,102,-84.0,"[2, 12, 15, 7, 4, 8]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,103,-124.0,"[11, 6, 3, 10, 14, 4]",0.991
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,104,-136.0,"[1, 0, 4, 14, 13, 6]",0.991
none,1.91,0.01,True,1,24,4,False,after_each_move,1.0,none,105,191.0,"[2, 12, 5, 15, 9, 10]",0.991
