,pid,info_cost,trial_index,pr_sum,click_prs
0,0,1.0,1,-21.801827920563706,"[0.0, -3.489671101321032, -4.3880808805165508, -4.3880808805165508, 0.0, -1.8397832731596981, -1.5021074627574453, -1.3602069773908951, 0.0, -1.2538460564276619, -1.360206977390896, -1.3602069773908951, 0.0, -0.85963733369208173, 0.0, 0.0, 0.0]"
1,0,1.0,2,-10.724907842954694,"[0.0, -1.7877337691596082, -8.9371740737950862]"
2,0,1.0,3,-5.819985818341673,"[0.0, -0.39499232539528073, -5.4249934929463919]"
3,0,1.0,4,-6.452738634388465,"[0.0, 0.0, 0.0, -0.43265572945544406, -6.0200829049330213]"
4,0,1.0,5,-6.910453914424879,"[0.0, -6.9104539144248793]"
5,0,1.0,6,-12.222218537409974,[-12.222218537409974]
6,0,1.0,7,-12.222218537409974,[-12.222218537409974]
7,0,1.0,8,-12.222218537409974,[-12.222218537409974]
8,0,1.0,9,-12.222218537409974,[-12.222218537409974]
9,0,1.0,10,-10.693318982764486,"[0.0, -0.43265572945544228, -1.1453229210996572, -1.1453229210996554, -7.9700174111097315]"
10,0,1.0,11,-8.53071797670473,"[0.0, -0.39499232539528073, 0.0, -1.2530141669651478, -1.106128536879126, -1.188657087105458, -1.5605696664726381, -1.4671682993191766, -1.5601878945679033, 0.0]"
11,0,1.0,12,-11.53128944794647,"[0.0, -11.53128944794647]"
12,0,1.0,13,-12.222218537409974,[-12.222218537409974]
13,0,1.0,14,-12.222218537409974,[-12.222218537409974]
14,0,1.0,15,-9.19646315443207,"[-0.38064831428197721, -8.8158148401500931]"
15,0,1.0,16,-12.42314717931925,"[-0.38064831428197721, -0.7408108341934927, -11.301688030843779]"
16,1,0.25,1,-19.290150070349377,[-19.290150070349377]
17,1,0.25,2,-11.445353002838061,"[0.0, -11.445353002838061]"
18,1,0.25,3,-8.413948630000899,"[0.0, -8.413948630000899]"
19,1,0.25,4,-11.552673362886054,"[0.0, 0.0, 0.0, -0.094386651313271841, -11.458286711572782]"
20,1,0.25,5,-11.445353002838061,"[0.0, -11.445353002838061]"
21,1,0.25,6,-11.568436057070627,"[0.0, -0.07275333108299975, -11.495682725987628]"
22,1,0.25,7,-14.079974521474092,"[0.0, -0.429141020574626, -13.650833500899466]"
23,1,0.25,8,-11.445353002838061,"[0.0, -11.445353002838061]"
24,1,0.25,9,-12.958081084911504,"[0.0, 0.0, 0.0, -0.094386651313271841, -12.863694433598232]"
25,1,0.25,10,-13.685294348345522,"[0.0, -0.07275333108299975, -13.612541017262522]"
26,1,0.25,11,-15.264743698098103,"[0.0, 0.0, -15.264743698098103]"
27,1,0.25,12,-10.914707227359408,"[0.0, -0.429141020574626, -10.485566206784782]"
28,1,0.25,13,-19.290150070349377,[-19.290150070349377]
29,1,0.25,14,-17.23404286132662,"[0.0, -17.234042861326621]"
30,1,0.25,15,-16.243148049336128,"[0.0, -0.429141020574626, -0.73716408461970673, -15.076842944141795]"
31,1,0.25,16,-10.315572397379018,"[0.0, -0.6181066747792876, -9.6974657225997305]"
32,2,4.0,1,-0.264003901997296,"[0.0, 0.0, -0.26400390199729601]"
33,2,4.0,2,-0.3116470526535524,"[0.0, -0.0068699555946319379, -0.0068699555946319379, -0.29790714146428854]"
34,2,4.0,3,-4.342373015244048,"[0.0, 0.0, -1.7576267338557798, -2.5847462813882682, 0.0, 0.0]"
35,2,4.0,4,-6.84834848634504,"[0.0, -1.9370679834764051, -1.9370679834764051, -2.7818845777667938, -0.19232794162543598]"
36,2,4.0,5,-11.115715758751529,"[0.0, -3.6314618113613095, -3.6322204017626305, -3.8520335456275889, 0.0, 0.0, 0.0, 0.0]"
37,2,4.0,6,0.0,"[0.0, 0.0, 0.0, 0.0]"
38,2,4.0,7,0.0,"[0.0, 0.0, 0.0]"
39,2,4.0,8,-11.4706270345841,"[0.0, 0.0, -3.5964205579547599, -3.5987875389893187, -4.0590293655171514, -0.21638957212286947]"
40,2,4.0,9,-6.08708201401895,"[0.0, -1.9422928789110463, -1.9551551241296603, -1.9499302286950186, -0.23970378228322531]"
41,2,4.0,10,-1.6838459562520889,"[-0.0068699555946319379, -1.676976000657457, 0.0]"
42,2,4.0,11,-0.006869955594631938,"[-0.0068699555946319379, 0.0]"
43,2,4.0,12,-0.006869955594631938,"[-0.0068699555946319379, 0.0]"
44,2,4.0,13,-7.948319990615073,"[-0.0068699555946319379, -3.9723296186910524, -3.9691204163293889, 0.0]"
45,2,4.0,14,-0.020609866783895814,"[-0.0068699555946319379, -0.0068699555946319379, -0.0068699555946319379, 0.0]"
46,2,4.0,15,-1.9513658111541368,"[-0.0068699555946319379, -1.6741066818196879, -0.27038917373981697]"
47,2,4.0,16,-0.36369895354663384,[-0.36369895354663384]
48,3,1.0,1,-23.866165337085466,"[-0.38064831428197721, -0.72457243136257787, -2.4110565718592092, -4.2350296239119336, -0.38064831428197721, -0.7408108341934927, -2.4110565718592083, -3.490278475465054, -9.092064199870034]"
49,3,1.0,2,-22.90453413168633,"[0.0, -1.7877337691596082, -2.8207336260041771, -2.6700205048551382, -1.4973180529183487, -2.6510858860537816, -2.8859734177591037, -2.8859734177591037, -5.7056954571770682]"
50,3,1.0,3,-5.291787404245559,"[0.0, -0.43265572945544228, -0.43265572945544051, -1.1453229210996554, -0.81916791094242569, 0.0, -0.59230726598628536, -0.1880360635846472, 0.0, 0.0, -1.6816417837216626, 0.0, 0.0]"
51,3,1.0,4,-15.880966136313777,"[0.0, 0.0, 0.0, -0.50520619501952346, 0.0, -2.7870787575661042, -1.4973180529183479, -2.7870787575661042, -2.7870787575661042, -5.5172056156775939]"
52,3,1.0,5,-20.64966821948706,"[0.0, 0.0, -1.7877337691596118, -1.918882701395205, -1.4973180529183487, -2.6510858860537816, -1.9881710127076069, -1.9881710127076069, -1.9875636385635893, -2.8859734177591072, -2.8859734177591072, 0.0, -1.0587953104630969, 0.0]"
53,3,1.0,6,-8.91567993171471,"[0.0, -1.7877337691596082, -1.9188827013952086, -1.9188827013952086, -1.4973180529183487, -1.7928627068463356, 0.0]"
54,3,1.0,7,-3.6244893972415984,"[0.0, -0.39499232539528073, 0.0, 0.0, -3.2294970718463176]"
55,3,1.0,8,-8.981177802702367,"[0.0, -0.43265572945544228, -1.918882701395205, -1.9188827013952086, 0.0, -1.9875636385635858, 0.0, -0.10636092096323324, -2.6168321109296926]"
