p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,"{""Q0"":""I looked at a few circles and made educational guesses."",""Q1"":""Not really"",""Q2"":""21"",""Q3"":""female""}",166204,,1688110,,,survey-text,,0
,,,,,,,,,,,,,"{""Q0"":""I tried to show just enough location prizes to see if I was going to lose/win a lot of money"",""Q1"":""I figured that many times a route has either 2 winning points or 2 losing points, with the final stop being 50/50"",""Q2"":""31"",""Q3"":""Female""}",61390,,1387320,,,survey-text,,1
,,,,,,,,,,,,,"{""Q0"":""I tried different methods none seemed to work well."",""Q1"":""Not really. I think I could have with more time."",""Q2"":""33"",""Q3"":""male""}",88602,,1200167,,,survey-text,,2
,,,,,,,,,,,,,"{""Q0"":""I tried the nearest locations first because if the a near location was heavy negative then I think it was worth the risk of spending more for revealing other locations. Once I found a profitable near location I would look at the location after it, and if the that second location was profitable then I would invest $2 to find both of the ending locations."",""Q1"":""Not really, I think it was mostly luck if you found a goldmine route on your first reveals then stick with it. Otherwise, you're just trying to minimize your losses."",""Q2"":""21"",""Q3"":""Male""}",254123,,1344516,,,survey-text,,3
,,,,,,,,,,,,,"{""Q0"":""Tried to follow the paths with the most positive amounts. Once I found a path with the most positives and least negatives, I stopped clicking and started moving."",""Q1"":""Better to spend time and money planning rather than go without a plan."",""Q2"":""48"",""Q3"":""Male""}",122536,,1099410,,,survey-text,,4
,,,,,,,,,,,,,"{""Q0"":""i didn't plan at all in the first few rounds, but then tried to find the destinations with the biggest payouts and least deductions on the routes"",""Q1"":"""",""Q2"":""47"",""Q3"":""female""}",47306,,993684,,,survey-text,,5
,,,,,,,,,,,,,"{""Q0"":""Just picked random spots"",""Q1"":""no"",""Q2"":""28"",""Q3"":""female""}",47672,,1302586,,,survey-text,,6
,,,,,,,,,,,,,"{""Q0"":""totally random"",""Q1"":""no"",""Q2"":""36"",""Q3"":""female""}",18052,,977728,,,survey-text,,7
,,,,,,,,,,,,,"{""Q0"":""I like to have options so I tried to reveal as many as I could without spending to much. Then I took the routes that were most profitable."",""Q1"":""I stopped trying to reveal as many and just took the routes that were positive income."",""Q2"":""29"",""Q3"":""female""}",155042,,1467939,,,survey-text,,8
,,,,,,,,,,,,,"{""Q0"":""i found a profitable route and took it"",""Q1"":"""",""Q2"":""26"",""Q3"":""male""}",92916,,1795605,,,survey-text,,9
,,,,,,,,,,,,,"{""Q0"":""I just picked a direction"",""Q1"":""No"",""Q2"":""34"",""Q3"":""female""}",14952,,1041359,,,survey-text,,10
,,,,,,,,,,,,,"{""Q0"":""tried to find the best route thta paid the most"",""Q1"":""reveal as many as  i can to find the best one"",""Q2"":""28"",""Q3"":""male""}",48143,,958869,,,survey-text,,11
,,,,,,,,,,,,,"{""Q0"":""I just kinda picked one"",""Q1"":""Not really, it kinda seemed like a luck thing"",""Q2"":""40"",""Q3"":""Female""}",70959,,966986,,,survey-text,,12
,,,,,,,,,,,,,"{""Q0"":""I started checking the endpoints and worked backwards when I found a favorable ending"",""Q1"":""Not really, "",""Q2"":""33"",""Q3"":""male""}",42244,,1081560,,,survey-text,,13
,,,,,,,,,,,,,"{""Q0"":""tried to guess where the money was"",""Q1"":""no, it seemed stacked to make you lose, revealing numbers did no good"",""Q2"":""58"",""Q3"":""female""}",46570,,1724066,,,survey-text,,14
,,,,,,,,,,,,,"{""Q0"":""I tried to go different routes everytime"",""Q1"":""No, not really :/"",""Q2"":""34"",""Q3"":""female""}",50085,,1293784,,,survey-text,,15
,,,,,,,,,,,,,"{""Q0"":""I didn't do much planning I just kind of took my chances."",""Q1"":""Nothing really helped as there didn't seem to be any pattern"",""Q2"":""31"",""Q3"":""male""}",27544,,879372,,,survey-text,,16
,,,,,,,,,,,,,"{""Q0"":""First I priced the destinations, and then I tried to choose the most beneficial route."",""Q1"":""I learned to look at all routes in some cases because even with some lower price destinations, there were routes that made them worth it."",""Q2"":""39"",""Q3"":""female""}",48524,,1163273,,,survey-text,,17
,,,,,,,,,,,,,"{""Q0"":""I randomly picked a route"",""Q1"":""Not really"",""Q2"":""26"",""Q3"":""female""}",27429,,1751213,,,survey-text,,18
,,,,,,,,,,,,,"{""Q0"":""I started with the first decision, if one was more, I then checked the third decision, since the second has no choice. If two were the same, then I checked the second and sometimes the third to decide."",""Q1"":""I learned early to check more than one level"",""Q2"":""48"",""Q3"":""female""}",70458,,977267,,,survey-text,,19
,,,,,,,,,,,,,"{""Q0"":""Random"",""Q1"":""No"",""Q2"":""35"",""Q3"":""Female""}",13985,,895719,,,survey-text,,20
,,,,,,,,,,,,,"{""Q0"":""I'd just click the middle icons first to get a feel for which path was good, then would go from there. "",""Q1"":""To look at the route leading up to a point, and use that to narrow down the best option."",""Q2"":""35"",""Q3"":""male""}",61688,,1079842,,,survey-text,,21
,,,,,,,,,,,,,"{""Q0"":""random"",""Q1"":""not really"",""Q2"":""42"",""Q3"":""female""}",24790,,1314245,,,survey-text,,22
,,,,,,,,,,,,,"{""Q0"":""I just clicked the highest paying ones."",""Q1"":""Yes to plan further ahead."",""Q2"":""23"",""Q3"":""Male""}",61605,,999585,,,survey-text,,23
,,,,,,,,,,,,,"{""Q0"":""No plan. You made it frankly impossible to plan with any sense of accuracy or real hope of gaining a bonus, and I pretty much gave up trying once I realized that."",""Q1"":""Everything changes at random each turn, plus it costs so much to find out any information that it's just as effective to go at random. TBH I'm pretty damn irritated right now because this took way too much time for the lousy $.75 you put on it as a base wage with a bonus teaser. Cocosci has a reputation for treating its workers fairly and respecting our time, and you really dropped the ball on this one. I will be posting a Turkopticon review and will NOT be recommending this HIT."",""Q2"":""34"",""Q3"":""female""}",192561,,1136769,,,survey-text,,24
,,,,,,,,,,,,,"{""Q0"":""I tried to not spend that much money if I could find a paying route right in the beginning."",""Q1"":""It took me a few rounds before I started understanding how to do the paying."",""Q2"":""26"",""Q3"":""Male""}",59980,,1019789,,,survey-text,,25
,,,,,,,,,,,,,"{""Q0"":""try to guess my best"",""Q1"":""figure out which step had a positive money first"",""Q2"":""24"",""Q3"":""male""}",30937,,934524,,,survey-text,,27
,,,,,,,,,,,,,"{""Q0"":""My plan at first was to fly randomly without spending much money, but then i realized it's better to spend it figuring out the path."",""Q1"":""yes, sometimes it's better to pay for information if you're getting a higher benefit from it."",""Q2"":""30"",""Q3"":""Male""}",170634,,1440856,,,survey-text,,28
,,,,,,,,,,,,,"{""Q0"":""I tried different strategies.  Focusing on the destination and also focusing on the through ways.  "",""Q1"":""Sometimes it's better to guess randomly"",""Q2"":""31"",""Q3"":""male""}",90363,,1071985,,,survey-text,,29
,,,,,,,,,,,,,"{""Q0"":""I picked a circle closest to the plane first and if it was a positive number I checked the following circles to see if they were also positive amounts of money."",""Q1"":""I learned not to check as many and just go with the first or second positive circle."",""Q2"":""26"",""Q3"":""Female""}",397086,,1435318,,,survey-text,,31
,,,,,,,,,,,,,"{""Q0"":""I tried to see if the first stop was going to cause a big penalty. If the first stop was costly, I tried another path."",""Q1"":""I wondered if I should have shifted to try the farthest center point as the beginning point, however I was a bit afraid to try another technique because mistakes were costly."",""Q2"":""53"",""Q3"":""Female""}",117017,,1161149,,,survey-text,,32
,,,,,,,,,,,,,"{""Q0"":""I opened as many as I felt I needed to in order to find a good path, stopped when I found one that paid well"",""Q1"":""I dont think so"",""Q2"":""46"",""Q3"":""male""}",63310,,1038602,,,survey-text,,34
,,,,,,,,,,,,,"{""Q0"":""If the path had been a bad one...then I decided to try it again figuring the path wouldn't repeat"",""Q1"":""Not really"",""Q2"":""27"",""Q3"":""Female""}",35495,,1134093,,,survey-text,,35
,,,,,,,,,,,,,"{""Q0"":""I checked the values of the end points to see which ones brought more money. I was looking for circles that gave $20"",""Q1"":""At first I did not want to spend the $1 to look ahead, but I learned that it was usually worth it to have the information about which routes were more profitable. "",""Q2"":""48"",""Q3"":""male""}",105545,,1020138,,,survey-text,,36
,,,,,,,,,,,,,"{""Q0"":""I tried to avoid moving to spaces with losses."",""Q1"":""I learned to choose the plan that I felt would pay more."",""Q2"":""63"",""Q3"":""Male""}",80950,,1015162,,,survey-text,,37
,,,,,,,,,,,,,"{""Q0"":""I just tried to make the most money that I could"",""Q1"":""No, I kind of just guessed until I got to an amount I was happy with"",""Q2"":""34"",""Q3"":""male""}",39104,,1165843,,,survey-text,,38
,,,,,,,,,,,,,"{""Q0"":""I didn't really understand how to plan the route. I just tried to try a different route"",""Q1"":""No I did not"",""Q2"":""34"",""Q3"":""female""}",56131,,1169512,,,survey-text,,40
,,,,,,,,,,,,,"{""Q0"":""I didn't"",""Q1"":""No"",""Q2"":""25"",""Q3"":""male""}",38832,,942487,,,survey-text,,41
,,,,,,,,,,,,,"{""Q0"":""I tried to peek at the second spot over, and tried to stick with the route that used the highest value in those spots."",""Q1"":""It made sense to look at more stops before moving, even if it cost more to look at."",""Q2"":""19"",""Q3"":""Male""}",63718,,1153075,,,survey-text,,42
,,,,,,,,,,,,,"{""Q0"":""Tried to know everything."",""Q1"":""No."",""Q2"":""21"",""Q3"":""Male""}",24740,,974645,,,survey-text,,43
,,,,,,,,,,,,,"{""Q0"":""learned to determine if the first spot, then later ones were profitable."",""Q1"":""I ended up avoiding clicking more tiles if I already had what looked like a modest profit to gain from a path I'd already uncovered"",""Q2"":""36"",""Q3"":""m""}",50148,,2169115,,,survey-text,,44
,,,,,,,,,,,,,"{""Q0"":""This was really fun. I got to decide how to pay some money to prevent myself from losing money. It's almost like buying insurance. "",""Q1"":""Yes. Pay the money and learn each step to minimize the loss."",""Q2"":""28"",""Q3"":""Female""}",99327,,1306831,,,survey-text,,45
,,,,,,,,,,,,,"{""Q0"":""look for a large umber and head for it"",""Q1"":""not rally"",""Q2"":""46"",""Q3"":""male""}",92114,,1147908,,,survey-text,,46
,,,,,,,,,,,,,"{""Q0"":""Randomly"",""Q1"":""Not at all. It seemed like it was random."",""Q2"":""31"",""Q3"":""Female""}",19096,,1330978,,,survey-text,,47
,,,,,,,,,,,,,"{""Q0"":""I just tried a different route each time for the airplane."",""Q1"":""Not particularly."",""Q2"":""56"",""Q3"":""Female""}",37735,,1064838,,,survey-text,,48
,,,,,,,,,,,,,"{""Q0"":""I started with the routes closest until i got a positive and then checked ones further out."",""Q1"":""I accidentally didn't check my route one time and the result reinforced how important it was to check."",""Q2"":""27"",""Q3"":""female""}",70099,,1613678,,,survey-text,,49
,,,,,,,,,,,,,"{""Q0"":""I uncovered all of the values (cost of $4), then chose the route with the highest payment (usually more than $4)."",""Q1"":""I exercised my option to find all options and payments, and used that to maximize my bonus.  I learned that that was an effective (for me) approach."",""Q2"":""42"",""Q3"":""Male""}",97859,,1059689,,,survey-text,,51
,,,,,,,,,,,,,"{""Q0"":""what made sense so a hunch"",""Q1"":""not really but I have been working since 430 am"",""Q2"":""40"",""Q3"":""f""}",29415,,1316010,,,survey-text,,52
,,,,,,,,,,,,,"{""Q0"":""I tried to find the path that I didn't lose out on.  If it was positive, I went with it instead of looking more."",""Q1"":""Yes, clicking more spots lost you money, so I learned to just look for the first positive route."",""Q2"":""38"",""Q3"":""male""}",51501,,980692,,,survey-text,,53
,,,,,,,,,,,,,"{""Q0"":""I checked the first circle on each route, and just went with the one that had the best payout.  I figured checking all the circles would prove too expensive, so I thought it bets to start out stroingly as possible and hope for the best after that."",""Q1"":""Nope.  This was all random.  You can't plan for chaos."",""Q2"":""50"",""Q3"":""male""}",99912,,1073626,,,survey-text,,54
,,,,,,,,,,,,,"{""Q0"":""Poorly"",""Q1"":""Not really"",""Q2"":""43"",""Q3"":""male""}",20002,,1748305,,,survey-text,,55
,,,,,,,,,,,,,"{""Q0"":""I just kind of picked one. No real plan."",""Q1"":""Don't go to the right. "",""Q2"":""30"",""Q3"":""Gender fluid""}",31933,,920696,,,survey-text,,56
