,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
0,0,1.0,none,none,1,,[3],12.0,16,"[5, 6, 7, 8, 9, 10, 12, 11, 1, 2, 3, 4, 13, 14, 15, 16]","[2692, 3813, 4808, 7601, 13713, 15045, 15845, 16963, 18016, 18875, 19582, 20507, 21892, 23415, 24672, 26085]","[1, 5, 6, 7]","[71892, 77817, 81863]"
1,0,1.0,none,none,2,,[3],26.0,2,"[5, 9]","[3801, 5825]","[1, 9, 10, 12]","[7534, 21008, 22827]"
2,0,1.0,none,none,3,,[3],26.0,2,"[5, 6]","[2081, 3815]","[1, 5, 6, 8]","[5649, 14086, 16738]"
3,0,1.0,none,none,4,,[3],-8.0,4,"[5, 13, 9, 1]","[1609, 2946, 4339, 5745]","[1, 5, 6, 7]","[8788, 15820, 17077]"
4,0,1.0,none,none,5,,[3],19.0,1,[5],[3112],"[1, 5, 6, 7]","[5477, 9516, 14710]"
5,0,1.0,none,none,6,,[3],4.0,0,[],[],"[1, 5, 6, 8]","[3077, 7200, 10754]"
6,0,1.0,none,none,7,,[3],28.0,0,[],[],"[1, 9, 10, 12]","[2198, 6520, 8274]"
7,0,1.0,none,none,8,,[3],-4.0,0,[],[],"[1, 1, 2, 4]","[3118, 6943, 8352]"
8,0,1.0,none,none,9,,[3],4.0,0,[],[],"[1, 5, 6, 7]","[2954, 6727, 8846]"
9,0,1.0,none,none,10,,[3],-8.0,4,"[5, 9, 13, 1]","[7675, 8558, 9695, 10726]","[1, 9, 10, 12]","[12048, 25717, 27326]"
10,0,1.0,none,none,11,,[],11.0,9,"[9, 10, 12, 11, 13, 5, 6, 14, 2]","[4161, 5847, 6725, 7624, 9149, 10183, 11338, 12426, 14934]","[1, 1, 2, 3]","[15977, 16992, 17881]"
11,0,1.0,none,none,12,,[],11.0,1,[9],[2442],"[1, 9, 10, 12]","[3828, 8826, 10006]"
12,0,1.0,none,none,13,,[],-44.0,0,[],[],"[1, 5, 6, 7]","[1411, 2960, 4159]"
