p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,"{""Q0"":""I clicked all of the circles after 2 rounds of no bonus"",""Q1"":""Its better to know than to go blindly"",""Q2"":""25"",""Q3"":""female""}",78353,,977115,,,survey-text,,0
,,,,,,,,,,,,,"{""Q0"":""I checked most of the hidden routes to ascertain the best rate of pay."",""Q1"":""No, not really"",""Q2"":""51"",""Q3"":""female""}",33597,,939761,,,survey-text,,1
,,,,,,,,,,,,,"{""Q0"":""Just intuition "",""Q1"":""Yes"",""Q2"":""44"",""Q3"":""male""}",94124,,960411,,,survey-text,,2
,,,,,,,,,,,,,"{""Q0"":""Random"",""Q1"":""No"",""Q2"":""33"",""Q3"":""Female""}",13402,,1237249,,,survey-text,,3
,,,,,,,,,,,,,"{""Q0"":""tried all"",""Q1"":""no"",""Q2"":""57"",""Q3"":""male""}",37313,,1075290,,,survey-text,,5
,,,,,,,,,,,,,"{""Q0"":""I was basically trying to go a route that had all plus amounts for money.  Sometimes, I would uncover all the spots in one direction (like east) and it would look good, so I would just go that way without uncovering anything else.  Other times, I would have to uncover more to get an okay route."",""Q1"":""Yes.  At first, I was uncovering as little as possible because I was worried about the cost of uncovering.  After a few rounds, I realized that it was worth the cost to uncover more of the map."",""Q2"":""32"",""Q3"":""female""}",171492,,830350,,,survey-text,,6
,,,,,,,,,,,,,"{""Q0"":""checking the destination for best route"",""Q1"":""check destination beforehand"",""Q2"":""25"",""Q3"":""female""}",51856,,1347961,,,survey-text,,7
,,,,,,,,,,,,,"{""Q0"":""I checked the spaces immediately in front first, and if it was a positive number then I checked at least one space in that tree before deciding."",""Q1"":""It's better to spend a little money to see the routes, than to guess blindly and possibly lose big."",""Q2"":""27"",""Q3"":""Male""}",74704,,549166,,,survey-text,,8
,,,,,,,,,,,,,"{""Q0"":""I made sure to only take the first step where I would gain money. Then I would check the last possible step on those routes to see if I would gain or lose money on them. The middle steps were the ones I took a gamble on. If the first step was negative for all, then I would take the least damaging step."",""Q1"":""Not necessarily. I knew going in that I had to click on the fewest spots available to minimize loss. And with a game like this there is always a bit of a gamble, and I let the second step on each round be that gamble since it seemed like the largest dollar amounts were on the last steps."",""Q2"":""24"",""Q3"":""Male""}",171705,,641110,,,survey-text,,9
,,,,,,,,,,,,,"{""Q0"":""I tried to stick to one route"",""Q1"":""Not so much"",""Q2"":""28"",""Q3"":""female""}",23871,,2182465,,,survey-text,,11
,,,,,,,,,,,,,"{""Q0"":""I didn't "",""Q1"":""I should have changed my guesses more often."",""Q2"":""31"",""Q3"":""Male""}",76658,,964253,,,survey-text,,12
,,,,,,,,,,,,,"{""Q0"":""I clicked on all the nodes and planned my route that way. "",""Q1"":""Yes and no. There was instances where i thought i was getting the hang of it."",""Q2"":""31"",""Q3"":""male""}",44540,,823425,,,survey-text,,13
