p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,47054,,47055,,,instructions,"[{""page_index"":0,""viewing_time"":19726},{""page_index"":1,""viewing_time"":20074},{""page_index"":2,""viewing_time"":7253}]",0
,,,,,,,,,,,,,,83683,,83684,,,instructions,"[{""page_index"":0,""viewing_time"":33003},{""page_index"":1,""viewing_time"":26119},{""page_index"":2,""viewing_time"":24560}]",1
,,,,,,,,,,,,,,172688,,172689,,,instructions,"[{""page_index"":0,""viewing_time"":59398},{""page_index"":1,""viewing_time"":66660},{""page_index"":2,""viewing_time"":46629}]",2
,,,,,,,,,,,,,,157732,,157734,,,instructions,"[{""page_index"":0,""viewing_time"":56027},{""page_index"":1,""viewing_time"":21927},{""page_index"":0,""viewing_time"":31241},{""page_index"":1,""viewing_time"":6064},{""page_index"":0,""viewing_time"":8200},{""page_index"":1,""viewing_time"":8182},{""page_index"":2,""viewing_time"":26089}]",3
,,,,,,,,,,,,,,31711,,235676,,,instructions,"[{""page_index"":0,""viewing_time"":22462},{""page_index"":1,""viewing_time"":8080},{""page_index"":2,""viewing_time"":1166}]",3
,,,,,,,,,,,,,,102348,,102349,,,instructions,"[{""page_index"":0,""viewing_time"":42738},{""page_index"":1,""viewing_time"":34169},{""page_index"":2,""viewing_time"":25440}]",4
,,,,,,,,,,,,,,186200,,186202,,,instructions,"[{""page_index"":0,""viewing_time"":122081},{""page_index"":1,""viewing_time"":43133},{""page_index"":2,""viewing_time"":20986}]",5
,,,,,,,,,,,,,,85434,,85435,,,instructions,"[{""page_index"":0,""viewing_time"":35872},{""page_index"":1,""viewing_time"":28607},{""page_index"":2,""viewing_time"":20954}]",6
,,,,,,,,,,,,,,215091,,215093,,,instructions,"[{""page_index"":0,""viewing_time"":74933},{""page_index"":1,""viewing_time"":116949},{""page_index"":2,""viewing_time"":23208}]",7
,,,,,,,,,,,,,,80979,,80980,,,instructions,"[{""page_index"":0,""viewing_time"":34610},{""page_index"":1,""viewing_time"":31616},{""page_index"":2,""viewing_time"":14752}]",8
,,,,,,,,,,,,,,38575,,38579,,,instructions,"[{""page_index"":0,""viewing_time"":24423},{""page_index"":1,""viewing_time"":8448},{""page_index"":2,""viewing_time"":5699}]",9
,,,,,,,,,,,,,,30098,,86651,,,instructions,"[{""page_index"":0,""viewing_time"":5008},{""page_index"":1,""viewing_time"":13168},{""page_index"":2,""viewing_time"":11915}]",9
,,,,,,,,,,,,,,96750,,96751,,,instructions,"[{""page_index"":0,""viewing_time"":30495},{""page_index"":1,""viewing_time"":33962},{""page_index"":2,""viewing_time"":32292}]",10
,,,,,,,,,,,,,,155910,,155911,,,instructions,"[{""page_index"":0,""viewing_time"":82831},{""page_index"":1,""viewing_time"":32441},{""page_index"":2,""viewing_time"":40637}]",11
,,,,,,,,,,,,,,85800,,85801,,,instructions,"[{""page_index"":0,""viewing_time"":37155},{""page_index"":1,""viewing_time"":31182},{""page_index"":2,""viewing_time"":17462}]",12
,,,,,,,,,,,,,,94768,,94768,,,instructions,"[{""page_index"":0,""viewing_time"":33477},{""page_index"":1,""viewing_time"":36090},{""page_index"":2,""viewing_time"":25200}]",13
,,,,,,,,,,,,,,146224,,146225,,,instructions,"[{""page_index"":0,""viewing_time"":25251},{""page_index"":1,""viewing_time"":108984},{""page_index"":2,""viewing_time"":11988}]",14
,,,,,,,,,,,,,,24278,,188352,,,instructions,"[{""page_index"":0,""viewing_time"":7065},{""page_index"":1,""viewing_time"":7556},{""page_index"":2,""viewing_time"":9656}]",14
,,,,,,,,,,,,,,149710,,149713,,,instructions,"[{""page_index"":0,""viewing_time"":45067},{""page_index"":1,""viewing_time"":37878},{""page_index"":2,""viewing_time"":24773},{""page_index"":1,""viewing_time"":40790},{""page_index"":2,""viewing_time"":1200}]",15
,,,,,,,,,,,,,,87678,,87679,,,instructions,"[{""page_index"":0,""viewing_time"":48905},{""page_index"":1,""viewing_time"":35454},{""page_index"":2,""viewing_time"":3318}]",16
,,,,,,,,,,,,,,101614,,228106,,,instructions,"[{""page_index"":0,""viewing_time"":10927},{""page_index"":1,""viewing_time"":60616},{""page_index"":2,""viewing_time"":30070}]",16
,,,,,,,,,,,,,,62036,,62041,,,instructions,"[{""page_index"":0,""viewing_time"":25915},{""page_index"":1,""viewing_time"":11911},{""page_index"":2,""viewing_time"":24208}]",17
,,,,,,,,,,,,,,182480,,182482,,,instructions,"[{""page_index"":0,""viewing_time"":127715},{""page_index"":1,""viewing_time"":34601},{""page_index"":2,""viewing_time"":20163}]",18
,,,,,,,,,,,,,,234603,,234606,,,instructions,"[{""page_index"":0,""viewing_time"":138919},{""page_index"":1,""viewing_time"":56990},{""page_index"":2,""viewing_time"":38672}]",19
