PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
objectLevel,3.5,0.01,True,6,24,4,True,after_each_move,0.25,full,0,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",350.0,"[12, 9, 13, 2, 0, 8]",True,1.6
featureBased,0.0,0.01,False,4,24,4,True,after_each_move,1.0,full,1,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",,,True,1.6
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,2,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-24.0,"[14, 8, 6, 7, 0, 4]",True,1.6
featureBased,0.2,0.01,True,5,24,4,True,after_each_move,4.0,full,3,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",20.0,"[5, 8, 0, 6, 2, 10]",True,1.6
featureBased,2.01,0.01,True,4,24,4,True,after_each_move,1.0,full,4,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",201.0,"[12, 4, 13, 9, 14, 5]",True,1.6
none,1.53,0.01,True,1,24,4,False,after_each_move,1.0,none,5,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",153.0,"[15, 5, 4, 14, 11, 3]",True,1.6
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,6,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",0.0,"[3, 5, 10, 8, 15, 2]",True,1.6
featureBased,3.46,0.01,True,3,24,4,True,after_each_move,0.25,full,7,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",345.5,"[12, 5, 9, 7, 0, 1]",True,1.6
objectLevel,0.64,0.01,True,6,24,4,True,after_each_move,0.25,full,8,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",64.0,"[6, 2, 1, 4, 9, 12]",True,1.6
none,0.56,0.01,True,0,24,4,False,after_each_move,0.25,none,9,"[2.3252393134113225, 0.09975155227317743, 0.08032182729437333, 0.8450937421220647, 0.997435322775085]",56.0,"[5, 3, 13, 12, 0, 15]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,10,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-40.0,"[15, 12, 8, 9, 10, 5]",True,1.6
none,2.09,0.01,True,1,24,4,False,after_each_move,1.0,none,11,"[1.9484115264310722, 0.4288647055137153, 0.269370854918958, 0.44258532182537325, 0.9912367388407017]",209.0,"[2, 6, 9, 4, 11, 14]",True,1.6
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,12,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-112.0,"[1, 3, 11, 6, 5, 14]",True,1.6
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,13,"[1.02455453397985, 0.9723698649146737, 0.0048616156760657794, 0.01790135732732076, 1.000241178138463]",-60.0,"[5, 7, 6, 10, 4, 14]",True,1.6
