p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,"{""Q0"":""I tried to click to see if I was making the most beneficial financial route hoping that the 0.25 per click would be less than my options so that I would still be in the positive."",""Q1"":""I tried without clicking and got timed-out for making a poor choice, so I made sure to calculate after clicking to see the financial credits and based my route on that."",""Q2"":""31"",""Q3"":""female""}",98416,,1059577,,,survey-text,,0
,,,,,,,,,,,,,,"{""Q0"":""I generally checked to see if the first step would cause a cost or give a bonus."",""Q1"":""Don't overanalyze everything."",""Q2"":""32"",""Q3"":""Male""}",54045,,1036662,,,survey-text,,2
,,,,,,,,,,,,,,"{""Q0"":""I clicked in a direction. If it was negative, I wouldn't go that way. I feel like I didn't really have a good strategy."",""Q1"":""Not really, unfortunately."",""Q2"":""35"",""Q3"":""male""}",44325,,1220504,,,survey-text,,3
,,,,,,,,,,,,,,"{""Q0"":""I tried to look at the 4 starting locations and if one was decent (positive), I uncovered the next arm, and so on."",""Q1"":""I think staying with a route that seemed decently profitable was better than trying to uncover other routes which probably would not yield as good a result."",""Q2"":""45"",""Q3"":""male""}",77547,,1320626,,,survey-text,,4
,,,,,,,,,,,,,,"{""Q0"":""try to find a high paying destination without spending too much on collecting data. if I found a $20 spot, stop asking and take my chances. for the last trip, decided to just go and not spend anything on data, and that didn't work too good either."",""Q1"":""probably not much, but collecting more data after I found a $20 spot was probably useless. (but I didn't get that lucky very often)."",""Q2"":""71"",""Q3"":""male""}",251177,,1453328,,,survey-text,,5
,,,,,,,,,,,,,,"{""Q0"":""At first I wanted to fly blind and see if I could notice any patterns."",""Q1"":""I needed to check at least the first four connecting points, to see if I had a chance to make more."",""Q2"":""35"",""Q3"":""Male""}",47491,,942830,,,survey-text,,6
,,,,,,,,,,,,,,"{""Q0"":""I maximized the amount of money I earned."",""Q1"":""Yes; sometimes, I had to minimize losses instead of maximizing gains."",""Q2"":""28"",""Q3"":""Male""}",27559,,834185,,,survey-text,,7
,,,,,,,,,,,,,,"{""Q0"":""I just trusted my gut and guessed the correct direction to go to."",""Q1"":""I learned from my mistakes and picked different routes."",""Q2"":""22"",""Q3"":""Female""}",53809,,1599286,,,survey-text,,8
,,,,,,,,,,,,,,"{""Q0"":""randomized"",""Q1"":""no"",""Q2"":""41"",""Q3"":""female""}",17299,,1002263,,,survey-text,,9
,,,,,,,,,,,,,,"{""Q0"":""I tried to take the cheapest route with the biggest payoff."",""Q1"":""I learned I'm bad at gambling."",""Q2"":""29"",""Q3"":""male""}",48303,,1206275,,,survey-text,,10
,,,,,,,,,,,,,,"{""Q0"":""I tried to choose the most profitable path using the fewest looks.  I wanted to keep looking until I was at least sure of a positive return."",""Q1"":""There were several times that I wished I had not looked at so many options before deciding my path.  It would be interesting to see what my score would be after rethinking my decisions today."",""Q2"":""52"",""Q3"":""female""}",187272,,1775112,,,survey-text,,11
,,,,,,,,,,,,,,"{""Q0"":""The route i took before the next"",""Q1"":""Yes, to pay very very close attention to the route order"",""Q2"":""57"",""Q3"":""female""}",326167,,1656872,,,survey-text,,12
,,,,,,,,,,,,,,"{""Q0"":""i just guess"",""Q1"":""no"",""Q2"":""27"",""Q3"":""female""}",29545,,1814601,,,survey-text,,13
,,,,,,,,,,,,,,"{""Q0"":""It was done at random"",""Q1"":""No"",""Q2"":""29"",""Q3"":""Female""}",10752,,1724973,,,survey-text,,14
,,,,,,,,,,,,,,"{""Q0"":""Each step was about maximizing profit and minimizing loss.  I always took the route that had the highest green numbers, whenever possible."",""Q1"":""Yes, I learned to minimize the extra clicking to check amounts that I did."",""Q2"":""35"",""Q3"":""female""}",128471,,1237539,,,survey-text,,15
,,,,,,,,,,,,,,"{""Q0"":""I planned my route by selecting the end node that paid the most."",""Q1"":""Yes, sometimes the cost to the end node is higher than the return."",""Q2"":""36"",""Q3"":""Female""}",64142,,3147279,,,survey-text,,16
,,,,,,,,,,,,,,"{""Q0"":""I looked at the initial route, and sometimes the second or third levels, to figure out if there was a way to make up what I'd lost. Then I just tried randomly picking a direction."",""Q1"":""No, I don't think so. I wasn't very good at this the whole way through."",""Q2"":""28"",""Q3"":""Female""}",70661,,901246,,,survey-text,,17
,,,,,,,,,,,,,,"{""Q0"":""I always tried to maximize efficiency. My goal was to find at least 20 cents per flight."",""Q1"":""It seemed like a waste after a while to start beyond the immediate 4 directional moves, since you could be wasting clicks if there is a large negative number on your way."",""Q2"":""28"",""Q3"":""male""}",87191,,1312453,,,survey-text,,19
,,,,,,,,,,,,,,"{""Q0"":""i checked all four of the first stops, and only those that showed a positive number did i continue on with.  If they all were negatives, i chose the least amount of loss.  any paths that hit me with a -20 or a -12 i tended to abandon as it would be hard to make up for that big of a loss."",""Q1"":""maybe how to identify lost causes quicker"",""Q2"":""49"",""Q3"":""female""}",155299,,1151913,,,survey-text,,20
,,,,,,,,,,,,,,"{""Q0"":""I mostly tried determining the end location by clicking the final space in the route. If it was a positive dollar amount, then I would choose it."",""Q1"":""I found that if the final space was a positive dollar amount, then I'd usually make money during that round. Even with the cost of clicking the spaces, it seemed worth the 4 dollars per click to check."",""Q2"":""23"",""Q3"":""Male""}",151986,,1319717,,,survey-text,,21
,,,,,,,,,,,,,,"{""Q0"":""almost like a gamble. I choose a location and should it go in a red zone I choose a different location until I got into the green zone"",""Q1"":""no"",""Q2"":""32"",""Q3"":""female""}",68026,,1581032,,,survey-text,,22
,,,,,,,,,,,,,,"{""Q0"":""I didnt"",""Q1"":""No"",""Q2"":""50"",""Q3"":""female""}",30204,,1433831,,,survey-text,,25
,,,,,,,,,,,,,,"{""Q0"":""Uncovering certain moves for best route"",""Q1"":""Yes. I needed to uncover more"",""Q2"":""33"",""Q3"":""female""}",77014,,1228470,,,survey-text,,26
,,,,,,,,,,,,,,"{""Q0"":""tried to not spend a lot for info up front and chose from there."",""Q1"":""i ended up selecting certain spots to get values before"",""Q2"":""44"",""Q3"":""female""}",91380,,1351569,,,survey-text,,27
,,,,,,,,,,,,,,"{""Q0"":""I clicked on the first circle and then decided from there if I wanted to go further or if I wanted to try a different direction."",""Q1"":""I learned that the best route usually was 4, 12, and 20. "",""Q2"":""33"",""Q3"":""Female""}",66735,,956873,,,survey-text,,28
,,,,,,,,,,,,,,"{""Q0"":""tried blind at first, then just looked at a couple, then more"",""Q1"":""use my moves to find best money"",""Q2"":""40"",""Q3"":""female""}",30969,,1168075,,,survey-text,,29
,,,,,,,,,,,,,,"{""Q0"":""I started by clicking the starting stops. This generally told me weather or not the route would have been good or not."",""Q1"":""Yes, in order to plan better, don't just look ahead to things supper far down the line, also look at the now."",""Q2"":""56"",""Q3"":""Female""}",86700,,1291513,,,survey-text,,30
