p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,32.0,,,,,,,,7049,,705415,,,text,,0
,,,,,,,32.0,,,,,,,,9540,,715296,,,text,,2
,,,,,,,32.0,,,,,,,,7003,,895192,,,text,,3
,,,,,,,32.0,,,,,,,,2332,,873247,,,text,,4
,,,,,,,32.0,,,,,,,,6283,,646120,,,text,,6
,,,,,,,32.0,,,,,,,,4430,,565709,,,text,,7
,,,,,,,32.0,,,,,,,,39899,,1285778,,,text,,8
,,,,,,,32.0,,,,,,,,4178,,905059,,,text,,10
,,,,,,,32.0,,,,,,,,9421,,1488878,,,text,,13
,,,,,,,32.0,,,,,,,,5409,,1349355,,,text,,14
,,,,,,,32.0,,,,,,,,2637,,866477,,,text,,16
,,,,,,,32.0,,,,,,,,7898,,910638,,,text,,21
,,,,,,,32.0,,,,,,,,6821,,1187091,,,text,,22
,,,,,,,32.0,,,,,,,,6823,,1053880,,,text,,25
,,,,,,,32.0,,,,,,,,9655,,892437,,,text,,26
,,,,,,,32.0,,,,,,,,7675,,990313,,,text,,27
,,,,,,,32.0,,,,,,,,6514,,634988,,,text,,28
,,,,,,,32.0,,,,,,,,5617,,810817,,,text,,29
,,,,,,,32.0,,,,,,,,5485,,881225,,,text,,30
,,,,,,,32.0,,,,,,,,6636,,716246,,,text,,31
,,,,,,,32.0,,,,,,,,5990,,906471,,,text,,32
,,,,,,,32.0,,,,,,,,5806,,783797,,,text,,33
,,,,,,,32.0,,,,,,,,11580,,1120487,,,text,,34
,,,,,,,32.0,,,,,,,,5127,,799575,,,text,,36
,,,,,,,32.0,,,,,,,,7685,,951626,,,text,,37
,,,,,,,32.0,,,,,,,,12543,,879062,,,text,,38
,,,,,,,32.0,,,,,,,,7454,,1742314,,,text,,39
,,,,,,,32.0,,,,,,,,3909,,1271938,,,text,,40
,,,,,,,32.0,,,,,,,,11982,,965296,,,text,,41
,,,,,,,32.0,,,,,,,,64503,,1109729,,,text,,45
,,,,,,,32.0,,,,,,,,4264,,947171,,,text,,46
,,,,,,,32.0,,,,,,,,5166,,857184,,,text,,47
,,,,,,,32.0,,,,,,,,6715,,714998,,,text,,49
,,,,,,,32.0,,,,,,,,6966,,855549,,,text,,51
,,,,,,,32.0,,,,,,,,6681,,1106336,,,text,,53
,,,,,,,32.0,,,,,,,,3134,,906340,,,text,,54
