pid	Verbal Report	cat_score_high	cat_score_low	cat_score_med	cat_cost_high	cat_cost_low	cat_cost_med
0	I determined which ending had the most to offer and snaked my way down to which path had the highest reward.	0	0	1	0	1	0
1	Looking for the most green trails. Stayed away from the high red numbers	0	0	1	0	0	1
4	In L-shaped patterns.	0	1	0	1	0	0
5	I Mainly just started with the four center circles and if I saw a +12/+20 I would keep going down that path and if i saw a -12/20 i switched to the others. If a path gave me a total of above 20 I usually stopped searching.	1	0	0	0	1	0
6	Choosing just a few points and finding what I thought was a positive dollar path	1	0	0	0	0	1
7	I chose routes with most money	0	1	0	0	0	1
9	I planned as a circle and when it didn't work for me I started back over or at least tried to make it as close as I could.	0	0	1	0	0	1
10	Clicked a couple times to see if there were any huge negatives in general directions before moving	0	1	0	1	0	0
11	I clicked all the first stops first. From there I followed the most dollar amount. If I encountered any -$20 I stopped. I followed the path of 'green only' when possible. If there was an all green path before I looked at all the amounts, I usually took it. 	0	1	0	0	1	0
12	check value of the 4 directions you can go, chose the one that was worth the most and try to avoid any deductions.	0	0	1	0	0	1
13	I looked at the first circle amount then went from there.	1	0	0	0	0	1
15	At first I didn't have a good strategy.  I then realized that I needed to find out more information in order to make the best route possible.  	1	0	0	0	0	1
16	Assessing the net gain for each route	0	1	0	0	1	0
17	I didn't plan. I went with gut instincts I guess.	0	1	0	1	0	0
18	First, I selected the first four paths. Out of the ones that had the highest amounts, I selected the rest of the path to see which ones would yield the most profit.	0	0	1	0	0	1
19	I looked at the values for the end decision, then looked at the initial decision to find the higher value	0	0	1	0	1	0
20	I checked the circumference first and tried to find a positive number. Then I went from there looking for more positives.	1	0	0	0	0	1
21	By the amount of money avaliable	0	1	0	0	1	0
23	On some I just guessed and some I clicked to see what the amount was. Either way it was kinda a guess	0	1	0	0	0	1
24	There was a problem with choosing the right arrow even though I switched keyboards	1	0	0	1	0	0
25	Well I clicked on the closest circle and would plan to check the values of the circles that had positive numbers, especially larger ones. I would check multiple positive circles to find the best routes.	0	0	1	0	1	0
26	I tried following the positive amounts in the inner ring, but that didn't work. After that I just moved at random.	1	0	0	1	0	0
27	At first it was purely random. Then I did go in a pattern that appeared to be successful	1	0	0	1	0	0
28	I like consistency and sticking with what I know.	0	1	0	0	1	0
29	checked to see which way paid more and if I found a twenty spot I went that way	0	1	0	0	1	0
30	based on the most money offered	0	0	1	0	1	0
31	guessed	0	0	1	1	0	0
33	I finally started flipping the direction	0	1	0	0	0	1
34	I clicked on different points to plan the best stratehy	0	0	1	1	0	0
35	I prefer to know all the possibilities and facts so I gave away money in order to know the facts. I first choice the route away from the base then clicked on the routes that paid the most while taking away the lest. Sometimes this worked, many times it didn't.	0	1	0	0	0	1
36	I tried to reveal the least amount of hints so I wouldn't have to pay too much for the information. I stop revealing the hints when I felt like I had a good enough idea which path to go (as opposed to revealing every spot).	0	0	1	0	1	0
37	showed the first steps to see if that could give me a hint as to what way I should go. but no good	0	1	0	1	0	0
38	going up or forward seemed to work best most of the time. I thought there was a possible pattern	0	1	0	0	1	0
39	I looked for the highest positive within the first two steps, then looked for a 12 or 20 in the final spot	1	0	0	0	0	1
40	I clicked on enough routes to make sure I would have a fairly accurate idea of the values.	0	0	1	0	0	1
41	Trying to find the best route by luck	0	1	0	0	0	1
42	I looked for the routes that had high net values	0	0	1	0	1	0
43	I tried to guess based on the other routes that were done. 	1	0	0	1	0	0
44	Random.	0	1	0	0	0	1
46	I didn't have a strategy.  I just hoped for the best.	0	1	0	0	1	0
48	i guessed most of the time. I did not have a special route planned. Just guessed and tried to figure out which route was best.	0	1	0	0	1	0
49	Of course I tried to pick the route that I thought would make the biggest profit.	0	0	1	0	0	1
50	i'd would click on the closest circles first and then plan on which route i'd take by going towards the best 2nd circle i'd see. 	1	0	0	0	1	0
51	at first i clicked on everything to see where to make the most money.	0	1	0	0	1	0
52	I looked to see which route would earn me the most money. 	0	0	1	0	1	0
53	I wanted to see the cost of the first flight on all of them then where I'd end	1	0	0	0	0	1
54	I picked the route with the most money	0	1	0	0	1	0
55	I could not find any rhyme or reason to any of it so i just tried to choose the best route after revealing a few amounts	0	1	0	1	0	0
56	I checked the value of each stop and then planned the route that would earn the highest (or lose the least).	1	0	0	0	1	0
57	Rather than waste money uncovering ALL of the routes to know the best route, I only uncovered 3 out of the first 4 nodes. If one of those nodes was positive then it would be better to take it then waste money on the final uncovered node. Then I would uncover the nodes in the positive routes from there and which had the highest values at that point I would then uncover the final two, thereby maximizing the money I would make for my chosen route.	1	0	0	0	1	0
58	Predicted where the highest money was likely to be based on previous rounds	1	0	0	1	0	0
59	Look to see if first circle was positive. If positive I went to that one first. If negative I checked another	1	0	0	1	0	0
61	At first I thought all red/negative were a bad move, so it took me a moment to figure out it's about the total sum.	0	1	0	0	0	1
62	Initially, just randomly went. Later, looked at random path and if value of path exceeded cost of peeking, took it.	1	0	0	0	0	1
63	I chose to view the payout of each final option, and then went to the highest payout... usually.	0	1	0	0	1	0
64	I started with the four initial routes to see which would give the most money, then looked at the other routes from there.	1	0	0	0	0	1
65	I tried to guess which route would be the best through clicking the closest tiles to the center.	0	1	0	0	1	0
66	I checked the first amount for all the directions. Then based on that checked the following amounts only to one direction or at most two. 	0	0	1	0	1	0
67	I followed positives until I hit a negative. 	0	0	1	0	1	0
68	guessed	0	1	0	1	0	0
69	Completely random, as i noticed all directions gave different results each round.	0	1	0	0	0	1
70	figured the most profitable path	0	0	1	0	1	0
71	I chose the route that would earn the most money.	1	0	0	0	1	0
72	Sometimes I used the hints by clicking on the next step, otherwise I just randomly chose a path.	0	0	1	1	0	0
73	i just relied on my own instinct regardless if i chose wrong 	0	1	0	0	0	1
74	opening as many as possible	0	0	1	0	1	0
75	by seeing which beginning way to start by the cost	1	0	0	1	0	0
76	I mostly looked at the end results of each route because ending on a positive number is a good idea.	0	0	1	0	0	1
77	I began at the end of the route and find one that was profitable and work my way in. If I could find one that was revenue of $20 and one another that was positive, I did not have to click the third circle as I knew the overall route was going to be profitable	1	0	0	0	0	1
78	I tried to look at the ending prices 	0	1	0	0	1	0
79	I checked to see what the 2nd circle would be, if it would benefit or hurt me,  then checked one side of each of the T shapes, and decided from there	1	0	0	0	1	0
80	I was looking to see which final stop had the best money	1	0	0	1	0	0
81	I revealed most of the amounts and chose the route.	0	0	1	0	0	1
