p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,,67840,,67841,,,instructions,"[{""page_index"":0,""viewing_time"":23914},{""page_index"":1,""viewing_time"":21811},{""page_index"":2,""viewing_time"":14701},{""page_index"":3,""viewing_time"":7414}]",0
,,,,,,,,,,,,,,,27434,,126003,,,instructions,"[{""page_index"":0,""viewing_time"":4087},{""page_index"":1,""viewing_time"":4497},{""page_index"":2,""viewing_time"":6896},{""page_index"":3,""viewing_time"":11954}]",0
,,,,,,,,,,,,,,,41405,,190687,,,instructions,"[{""page_index"":0,""viewing_time"":14489},{""page_index"":1,""viewing_time"":18859},{""page_index"":2,""viewing_time"":4497},{""page_index"":3,""viewing_time"":3560}]",0
,,,,,,,,,,,,,,,135892,,135893,,,instructions,"[{""page_index"":0,""viewing_time"":45160},{""page_index"":1,""viewing_time"":22549},{""page_index"":2,""viewing_time"":44184},{""page_index"":3,""viewing_time"":23998}]",1
,,,,,,,,,,,,,,,65496,,65497,,,instructions,"[{""page_index"":0,""viewing_time"":37703},{""page_index"":1,""viewing_time"":11992},{""page_index"":2,""viewing_time"":15800}]",2
,,,,,,,,,,,,,,,188465,,188465,,,instructions,"[{""page_index"":0,""viewing_time"":63392},{""page_index"":1,""viewing_time"":88541},{""page_index"":2,""viewing_time"":36531}]",3
,,,,,,,,,,,,,,,125278,,125280,,,instructions,"[{""page_index"":0,""viewing_time"":47862},{""page_index"":1,""viewing_time"":57176},{""page_index"":2,""viewing_time"":20236}]",4
,,,,,,,,,,,,,,,61271,,61273,,,instructions,"[{""page_index"":0,""viewing_time"":18014},{""page_index"":1,""viewing_time"":12587},{""page_index"":2,""viewing_time"":19482},{""page_index"":3,""viewing_time"":11188}]",5
,,,,,,,,,,,,,,,42777,,159619,,,instructions,"[{""page_index"":0,""viewing_time"":16549},{""page_index"":1,""viewing_time"":8115},{""page_index"":2,""viewing_time"":12546},{""page_index"":3,""viewing_time"":5566}]",5
,,,,,,,,,,,,,,,51906,,233487,,,instructions,"[{""page_index"":0,""viewing_time"":2751},{""page_index"":1,""viewing_time"":4050},{""page_index"":0,""viewing_time"":6593},{""page_index"":1,""viewing_time"":19084},{""page_index"":2,""viewing_time"":13528},{""page_index"":3,""viewing_time"":5900}]",5
,,,,,,,,,,,,,,,3747,,254362,,,instructions,"[{""page_index"":0,""viewing_time"":1881},{""page_index"":1,""viewing_time"":760},{""page_index"":2,""viewing_time"":689},{""page_index"":3,""viewing_time"":415}]",5
,,,,,,,,,,,,,,,287781,,287789,,,instructions,"[{""page_index"":0,""viewing_time"":141508},{""page_index"":1,""viewing_time"":77406},{""page_index"":2,""viewing_time"":49135},{""page_index"":3,""viewing_time"":19732}]",6
,,,,,,,,,,,,,,,176644,,176646,,,instructions,"[{""page_index"":0,""viewing_time"":49795},{""page_index"":1,""viewing_time"":46727},{""page_index"":2,""viewing_time"":48895},{""page_index"":3,""viewing_time"":31225}]",7
,,,,,,,,,,,,,,,17765,,17766,,,instructions,"[{""page_index"":0,""viewing_time"":4753},{""page_index"":1,""viewing_time"":6577},{""page_index"":2,""viewing_time"":6434}]",8
,,,,,,,,,,,,,,,28004,,76958,,,instructions,"[{""page_index"":0,""viewing_time"":11685},{""page_index"":1,""viewing_time"":10574},{""page_index"":2,""viewing_time"":5744}]",8
,,,,,,,,,,,,,,,162731,,162733,,,instructions,"[{""page_index"":0,""viewing_time"":43413},{""page_index"":1,""viewing_time"":54269},{""page_index"":2,""viewing_time"":35228},{""page_index"":3,""viewing_time"":29820}]",9
,,,,,,,,,,,,,,,143342,,450948,,,instructions,"[{""page_index"":0,""viewing_time"":60132},{""page_index"":1,""viewing_time"":26717},{""page_index"":2,""viewing_time"":51312},{""page_index"":3,""viewing_time"":5180}]",9
,,,,,,,,,,,,,,,180389,,180390,,,instructions,"[{""page_index"":0,""viewing_time"":62395},{""page_index"":1,""viewing_time"":48346},{""page_index"":2,""viewing_time"":45602},{""page_index"":3,""viewing_time"":24045}]",10
,,,,,,,,,,,,,,,146200,,146203,,,instructions,"[{""page_index"":0,""viewing_time"":39739},{""page_index"":1,""viewing_time"":37483},{""page_index"":2,""viewing_time"":46455},{""page_index"":3,""viewing_time"":22523}]",11
,,,,,,,,,,,,,,,139604,,139604,,,instructions,"[{""page_index"":0,""viewing_time"":55140},{""page_index"":1,""viewing_time"":39349},{""page_index"":2,""viewing_time"":45113}]",12
,,,,,,,,,,,,,,,184894,,184895,,,instructions,"[{""page_index"":0,""viewing_time"":32011},{""page_index"":1,""viewing_time"":30825},{""page_index"":2,""viewing_time"":77533},{""page_index"":3,""viewing_time"":44524}]",13
,,,,,,,,,,,,,,,62147,,292272,,,instructions,"[{""page_index"":0,""viewing_time"":29780},{""page_index"":1,""viewing_time"":12224},{""page_index"":2,""viewing_time"":12030},{""page_index"":3,""viewing_time"":8112}]",13
,,,,,,,,,,,,,,,63807,,527641,,,instructions,"[{""page_index"":0,""viewing_time"":24516},{""page_index"":1,""viewing_time"":13274},{""page_index"":2,""viewing_time"":15754},{""page_index"":3,""viewing_time"":10262}]",13
,,,,,,,,,,,,,,,30145,,581678,,,instructions,"[{""page_index"":0,""viewing_time"":28059},{""page_index"":1,""viewing_time"":816},{""page_index"":2,""viewing_time"":768},{""page_index"":3,""viewing_time"":502}]",13
,,,,,,,,,,,,,,,32500,,642074,,,instructions,"[{""page_index"":0,""viewing_time"":15289},{""page_index"":1,""viewing_time"":14418},{""page_index"":2,""viewing_time"":1861},{""page_index"":3,""viewing_time"":931}]",13
,,,,,,,,,,,,,,,5248,,709727,,,instructions,"[{""page_index"":0,""viewing_time"":2346},{""page_index"":1,""viewing_time"":534},{""page_index"":0,""viewing_time"":642},{""page_index"":1,""viewing_time"":636},{""page_index"":2,""viewing_time"":604},{""page_index"":3,""viewing_time"":486}]",13
,,,,,,,,,,,,,,,4150,,728165,,,instructions,"[{""page_index"":0,""viewing_time"":2402},{""page_index"":1,""viewing_time"":642},{""page_index"":2,""viewing_time"":534},{""page_index"":3,""viewing_time"":572}]",13
,,,,,,,,,,,,,,,6172,,750225,,,instructions,"[{""page_index"":0,""viewing_time"":3749},{""page_index"":1,""viewing_time"":1176},{""page_index"":2,""viewing_time"":652},{""page_index"":3,""viewing_time"":594}]",13
,,,,,,,,,,,,,,,4056,,773831,,,instructions,"[{""page_index"":0,""viewing_time"":1999},{""page_index"":1,""viewing_time"":880},{""page_index"":2,""viewing_time"":502},{""page_index"":3,""viewing_time"":674}]",13
,,,,,,,,,,,,,,,426524,,426524,,,instructions,"[{""page_index"":0,""viewing_time"":226805},{""page_index"":1,""viewing_time"":813},{""page_index"":2,""viewing_time"":1136},{""page_index"":1,""viewing_time"":1713},{""page_index"":0,""viewing_time"":3845},{""page_index"":1,""viewing_time"":55969},{""page_index"":2,""viewing_time"":85565},{""page_index"":3,""viewing_time"":50678}]",14
,,,,,,,,,,,,,,,71930,,71931,,,instructions,"[{""page_index"":0,""viewing_time"":26835},{""page_index"":1,""viewing_time"":24247},{""page_index"":2,""viewing_time"":20848}]",15
,,,,,,,,,,,,,,,14430,,115458,,,instructions,"[{""page_index"":0,""viewing_time"":11573},{""page_index"":1,""viewing_time"":1744},{""page_index"":2,""viewing_time"":1112}]",15
,,,,,,,,,,,,,,,177950,,177951,,,instructions,"[{""page_index"":0,""viewing_time"":63323},{""page_index"":1,""viewing_time"":36413},{""page_index"":2,""viewing_time"":28479},{""page_index"":3,""viewing_time"":49734}]",16
,,,,,,,,,,,,,,,66446,,298355,,,instructions,"[{""page_index"":0,""viewing_time"":44886},{""page_index"":1,""viewing_time"":16672},{""page_index"":2,""viewing_time"":2863},{""page_index"":3,""viewing_time"":2024}]",16
,,,,,,,,,,,,,,,19365,,345345,,,instructions,"[{""page_index"":0,""viewing_time"":7957},{""page_index"":1,""viewing_time"":4864},{""page_index"":2,""viewing_time"":5871},{""page_index"":3,""viewing_time"":672}]",16
,,,,,,,,,,,,,,,52353,,52354,,,instructions,"[{""page_index"":0,""viewing_time"":19538},{""page_index"":1,""viewing_time"":21693},{""page_index"":2,""viewing_time"":11120}]",17
,,,,,,,,,,,,,,,91032,,91035,,,instructions,"[{""page_index"":0,""viewing_time"":48147},{""page_index"":1,""viewing_time"":18995},{""page_index"":2,""viewing_time"":14588},{""page_index"":3,""viewing_time"":9300}]",18
,,,,,,,,,,,,,,,74920,,196394,,,instructions,"[{""page_index"":0,""viewing_time"":7139},{""page_index"":1,""viewing_time"":21226},{""page_index"":2,""viewing_time"":20148},{""page_index"":3,""viewing_time"":26406}]",18
,,,,,,,,,,,,,,,48046,,284645,,,instructions,"[{""page_index"":0,""viewing_time"":10323},{""page_index"":1,""viewing_time"":13332},{""page_index"":2,""viewing_time"":14590},{""page_index"":3,""viewing_time"":9800}]",18
