PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,time_limit,version
featureBased,1.33,0.01,True,4,24,4,True,after_each_move,1.25,full,0,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",133.0,True,1.9
featureBased,0.56,0.01,True,5,24,4,True,after_each_move,4.0,full,1,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",56.0,True,1.9
none,0.0,0.01,False,0,24,4,False,after_each_move,0.1,none,2,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,3,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-28.0,True,1.9
none,0.96,0.01,True,1,24,4,False,after_each_move,1.25,none,4,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",96.0,True,1.9
objectLevel,2.86,0.01,True,6,24,4,True,after_each_move,0.1,full,5,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",286.3,True,1.9
featureBased,3.12,0.01,True,3,24,4,True,after_each_move,0.1,full,6,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",311.5,True,1.9
featureBased,0.0,0.01,False,5,24,4,True,after_each_move,4.0,full,7,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",,True,1.9
none,0.88,0.01,True,1,24,4,False,after_each_move,1.25,none,8,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",88.0,True,1.9
objectLevel,0.0,0.01,False,7,24,4,True,after_each_move,1.25,full,9,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",,True,1.9
featureBased,1.15,0.01,True,4,24,4,True,after_each_move,1.25,full,10,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",115.0,True,1.9
featureBased,0.73,0.01,True,4,24,4,True,after_each_move,1.25,full,11,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",72.75,True,1.9
none,1.16,0.01,True,2,24,4,False,after_each_move,4.0,none,12,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",116.0,True,1.9
objectLevel,3.22,0.01,True,6,24,4,True,after_each_move,0.1,full,13,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",321.9,True,1.9
featureBased,3.46,0.01,True,3,24,4,True,after_each_move,0.1,full,14,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",345.9,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,15,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-176.0,True,1.9
objectLevel,0.92,0.01,True,6,24,4,True,after_each_move,0.1,full,16,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",92.0,True,1.9
none,2.89,0.01,True,0,24,4,False,after_each_move,0.1,none,17,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",289.4,True,1.9
objectLevel,0.68,0.01,True,8,24,4,True,after_each_move,4.0,full,18,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",68.0,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,19,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-44.0,True,1.9
objectLevel,1.04,0.01,True,6,24,4,True,after_each_move,0.1,full,20,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",104.0,True,1.9
featureBased,2.8,0.01,True,3,24,4,True,after_each_move,0.1,full,21,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",280.1,True,1.9
none,2.43,0.01,True,0,24,4,False,after_each_move,0.1,none,22,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",243.5,True,1.9
featureBased,1.09,0.01,True,4,24,4,True,after_each_move,1.25,full,23,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",109.25,True,1.9
none,1.01,0.01,True,1,24,4,False,after_each_move,1.25,none,24,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",101.0,True,1.9
featureBased,0.0,0.01,True,4,24,4,True,after_each_move,1.25,full,25,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",-56.0,True,1.9
none,0.0,0.01,True,0,24,4,False,after_each_move,0.1,none,26,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",-13.2,True,1.9
featureBased,3.39,0.01,True,3,24,4,True,after_each_move,0.1,full,27,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",339.2,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,28,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-144.0,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,29,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-56.0,True,1.9
objectLevel,0.0,0.01,False,8,24,4,True,after_each_move,4.0,full,30,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",,True,1.9
none,2.9,0.01,True,0,24,4,False,after_each_move,0.1,none,31,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",289.8,True,1.9
none,3.05,0.01,True,0,24,4,False,after_each_move,0.1,none,32,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",305.4,True,1.9
objectLevel,0.0,0.01,True,6,24,4,True,after_each_move,0.1,full,33,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",-96.0,True,1.9
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,0.1,full,34,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",,True,1.9
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,35,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-88.0,True,1.9
objectLevel,0.0,0.01,False,8,24,4,True,after_each_move,4.0,full,36,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",,True,1.9
objectLevel,1.41,0.01,True,7,24,4,True,after_each_move,1.25,full,37,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",141.25,True,1.9
objectLevel,0.72,0.01,True,8,24,4,True,after_each_move,4.0,full,38,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",72.0,True,1.9
objectLevel,0.0,0.01,False,6,24,4,True,after_each_move,0.1,full,39,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,40,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-92.0,True,1.9
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,0.1,full,41,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",,True,1.9
featureBased,3.47,0.01,True,3,24,4,True,after_each_move,0.1,full,42,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",347.2,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,43,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-104.0,True,1.9
objectLevel,0.22,0.01,True,7,24,4,True,after_each_move,1.25,full,44,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",22.0,True,1.9
featureBased,2.25,0.01,True,3,24,4,True,after_each_move,0.1,full,45,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",224.5,True,1.9
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,46,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-8.0,True,1.9
featureBased,1.27,0.01,True,4,24,4,True,after_each_move,1.25,full,47,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",126.5,True,1.9
featureBased,0.96,0.01,True,4,24,4,True,after_each_move,1.25,full,48,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",95.75,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,49,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-56.0,True,1.9
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,50,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-44.0,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,51,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-132.0,True,1.9
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,52,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-12.0,True,1.9
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,53,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-168.0,True,1.9
featureBased,3.06,0.01,True,3,24,4,True,after_each_move,0.1,full,54,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",306.2,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,55,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-60.0,True,1.9
none,0.16,0.01,True,1,24,4,False,after_each_move,1.25,none,56,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",16.25,True,1.9
featureBased,1.07,0.01,True,4,24,4,True,after_each_move,1.25,full,57,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",106.75,True,1.9
featureBased,3.37,0.01,True,3,24,4,True,after_each_move,0.1,full,58,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",337.1,True,1.9
objectLevel,2.2,0.01,True,6,24,4,True,after_each_move,0.1,full,59,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",220.4,True,1.9
featureBased,3.06,0.01,True,3,24,4,True,after_each_move,0.1,full,60,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",305.9,True,1.9
objectLevel,3.16,0.01,True,6,24,4,True,after_each_move,0.1,full,61,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",316.0,True,1.9
none,0.48,0.01,True,1,24,4,False,after_each_move,1.25,none,62,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",48.0,True,1.9
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,0.1,full,63,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",,True,1.9
objectLevel,3.33,0.01,True,6,24,4,True,after_each_move,0.1,full,64,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",332.8,True,1.9
none,1.57,0.01,True,1,24,4,False,after_each_move,1.25,none,65,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",157.25,True,1.9
featureBased,0.0,0.01,False,5,24,4,True,after_each_move,4.0,full,66,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",,True,1.9
featureBased,1.57,0.01,True,4,24,4,True,after_each_move,1.25,full,67,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",156.5,True,1.9
none,0.41,0.01,True,1,24,4,False,after_each_move,1.25,none,68,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",41.25,True,1.9
none,2.08,0.01,True,0,24,4,False,after_each_move,0.1,none,69,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",207.7,True,1.9
objectLevel,0.0,0.01,False,7,24,4,True,after_each_move,1.25,full,70,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",,True,1.9
none,3.23,0.01,True,0,24,4,False,after_each_move,0.1,none,71,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",322.5,True,1.9
none,3.45,0.01,True,0,24,4,False,after_each_move,0.1,none,72,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",345.2,True,1.9
featureBased,1.77,0.01,True,4,24,4,True,after_each_move,1.25,full,73,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",176.5,True,1.9
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,4.0,full,74,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-140.0,True,1.9
featureBased,0.81,0.01,True,4,24,4,True,after_each_move,1.25,full,75,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",81.0,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,76,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-176.0,True,1.9
objectLevel,3.4,0.01,True,6,24,4,True,after_each_move,0.1,full,77,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",340.3,True,1.9
none,0.0,0.01,True,1,24,4,False,after_each_move,1.25,none,78,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",-2.5,True,1.9
none,1.49,0.01,True,1,24,4,False,after_each_move,1.25,none,79,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",149.25,True,1.9
objectLevel,1.52,0.01,True,7,24,4,True,after_each_move,1.25,full,80,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",152.0,True,1.9
none,0.0,0.01,True,2,24,4,False,after_each_move,4.0,none,81,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-72.0,True,1.9
objectLevel,0.0,0.01,False,7,24,4,True,after_each_move,1.25,full,82,"[1.7132112787775398, 0.46426212124574967, 0.23605538377611573, 0.4252363266867176, 0.993457670362997]",,True,1.9
featureBased,0.0,0.01,True,5,24,4,True,after_each_move,4.0,full,83,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",-68.0,True,1.9
none,0.08,0.01,True,2,24,4,False,after_each_move,4.0,none,84,"[1.0204049741183023, 0.9892671828885087, -0.013161214101093, 0.01785957275841159, 1.0004646109245603]",8.0,True,1.9
featureBased,2.88,0.01,True,3,24,4,True,after_each_move,0.1,full,85,"[2.053410166049148, 0.035432105933805545, 0.027055750247385255, 0.9432457551263028, 0.9979765410879625]",287.7,True,1.9
