action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,139948,,,139950,,,instructions,"[{""page_index"":0,""viewing_time"":46185},{""page_index"":1,""viewing_time"":33300},{""page_index"":2,""viewing_time"":37452},{""page_index"":3,""viewing_time"":23010}]",0
,,,,,,,,,40093,,,40095,,,instructions,"[{""page_index"":0,""viewing_time"":9234},{""page_index"":1,""viewing_time"":12413},{""page_index"":2,""viewing_time"":13268},{""page_index"":3,""viewing_time"":5175}]",1
,,,,,,,,,12833,,,67850,,,instructions,"[{""page_index"":0,""viewing_time"":4004},{""page_index"":1,""viewing_time"":2841},{""page_index"":2,""viewing_time"":3472},{""page_index"":3,""viewing_time"":2515}]",1
,,,,,,,,,65603,,,65603,,,instructions,"[{""page_index"":0,""viewing_time"":13846},{""page_index"":1,""viewing_time"":18172},{""page_index"":2,""viewing_time"":10256},{""page_index"":3,""viewing_time"":23328}]",2
,,,,,,,,,25036,,,130433,,,instructions,"[{""page_index"":0,""viewing_time"":7707},{""page_index"":1,""viewing_time"":64},{""page_index"":2,""viewing_time"":12618},{""page_index"":3,""viewing_time"":4646}]",2
,,,,,,,,,34528,,,187502,,,instructions,"[{""page_index"":0,""viewing_time"":10584},{""page_index"":1,""viewing_time"":12838},{""page_index"":2,""viewing_time"":9145},{""page_index"":3,""viewing_time"":1960}]",2
,,,,,,,,,146579,,,146579,,,instructions,"[{""page_index"":0,""viewing_time"":66347},{""page_index"":1,""viewing_time"":34799},{""page_index"":2,""viewing_time"":45432}]",3
,,,,,,,,,180314,,,363385,,,instructions,"[{""page_index"":0,""viewing_time"":65134},{""page_index"":1,""viewing_time"":85480},{""page_index"":2,""viewing_time"":29700}]",3
,,,,,,,,,154770,,,154774,,,instructions,"[{""page_index"":0,""viewing_time"":29640},{""page_index"":1,""viewing_time"":16103},{""page_index"":2,""viewing_time"":13773},{""page_index"":1,""viewing_time"":2693},{""page_index"":0,""viewing_time"":33394},{""page_index"":1,""viewing_time"":20380},{""page_index"":2,""viewing_time"":38784}]",4
,,,,,,,,,79461,,,79461,,,instructions,"[{""page_index"":0,""viewing_time"":26287},{""page_index"":1,""viewing_time"":24334},{""page_index"":2,""viewing_time"":18463},{""page_index"":3,""viewing_time"":10376}]",5
,,,,,,,,,39396,,,143577,,,instructions,"[{""page_index"":0,""viewing_time"":13052},{""page_index"":1,""viewing_time"":6632},{""page_index"":2,""viewing_time"":7656},{""page_index"":3,""viewing_time"":12055}]",5
,,,,,,,,,116685,,,116687,,,instructions,"[{""page_index"":0,""viewing_time"":25939},{""page_index"":1,""viewing_time"":38937},{""page_index"":2,""viewing_time"":29814},{""page_index"":3,""viewing_time"":21993}]",6
,,,,,,,,,329707,,,329711,,,instructions,"[{""page_index"":0,""viewing_time"":138983},{""page_index"":1,""viewing_time"":66156},{""page_index"":2,""viewing_time"":81370},{""page_index"":3,""viewing_time"":43196}]",7
,,,,,,,,,125021,,,125021,,,instructions,"[{""page_index"":0,""viewing_time"":61125},{""page_index"":1,""viewing_time"":34640},{""page_index"":2,""viewing_time"":29255}]",8
,,,,,,,,,264347,,,264349,,,instructions,"[{""page_index"":0,""viewing_time"":130277},{""page_index"":1,""viewing_time"":84615},{""page_index"":2,""viewing_time"":32077},{""page_index"":1,""viewing_time"":16249},{""page_index"":2,""viewing_time"":1127}]",9
,,,,,,,,,96390,,,96394,,,instructions,"[{""page_index"":0,""viewing_time"":35492},{""page_index"":1,""viewing_time"":33083},{""page_index"":2,""viewing_time"":27812}]",10
,,,,,,,,,70729,,,197284,,,instructions,"[{""page_index"":0,""viewing_time"":15904},{""page_index"":1,""viewing_time"":38742},{""page_index"":2,""viewing_time"":16082}]",10
,,,,,,,,,63860,,,306745,,,instructions,"[{""page_index"":0,""viewing_time"":10126},{""page_index"":1,""viewing_time"":26269},{""page_index"":2,""viewing_time"":9837},{""page_index"":1,""viewing_time"":667},{""page_index"":0,""viewing_time"":9345},{""page_index"":1,""viewing_time"":6614},{""page_index"":2,""viewing_time"":1001}]",10
,,,,,,,,,238860,,,238862,,,instructions,"[{""page_index"":0,""viewing_time"":61135},{""page_index"":1,""viewing_time"":95486},{""page_index"":2,""viewing_time"":45280},{""page_index"":3,""viewing_time"":36957}]",11
,,,,,,,,,105812,,,420411,,,instructions,"[{""page_index"":0,""viewing_time"":35373},{""page_index"":1,""viewing_time"":25358},{""page_index"":2,""viewing_time"":26255},{""page_index"":3,""viewing_time"":18824}]",11
,,,,,,,,,19098,,,474422,,,instructions,"[{""page_index"":0,""viewing_time"":12215},{""page_index"":1,""viewing_time"":3370},{""page_index"":2,""viewing_time"":1606},{""page_index"":3,""viewing_time"":1906}]",11
,,,,,,,,,139479,,,657974,,,instructions,"[{""page_index"":0,""viewing_time"":52580},{""page_index"":1,""viewing_time"":29009},{""page_index"":2,""viewing_time"":33980},{""page_index"":3,""viewing_time"":23909}]",11
,,,,,,,,,19389,,,714828,,,instructions,"[{""page_index"":0,""viewing_time"":17248},{""page_index"":1,""viewing_time"":1340},{""page_index"":2,""viewing_time"":271},{""page_index"":3,""viewing_time"":529}]",11
