action_times,actions,button_pressed,correct,delays,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[24959, 30085, 34388]","[u'right', u'right', u'up']",,,"[-1, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'9', u'4', u'5', u'2', u'6'], u'time': [6051, 10901, 12487, 14753, 15547, 21776]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[24958, 4, 2493]",28.0,,228647,1.0,2.0,mouselab-mdp,,0
"[17552, 22854, 27247]","[u'up', u'up', u'left']",,,"[-1, -1, -1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'7', u'3', u'5', u'2', u'6', u'9', u'12', u'13'], u'time': [2603, 4361, 6484, 7986, 10128, 11098, 14281, 15166, 22862, 25113]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[17552, 4, 2144]",30.0,,281337,2.0,10.0,mouselab-mdp,,0
"[19197, 23786, 24913]","[u'left', u'left', u'down']",,,"[-1, -1, -1]","[u'1', 4, 8, 15]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'5', u'2', u'3', u'9', u'16', u'17', u'4', u'8', u'15', u'14'], u'time': [2436, 4324, 5182, 7343, 8301, 10929, 11738, 14371, 15410, 16288, 17239]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[19197, 4, 43]",39.0,,337139,3.0,8.0,mouselab-mdp,,0
"[24041, 29715, 30953]","[u'right', u'right', u'up']",,,"[-1, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'8', u'2', u'5', u'7', u'9', u'17', u'6', u'10', u'11', u'14', u'13'], u'time': [1796, 4060, 5843, 9038, 10105, 11676, 13458, 14578, 16414, 18118, 19052, 20333, 22231]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[24040, 3, 4]",23.0,,391334,4.0,3.0,mouselab-mdp,,0
"[17483, 22445, 24166]","[u'right', u'right', u'down']",,,"[-1, -1, -1]","[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'6', u'10', u'11', u'15', u'8', u'7', u'12', u'3', u'9', u'13', u'5'], u'time': [1655, 2502, 4292, 5832, 6556, 8182, 8728, 10118, 10810, 11332, 12251, 14563, 15876]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[17483, 4, 595]",43.0,,442821,5.0,6.0,mouselab-mdp,,0
"[14878, 19117, 20333]","[u'up', u'up', u'left']",,,"[-1, -1, -1]","[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'5', u'9', u'17', u'16', u'7', u'12', u'13', u'8'], u'time': [1090, 3313, 4215, 5343, 6721, 7452, 8705, 9497, 10143, 11886]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14877, 4, 99]",34.0,,493911,6.0,1.0,mouselab-mdp,,0
"[18459, 23039, 24163]","[u'down', u'down', u'right']",,,"[-1, -1, -1]","[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'5', u'9', u'16', u'17', u'4', u'8', u'14', u'15', u'6', u'7'], u'time': [1502, 3338, 4248, 5269, 6318, 7187, 8324, 10200, 10852, 11497, 12923, 17062]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18458, 3, 4]",30.0,,546184,7.0,4.0,mouselab-mdp,,0
"[18416, 22410, 23467]","[u'left', u'left', u'up']",,,"[-1, -1, -1]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'10', u'11', u'4', u'8', u'15', u'14', u'3', u'7', u'12', u'13', u'5'], u'time': [2247, 3505, 4261, 4844, 5777, 6858, 7546, 8321, 9549, 10187, 11239, 13744, 14769]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18416, 4, 222]",44.0,,599221,8.0,7.0,mouselab-mdp,,0
"[11623, 16059, 17405]","[u'right', u'right', u'up']",,,"[-1, -1, -1]","[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'10', u'11', u'4', u'8', u'3', u'7', u'5'], u'time': [1250, 1969, 3169, 3797, 4825, 5571, 7057, 8427, 9897]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11623, 4, 4]",28.0,,651997,9.0,5.0,mouselab-mdp,,0
"[13480, 18753, 20074]","[u'left', u'left', u'up']",,,"[-1, -1, -1]","[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'4', u'8', u'15', u'14', u'3', u'7', u'12', u'5', u'9', u'17'], u'time': [1162, 2016, 2864, 3713, 4552, 5766, 6824, 7814, 8854, 9540, 11088]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13480, 3, 3]",43.0,,703545,10.0,0.0,mouselab-mdp,,0
