PR_type,bonus,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,start_time,version
objectLevel,1.5,True,7,True,after_each_move,1.0,full,0,2017-06-28T21:32:03.436Z,1A.0
objectLevel,1.9000000000000001,True,7,True,after_each_move,1.0,full,1,2017-06-28T21:27:51.127Z,1A.0
objectLevel,0.8,True,8,True,after_each_move,2.5,full,2,2017-06-28T22:57:52.586Z,1A.0
none,1.3,True,1,False,after_each_move,1.0,none,3,2017-06-28T20:40:51.273Z,1A.0
none,0.0,False,2,False,after_each_move,2.5,none,4,2017-06-28T20:24:46.300Z,1A.0
objectLevel,1.6920000000000002,True,6,True,after_each_move,0.01,full,5,2017-06-28T22:58:22.184Z,1A.0
objectLevel,0.0,True,8,True,after_each_move,2.5,full,6,2017-06-28T23:13:59.646Z,1A.0
featureBased,1.4500000000000002,True,5,True,after_each_move,2.5,full,7,2017-06-28T22:29:15.508Z,1A.0
none,0.2,True,0,False,after_each_move,0.01,none,8,2017-06-28T22:36:08.250Z,1A.0
none,0.0,True,2,False,after_each_move,2.5,none,9,2017-06-28T20:48:17.886Z,1A.0
none,0.0,False,1,False,after_each_move,1.0,none,10,2017-06-28T20:21:52.775Z,1A.0
objectLevel,0.07500000000000001,True,8,True,after_each_move,2.5,full,11,2017-06-28T21:19:14.631Z,1A.0
featureBased,1.9920000000000002,True,3,True,after_each_move,0.01,full,12,2017-06-28T20:23:54.542Z,1A.0
featureBased,0.07500000000000001,True,5,True,after_each_move,2.5,full,13,2017-06-28T22:35:59.515Z,1A.0
featureBased,2.092,True,3,True,after_each_move,0.01,full,14,2017-06-28T22:50:00.942Z,1A.0
none,0.0,False,1,False,after_each_move,1.0,none,15,2017-06-28T20:23:31.616Z,1A.0
objectLevel,0.0,True,8,True,after_each_move,2.5,full,16,2017-06-28T20:23:44.536Z,1A.0
featureBased,1.75,True,5,True,after_each_move,2.5,full,17,2017-06-28T23:24:33.328Z,1A.0
objectLevel,1.85,True,7,True,after_each_move,1.0,full,18,2017-06-28T21:22:37.743Z,1A.0
featureBased,0.0,True,5,True,after_each_move,2.5,full,19,2017-06-28T22:44:14.484Z,1A.0
objectLevel,1.0970000000000002,True,6,True,after_each_move,0.01,full,20,2017-06-28T21:01:17.571Z,1A.0
objectLevel,0.0,False,7,True,after_each_move,1.0,full,21,2017-06-28T22:48:41.728Z,1A.0
featureBased,1.3,True,4,True,after_each_move,1.0,full,22,2017-06-28T21:19:35.385Z,1A.0
objectLevel,0.0,True,8,True,after_each_move,2.5,full,23,2017-06-28T23:29:52.543Z,1A.0
objectLevel,0.0,False,7,True,after_each_move,1.0,full,24,2017-06-28T20:31:38.686Z,1A.0
featureBased,1.2000000000000002,True,5,True,after_each_move,2.5,full,25,2017-06-28T22:13:05.353Z,1A.0
objectLevel,0.0,False,6,True,after_each_move,0.01,full,26,2017-06-28T20:20:26.719Z,1A.0
objectLevel,2.092,True,6,True,after_each_move,0.01,full,27,2017-06-28T20:46:11.841Z,1A.0
none,2.293,True,0,False,after_each_move,0.01,none,28,2017-06-28T20:40:44.062Z,1A.0
objectLevel,1.9000000000000001,True,7,True,after_each_move,1.0,full,29,2017-06-28T21:33:31.438Z,1A.0
objectLevel,1.544,True,6,True,after_each_move,0.01,full,30,2017-06-28T21:01:59.564Z,1A.0
objectLevel,1.6940000000000002,True,6,True,after_each_move,0.01,full,31,2017-06-28T23:46:49.178Z,1A.0
objectLevel,1.9920000000000002,True,6,True,after_each_move,0.01,full,32,2017-06-28T21:32:40.286Z,1A.0
objectLevel,1.6500000000000001,True,7,True,after_each_move,1.0,full,33,2017-06-28T21:19:02.858Z,1A.0
objectLevel,0.0,False,8,True,after_each_move,2.5,full,34,2017-06-28T22:47:42.494Z,1A.0
featureBased,1.6,True,4,True,after_each_move,1.0,full,35,2017-06-28T21:13:33.907Z,1A.0
featureBased,1.35,True,4,True,after_each_move,1.0,full,36,2017-06-28T20:31:18.135Z,1A.0
featureBased,0.9480000000000001,True,3,True,after_each_move,0.01,full,37,2017-06-28T22:35:20.692Z,1A.0
objectLevel,2.3000000000000003,True,7,True,after_each_move,1.0,full,38,2017-06-28T22:41:26.129Z,1A.0
featureBased,0.0,True,5,True,after_each_move,2.5,full,39,2017-06-28T22:48:37.331Z,1A.0
featureBased,1.0965,True,3,True,after_each_move,0.01,full,40,2017-06-28T21:46:44.456Z,1A.0
none,1.6940000000000002,True,0,False,after_each_move,0.01,none,41,2017-06-28T23:01:06.843Z,1A.0
featureBased,0.0,False,3,True,after_each_move,0.01,full,42,2017-06-28T22:39:11.678Z,1A.0
featureBased,0.0,True,4,True,after_each_move,1.0,full,43,2017-06-28T23:48:20.203Z,1A.0
none,2.2,True,1,False,after_each_move,1.0,none,44,2017-06-28T20:20:49.195Z,1A.0
objectLevel,2.15,True,7,True,after_each_move,1.0,full,45,2017-06-28T22:54:33.803Z,1A.0
none,0.0,True,1,False,after_each_move,1.0,none,46,2017-06-28T20:56:07.556Z,1A.0
featureBased,1.625,True,5,True,after_each_move,2.5,full,47,2017-06-28T22:33:52.659Z,1A.0
