,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,relative_score,n_click,clicks,click_times,path,action_times
0,0,1.0,objectLevel,full,1,2,"[-1, -1, -1]",28.0,0.7931034482758621,6,"[3, 9, 4, 5, 2, 6]","[6051, 10901, 12487, 14753, 15547, 21776]","[1, 2, 6, 10]","[24959, 30085, 34388]"
1,0,1.0,objectLevel,full,2,10,"[-1, -1, -1]",30.0,1.3636363636363635,10,"[4, 8, 7, 3, 5, 2, 6, 9, 12, 13]","[2603, 4361, 6484, 7986, 10128, 11098, 14281, 15166, 22862, 25113]","[1, 3, 7, 12]","[17552, 22854, 27247]"
2,0,1.0,objectLevel,full,3,8,"[-1, -1, -1]",39.0,0.9333333333333333,11,"[7, 5, 2, 3, 9, 16, 17, 4, 8, 15, 14]","[2436, 4324, 5182, 7343, 8301, 10929, 11738, 14371, 15410, 16288, 17239]","[1, 4, 8, 15]","[19197, 23786, 24913]"
3,0,1.0,objectLevel,full,4,3,"[-1, -1, -1]",23.0,0.6666666666666666,13,"[4, 3, 8, 2, 5, 7, 9, 17, 6, 10, 11, 14, 13]","[1796, 4060, 5843, 9038, 10105, 11676, 13458, 14578, 16414, 18118, 19052, 20333, 22231]","[1, 2, 6, 10]","[24041, 29715, 30953]"
4,0,1.0,objectLevel,full,5,6,"[-1, -1, -1]",43.0,1.1612903225806452,13,"[2, 4, 6, 10, 11, 15, 8, 7, 12, 3, 9, 13, 5]","[1655, 2502, 4292, 5832, 6556, 8182, 8728, 10118, 10810, 11332, 12251, 14563, 15876]","[1, 2, 6, 11]","[17483, 22445, 24166]"
5,0,1.0,objectLevel,full,6,1,"[-1, -1, -1]",34.0,0.7209302325581395,10,"[3, 2, 5, 9, 17, 16, 7, 12, 13, 8]","[1090, 3313, 4215, 5343, 6721, 7452, 8705, 9497, 10143, 11886]","[1, 3, 7, 12]","[14878, 19117, 20333]"
6,0,1.0,objectLevel,full,7,4,"[-1, -1, -1]",30.0,0.7,12,"[2, 3, 5, 9, 16, 17, 4, 8, 14, 15, 6, 7]","[1502, 3338, 4248, 5269, 6318, 7187, 8324, 10200, 10852, 11497, 12923, 17062]","[1, 5, 9, 17]","[18459, 23039, 24163]"
7,0,1.0,objectLevel,full,8,7,"[-1, -1, -1]",44.0,1.3225806451612903,13,"[2, 6, 10, 11, 4, 8, 15, 14, 3, 7, 12, 13, 5]","[2247, 3505, 4261, 4844, 5777, 6858, 7546, 8321, 9549, 10187, 11239, 13744, 14769]","[1, 4, 8, 14]","[18416, 22410, 23467]"
8,0,1.0,objectLevel,full,9,5,"[-1, -1, -1]",28.0,0.8064516129032258,9,"[2, 6, 10, 11, 4, 8, 3, 7, 5]","[1250, 1969, 3169, 3797, 4825, 5571, 7057, 8427, 9897]","[1, 2, 6, 10]","[11623, 16059, 17405]"
9,0,1.0,objectLevel,full,10,0,"[-1, -1, -1]",43.0,1.0714285714285714,11,"[2, 4, 8, 15, 14, 3, 7, 12, 5, 9, 17]","[1162, 2016, 2864, 3713, 4552, 5766, 6824, 7814, 8854, 9540, 11088]","[1, 4, 8, 14]","[13480, 18753, 20074]"
10,0,1.0,objectLevel,full,11,9,"[-1, -1, -1]",30.0,0.7878787878787878,11,"[2, 3, 4, 8, 14, 15, 7, 13, 12, 5, 9]","[1342, 2362, 2976, 3675, 4570, 5277, 6709, 7269, 8078, 8818, 10944]","[1, 4, 8, 15]","[12642, 17374, 18819]"
11,0,1.0,objectLevel,full,12,11,"[-1, -1, -1]",45.0,1.2258064516129032,11,"[2, 6, 11, 10, 4, 3, 5, 9, 17, 7, 13]","[1423, 2575, 3157, 3958, 5546, 6540, 9184, 10374, 12344, 13984, 17313]","[1, 2, 6, 11]","[19350, 24713, 26044]"
12,1,1.0,objectLevel,full,1,4,"[-1, -1, -1]",26.0,0.6,16,"[3, 4, 5, 2, 14, 8, 15, 12, 7, 13, 10, 6, 11, 17, 9, 16]","[773, 1351, 1877, 2375, 3447, 3762, 4067, 4778, 5095, 5371, 5959, 6302, 6831, 7293, 7558, 7825]","[1, 5, 9, 17]","[9213, 11970, 12686]"
13,1,1.0,objectLevel,full,2,1,"[-1, -1, -1]",28.0,0.5813953488372093,16,"[3, 4, 12, 7, 13, 2, 10, 6, 11, 5, 15, 8, 14, 16, 9, 17]","[817, 1603, 2147, 2427, 2722, 3176, 3704, 4271, 4563, 5250, 5650, 5981, 6251, 6889, 7301, 7569]","[1, 3, 7, 12]","[9667, 12497, 13104]"
14,1,1.0,objectLevel,full,3,3,"[-1, -1, -1]",20.0,0.5757575757575758,16,"[3, 4, 2, 5, 16, 9, 17, 11, 6, 10, 13, 7, 12, 14, 8, 15]","[638, 918, 1281, 1750, 2190, 2508, 2807, 3308, 3840, 3901, 5005, 5283, 5554, 6040, 6374, 6725]","[1, 2, 6, 10]","[7411, 10600, 11326]"
15,1,1.0,objectLevel,full,4,11,"[1, -1, -1]",46.0,1.2580645161290323,7,"[3, 4, 5, 2, 9, 16, 17]","[1726, 2120, 2441, 2851, 3548, 3754, 4427]","[1, 5, 9, 16]","[5057, 9296, 10348]"
16,1,1.0,objectLevel,full,5,8,"[-1, -1, -1]",34.0,0.7666666666666667,16,"[3, 4, 2, 5, 8, 7, 9, 14, 15, 16, 17, 11, 6, 10, 13, 12]","[887, 1340, 1786, 2250, 2940, 3508, 4251, 4932, 5479, 7351, 7679, 8106, 8409, 8720, 9419, 9698]","[1, 4, 8, 15]","[15876, 18928, 19546]"
17,1,1.0,objectLevel,full,6,2,"[-1, -1, -1]",18.0,0.4482758620689655,16,"[12, 13, 7, 3, 10, 6, 2, 11, 5, 4, 14, 8, 15, 16, 9, 17]","[725, 1434, 1713, 1986, 2444, 3258, 3491, 3833, 4353, 4759, 5126, 5475, 5818, 6253, 7355, 7585]","[1, 2, 6, 10]","[10356, 13072, 13965]"
18,1,1.0,objectLevel,full,7,7,"[-1, -1, -1]",46.0,1.3870967741935485,11,"[3, 4, 5, 2, 7, 12, 13, 8, 6, 14, 15]","[2016, 2379, 2820, 3323, 3916, 4147, 4867, 6237, 6683, 7335, 7683]","[1, 4, 8, 14]","[8158, 11401, 12438]"
19,1,1.0,objectLevel,full,8,10,"[-1, -1, -1]",29.0,1.3181818181818181,11,"[3, 4, 5, 2, 7, 13, 12, 14, 8, 15, 10]","[1723, 1929, 2333, 2723, 3248, 4122, 4506, 5446, 5732, 6415, 7177]","[1, 3, 7, 12]","[8311, 11440, 12345]"
20,1,1.0,objectLevel,full,9,6,"[-1, -1, -1]",46.0,1.2580645161290323,10,"[3, 4, 2, 5, 12, 13, 7, 6, 10, 11]","[649, 1031, 1805, 2328, 3789, 3802, 4614, 5709, 6495, 6973]","[1, 2, 6, 11]","[7745, 10766, 11732]"
21,1,1.0,objectLevel,full,10,5,"[-1, -1, -1]",26.0,0.7419354838709677,11,"[3, 4, 5, 2, 8, 14, 6, 10, 11, 7, 9]","[728, 1323, 1807, 2223, 2943, 3304, 4583, 4942, 5637, 6928, 7553]","[1, 2, 6, 10]","[8688, 12407, 13525]"
22,1,1.0,objectLevel,full,11,0,"[-1, -1, -1]",38.0,0.9523809523809523,16,"[3, 4, 5, 2, 16, 17, 9, 7, 12, 13, 10, 6, 11, 15, 8, 14]","[2126, 2498, 2958, 3370, 4324, 4745, 5018, 6572, 7598, 7922, 8419, 8704, 9039, 9841, 10124, 10438]","[1, 4, 8, 14]","[12255, 15046, 15883]"
23,1,1.0,objectLevel,full,12,9,"[-1, -1, -1]",31.0,0.8181818181818182,10,"[3, 4, 2, 5, 8, 14, 15, 12, 7, 13]","[24724, 25101, 25476, 25925, 26572, 26941, 27298, 28245, 28508, 28755]","[1, 4, 8, 15]","[29451, 32351, 33281]"
24,2,2.5,objectLevel,full,1,10,"[10, -1, -1]",22.0,0.5135135135135135,0,[],[],"[1, 2, 6, 10]","[4916, 16241, 18555]"
25,2,2.5,objectLevel,full,2,9,"[9, -1, -1]",24.0,0.575,0,[],[],"[1, 5, 9, 16]","[2919, 14487, 15260]"
26,2,2.5,objectLevel,full,3,6,"[17, -1, 13]",-3.0,-0.11320754716981132,0,[],[],"[1, 4, 8, 14]","[2305, 22141, 22916]"
27,2,2.5,objectLevel,full,4,4,"[10, -1, 7]",27.0,0.6052631578947368,0,[],[],"[1, 3, 7, 12]","[349, 14785, 15561]"
28,2,2.5,objectLevel,full,5,7,"[5, -1, -1]",21.0,0.4,0,[],[],"[1, 2, 6, 11]","[407, 10108, 11963]"
29,2,2.5,objectLevel,full,6,3,"[-1, -1, 11]",-20.0,-0.21739130434782608,0,[],[],"[1, 2, 6, 10]","[4497, 7897, 10244]"
30,2,2.5,objectLevel,full,7,2,"[-1, -1, -1]",19.0,0.7580645161290323,0,[],[],"[1, 3, 7, 12]","[354, 1677, 2441]"
31,2,2.5,objectLevel,full,8,1,"[-1, -1, -1]",16.0,0.6705882352941176,0,[],[],"[1, 4, 8, 15]","[2018, 3163, 5911]"
32,2,2.5,objectLevel,full,9,0,"[-1, -1, 5]",5.0,0.0392156862745098,0,[],[],"[1, 3, 7, 12]","[1192, 2729, 4191]"
33,2,2.5,objectLevel,full,10,11,"[22, -1, -1]",4.0,-0.061224489795918366,0,[],[],"[1, 2, 6, 10]","[2129, 837489, 838278]"
34,2,2.5,objectLevel,full,11,8,"[11, -1, -1]",22.0,0.36363636363636365,0,[],[],"[1, 5, 9, 16]","[922, 17448, 18228]"
35,2,2.5,objectLevel,full,12,5,"[29, -1, 5]",8.0,0.40816326530612246,0,[],[],"[1, 4, 8, 15]","[2, 72212, 73006]"
36,3,1.0,none,none,1,10,"[3, 0, 1]",26.0,1.1818181818181819,1,[3],[5940],"[1, 3, 7, 13]","[9059, 15073, 19002]"
37,3,1.0,none,none,2,7,"[3, 0, 1]",30.0,0.8709677419354839,4,"[4, 5, 2, 3]","[2385, 3674, 5847, 7778]","[1, 3, 7, 12]","[10962, 18601, 22864]"
38,3,1.0,none,none,3,1,"[3, 0, 1]",6.0,0.06976744186046512,4,"[4, 5, 2, 3]","[2781, 4814, 6583, 8069]","[1, 5, 9, 17]","[11210, 17209, 24291]"
39,3,1.0,none,none,4,5,"[3, 0, 1]",-10.0,-0.41935483870967744,6,"[4, 3, 2, 5, 14, 15]","[1868, 3089, 4300, 5926, 23808, 25632]","[1, 4, 8, 15]","[8920, 14976, 29095]"
40,3,1.0,none,none,5,4,"[3, 0, 1]",36.0,0.85,6,"[3, 2, 5, 4, 17, 16]","[1264, 3040, 4581, 6424, 26782, 30444]","[1, 5, 9, 17]","[14519, 22014, 33480]"
41,3,1.0,none,none,6,8,"[3, 0, 1]",6.0,-0.16666666666666666,6,"[3, 2, 5, 4, 16, 17]","[3901, 5674, 7303, 9182, 23943, 25542]","[1, 5, 9, 16]","[12839, 18956, 29388]"
42,3,1.0,none,none,7,6,"[3, 0, 1]",46.0,1.2580645161290323,10,"[3, 4, 5, 2, 6, 7, 8, 9, 11, 10]","[2049, 3062, 4215, 5407, 7193, 8590, 10894, 12474, 15926, 17257]","[1, 2, 6, 11]","[21728, 28095, 32761]"
43,3,1.0,none,none,8,11,"[3, 0, 1]",43.0,1.1612903225806452,13,"[3, 4, 5, 2, 6, 9, 7, 13, 12, 10, 11, 17, 16]","[3693, 4662, 5813, 7161, 8809, 12651, 18441, 21877, 23589, 25094, 26897, 29197, 30726]","[1, 2, 6, 11]","[40085, 46763, 50019]"
44,3,1.0,none,none,9,0,"[3, 0, 1]",44.0,1.0952380952380953,10,"[3, 2, 5, 4, 9, 6, 7, 8, 14, 15]","[2548, 3732, 4716, 5823, 7552, 8886, 10415, 11922, 16556, 17969]","[1, 4, 8, 14]","[21058, 27304, 31894]"
45,3,1.0,none,none,10,3,"[3, 0, 1]",26.0,0.7575757575757576,10,"[3, 2, 5, 4, 8, 7, 6, 9, 11, 10]","[2531, 3651, 4841, 6043, 8197, 9851, 11327, 13320, 20068, 22264]","[1, 2, 6, 10]","[25183, 31408, 39151]"
46,3,1.0,none,none,11,2,"[3, 0, 1]",26.0,0.7241379310344828,8,"[3, 2, 5, 4, 6, 9, 10, 11]","[4026, 5179, 6204, 7419, 9904, 11251, 13364, 14497]","[1, 2, 6, 10]","[17462, 23535, 29934]"
