action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[109559, 133762, 140962]","[u'up', u'up', u'right']",,,"[6, 0, 0]",,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'7', u'13', u'12'], u'time': [2075, 7882, 124244, 138316, 139251]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[109558, 16340, 6230]",1.95,,292947,1.0,5.0,mouselab-mdp,,0
"[12614, 25062, 27542]","[u'left', u'left', u'down']",,,"[9, 0, 3]",,,"[u'1', 4, 8, 15]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'12', u'15', u'10'], u'time': [2608, 4671, 7136, 10952]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[12614, 1055, 1724]",6.96,,539797,2.0,6.0,mouselab-mdp,,0
"[5236, 12756, 14132]","[u'down', u'down', u'left']",,,"[4, 0, 1]",,,"[u'1', 5, 9, 16]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'16'], u'time': [2591, 2991]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5236, 962, 466]",41.98,,599827,3.0,9.0,mouselab-mdp,,0
"[18709, 32674, 33859]","[u'up', u'up', u'right']",,,"[9, 0, 0]",,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'10', u'5', u'17', u'3', u'12', u'13'], u'time': [4631, 5295, 7471, 8055, 12951, 13591, 14977]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[18709, 1168, 369]",14.93,,722732,4.0,0.0,mouselab-mdp,,0
"[7281, 13265, 15409]","[u'down', u'down', u'left']",,,"[2, 0, 1]",,,"[u'1', 5, 9, 16]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'15', u'5', u'9', u'16'], u'time': [2083, 2635, 3139, 5003, 5339, 5724]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7281, 562, 1245]",33.94,,787081,5.0,7.0,mouselab-mdp,,0
"[8582, 17111, 23138]","[u'right', u'right', u'up']",,,"[5, 0, 0]",,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'6', u'11', u'10'], u'time': [5688, 6137, 6584, 7312]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8582, 844, 5231]",27.96,,849988,6.0,8.0,mouselab-mdp,,0
"[7511, 14326, 16566]","[u'right', u'right', u'up']",,,"[2, 0, 0]",,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'14', u'15', u'2', u'6', u'10', u'11'], u'time': [1617, 2040, 2512, 3256, 4096, 5031, 5360, 5897]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7511, 1609, 1531]",33.92,,914674,7.0,2.0,mouselab-mdp,,0
"[7458, 13315, 19118]","[u'down', u'down', u'right']",,,"[2, 0, 0]",,,"[u'1', 5, 9, 17]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'9', u'16', u'17', u'11', u'10', u'12', u'15'], u'time': [1284, 1564, 1924, 2348, 4212, 4744, 5540, 6276]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7458, 381, 5073]",41.92,,969358,8.0,4.0,mouselab-mdp,,0
"[8153, 13498, 15369]","[u'right', u'right', u'up']",,,"[2, 0, 0]",,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2', u'10', u'6', u'11'], u'time': [3803, 4971, 5875, 6318, 6859]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8153, 328, 1033]",33.95,,1023436,9.0,3.0,mouselab-mdp,,0
"[8957, 14717, 16604]","[u'down', u'down', u'left']",,,"[0, 0, 0]",,,"[u'1', 5, 9, 16]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2', u'5', u'3', u'13', u'12', u'7', u'9', u'17', u'16'], u'time': [1375, 2214, 2942, 3614, 4630, 5110, 5590, 6726, 7335, 7847]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8957, 1327, 1148]",45.9,,1089911,10.0,1.0,mouselab-mdp,,0
"[5076, 5684, 6580]","[u'up', u'up', u'left']",,,[],,,"[u'1', 3, 7, 12]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'3', u'13', u'7', u'12'], u'time': [854, 1725, 2806, 3541, 4062]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5076, 102, 381]",36.95,,1163316,11.0,12.0,mouselab-mdp,,0
"[13618, 14177, 14786]","[u'right', u'right', u'up']",,,[],,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'13', u'12', u'5', u'2', u'4', u'10', u'11', u'6', u'8', u'14', u'15'], u'time': [888, 1495, 2351, 2871, 3919, 4952, 5831, 6479, 7328, 7928, 8360]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13618, 38, 82]",21.89,,1211153,12.0,13.0,mouselab-mdp,,0
"[7348, 7924, 8613]","[u'up', u'up', u'right']",,,[],,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'2', u'3', u'5', u'9', u'17', u'16', u'7', u'13', u'12'], u'time': [1335, 1944, 2382, 2950, 3766, 4110, 4678, 5454, 5854, 6262]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7348, 62, 184]",38.9,,1260381,13.0,15.0,mouselab-mdp,,0
"[10088, 10714, 11528]","[u'right', u'right', u'down']",,,[],,,"[u'1', 2, 6, 11]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'4', u'3', u'6', u'10', u'11', u'9', u'16', u'17'], u'time': [1579, 2276, 3235, 3602, 4252, 4899, 5402, 7538, 8264, 8954]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10088, 115, 296]",37.9,,1314649,14.0,14.0,mouselab-mdp,,0
"[7789, 12044, 12578]","[u'up', u'up', u'right']",,,[],,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'2', u'4', u'3', u'16', u'17', u'14', u'15', u'8', u'12', u'13', u'7'], u'time': [1799, 2295, 2790, 3447, 4270, 4783, 5647, 6110, 6838, 10271, 10718, 11230]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7789, 3744, 28]",9.88,,1372358,15.0,10.0,mouselab-mdp,,0
"[7085, 7755, 8428]","[u'left', u'left', u'up']",,,[],,,"[u'1', 4, 8, 14]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'5', u'16', u'17', u'14', u'15', u'8'], u'time': [686, 1230, 1662, 2405, 3557, 4072, 5037, 5485, 5789]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[7085, 149, 155]",39.91,,1444435,16.0,11.0,mouselab-mdp,,0
"[59792, 63662, 65065]","[u'right', u'right', u'up']",,,"[0, 0, 1]",,,"[u'1', 2, 6, 10]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12', u'4', u'2', u'6', u'10', u'5', u'16', u'9', u'17', u'8', u'15', u'14', u'11'], u'time': [1842, 6662, 7836, 10452, 13142, 14261, 17046, 17851, 20721, 21739, 22981, 23468, 25131, 25911, 26671, 28055]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[59792, 3, 885]",-27.0,,647242,1.0,6.0,mouselab-mdp,,1
"[8042, 25932, 26925]","[u'up', u'up', u'right']",,,"[13, 0, 0]",,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'12', u'7', u'13', u'3'], u'time': [2062, 3822, 5372, 6612]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8042, 2296, 207]",22.0,,712424,2.0,5.0,mouselab-mdp,,1
"[8159, 17978, 21433]","[u'right', u'right', u'down']",,,"[6, 0, 3]",,,"[u'1', 2, 6, 11]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'6', u'11'], u'time': [1399, 3992, 20368]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8159, 1529, 2585]",19.5,,773665,3.0,2.0,mouselab-mdp,,1
"[52855, 108255, 111169]","[u'up', u'up', u'right']",,,"[43, 0, 0]",,,"[u'1', 3, 7, 13]",,,"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'3', u'2', u'7', u'12', u'13', u'6', u'10', u'11', u'5', u'9', u'16', u'17', u'8', u'14', u'15'], u'time': [1659, 5646, 9556, 13026, 15726, 17673, 19945, 22153, 26753, 28453, 29634, 30482, 31785, 33907, 36223, 38066]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[52855, 8536, 2416]",-17.0,,890449,4.0,7.0,mouselab-mdp,,1
