action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,72005,,,72005,,,instructions,"[{""page_index"":0,""viewing_time"":21965},{""page_index"":1,""viewing_time"":37068},{""page_index"":2,""viewing_time"":12970}]",0
,,,,,,,,,,,,177651,,,177655,,,instructions,"[{""page_index"":0,""viewing_time"":45982},{""page_index"":1,""viewing_time"":58925},{""page_index"":2,""viewing_time"":72740}]",1
,,,,,,,,,,,,98916,,,98917,,,instructions,"[{""page_index"":0,""viewing_time"":45729},{""page_index"":1,""viewing_time"":35330},{""page_index"":2,""viewing_time"":17856}]",2
,,,,,,,,,,,,76461,,,76463,,,instructions,"[{""page_index"":0,""viewing_time"":41417},{""page_index"":1,""viewing_time"":20465},{""page_index"":2,""viewing_time"":14578}]",3
,,,,,,,,,,,,125909,,,125911,,,instructions,"[{""page_index"":0,""viewing_time"":35740},{""page_index"":1,""viewing_time"":56480},{""page_index"":2,""viewing_time"":33688}]",4
,,,,,,,,,,,,100216,,,100216,,,instructions,"[{""page_index"":0,""viewing_time"":40256},{""page_index"":1,""viewing_time"":27139},{""page_index"":2,""viewing_time"":32820}]",5
,,,,,,,,,,,,32266,,,32267,,,instructions,"[{""page_index"":0,""viewing_time"":11998},{""page_index"":1,""viewing_time"":8127},{""page_index"":2,""viewing_time"":12139}]",6
,,,,,,,,,,,,106694,,,180677,,,instructions,"[{""page_index"":0,""viewing_time"":66943},{""page_index"":1,""viewing_time"":24630},{""page_index"":2,""viewing_time"":15120}]",6
,,,,,,,,,,,,124952,,,124954,,,instructions,"[{""page_index"":0,""viewing_time"":57432},{""page_index"":1,""viewing_time"":41325},{""page_index"":2,""viewing_time"":26194}]",7
,,,,,,,,,,,,44769,,,44771,,,instructions,"[{""page_index"":0,""viewing_time"":17405},{""page_index"":1,""viewing_time"":13351},{""page_index"":2,""viewing_time"":14012}]",8
,,,,,,,,,,,,157236,,,157239,,,instructions,"[{""page_index"":0,""viewing_time"":53150},{""page_index"":1,""viewing_time"":64479},{""page_index"":2,""viewing_time"":39600}]",9
,,,,,,,,,,,,148464,,,148464,,,instructions,"[{""page_index"":0,""viewing_time"":76237},{""page_index"":1,""viewing_time"":54905},{""page_index"":2,""viewing_time"":17321}]",10
