action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[2542, 13914, 17140]","[u'left', u'left', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 14]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2542, 3, 2369]",15.0,,150399,1.0,4.0,mouselab-mdp,,0
"[4369, 15588, 45152]","[u'up', u'up', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 3, 7, 13]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4369, 4, 28747]",12.0,,209197,2.0,5.0,mouselab-mdp,,0
"[2753, 13749, 15554]","[u'down', u'down', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 17]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2753, 6, 995]",16.0,,304227,3.0,11.0,mouselab-mdp,,0
"[4117, 16597, 20917]","[u'right', u'right', u'up']",,,"[None, None, None]","[True, True, True]","[u'1', 2, 6, 10]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4117, 2243, 3513]",15.0,,366917,4.0,1.0,mouselab-mdp,,0
"[20494, 33324, 37138]","[u'left', u'left', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 15]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[20494, 2253, 2987]",5.0,,425139,5.0,10.0,mouselab-mdp,,0
"[2578, 14698, 17513]","[u'down', u'down', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 17]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2578, 1649, 2006]",14.0,,482633,6.0,2.0,mouselab-mdp,,0
"[3270, 15324, 18004]","[u'up', u'up', u'right']",,,"[None, None, None]","[True, True, True]","[u'1', 3, 7, 13]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3269, 1877, 1868]",13.0,,552553,7.0,0.0,mouselab-mdp,,0
"[8167, 26757, 38052]","[u'left', u'left', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 4, 8, 15]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8167, 8394, 10489]",6.0,,609069,8.0,14.0,mouselab-mdp,,0
"[2471, 14634, 23721]","[u'right', u'right', u'down']",,,"[None, None, None]","[True, True, True]","[u'1', 2, 6, 11]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2471, 2092, 8284]",17.0,,668541,9.0,7.0,mouselab-mdp,,0
"[8359, 35924, 38214]","[u'down', u'down', u'left']",,,"[None, None, None]","[True, True, True]","[u'1', 5, 9, 16]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8358, 17206, 1478]",14.0,,726623,10.0,12.0,mouselab-mdp,,0
"[3765, 7693, 9948]","[u'down', u'down', u'right']",,,[],[],"[u'1', 5, 9, 17]",[],[],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3765, 3425, 1748]",14.0,,774119,11.0,13.0,mouselab-mdp,,0
