action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,0.0,,,,,,,,,,,3132,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.60</strong>.</p>",1355396,,,button-response,,0
,,0.0,,,,,,,,,,,3280,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.71</strong>.</p>",1451914,,,button-response,,1
,,0.0,,,,,,,,,,,4104,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.60</strong>.</p>",1339825,,,button-response,,2
,,0.0,,,,,,,,,,,4650,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.94</strong>.</p>",1041752,,,button-response,,3
,,0.0,,,,,,,,,,,6241,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.54</strong>.</p>",1400798,,,button-response,,4
,,0.0,,,,,,,,,,,5719,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.98</strong>.</p>",1231131,,,button-response,,5
,,0.0,,,,,,,,,,,3396,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$1.05</strong>.</p>",1041387,,,button-response,,6
,,0.0,,,,,,,,,,,2242,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.80</strong>.</p>",1217490,,,button-response,,7
,,0.0,,,,,,,,,,,8467,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.94</strong>.</p>",1567250,,,button-response,,8
,,0.0,,,,,,,,,,,6921,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.71</strong>.</p>",1185273,,,button-response,,9
,,0.0,,,,,,,,,,,4517,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.57</strong>.</p>",1301660,,,button-response,,10
,,0.0,,,,,,,,,,,17465,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$1.01</strong>.</p>",1347787,,,button-response,,11
,,0.0,,,,,,,,,,,35109,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.81</strong>.</p>",1348610,,,button-response,,12
,,0.0,,,,,,,,,,,5035,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.63</strong>.</p>",1291552,,,button-response,,13
,,0.0,,,,,,,,,,,3113,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.27</strong>.</p>",1235280,,,button-response,,14
,,0.0,,,,,,,,,,,3775,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.96</strong>.</p>",1127121,,,button-response,,15
,,0.0,,,,,,,,,,,3157,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.76</strong>.</p>",1525119,,,button-response,,16
,,0.0,,,,,,,,,,,9020,,"<h1 id=""youvecompletedthehit"">You've completed the HIT</h1>

<p>Thanks again for participating. We hope you had fun!</p>

<p>Based on your performance, you will be
awarded a bonus of <strong>$0.79</strong>.</p>",1311676,,,button-response,,17
