action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,146239,,,146240,,,instructions,"[{""page_index"":0,""viewing_time"":41455},{""page_index"":1,""viewing_time"":30576},{""page_index"":2,""viewing_time"":46327},{""page_index"":3,""viewing_time"":27880}]",0
,,,,,,,,,,,,,131995,,,131999,,,instructions,"[{""page_index"":0,""viewing_time"":37378},{""page_index"":1,""viewing_time"":23873},{""page_index"":2,""viewing_time"":54703},{""page_index"":3,""viewing_time"":16040}]",1
,,,,,,,,,,,,,79943,,,286046,,,instructions,"[{""page_index"":0,""viewing_time"":8526},{""page_index"":1,""viewing_time"":25025},{""page_index"":2,""viewing_time"":38071},{""page_index"":3,""viewing_time"":8320}]",1
,,,,,,,,,,,,,171734,,,171737,,,instructions,"[{""page_index"":0,""viewing_time"":42115},{""page_index"":1,""viewing_time"":35821},{""page_index"":2,""viewing_time"":46833},{""page_index"":3,""viewing_time"":46964}]",2
,,,,,,,,,,,,,35827,,,35827,,,instructions,"[{""page_index"":0,""viewing_time"":8892},{""page_index"":1,""viewing_time"":7721},{""page_index"":2,""viewing_time"":5232},{""page_index"":3,""viewing_time"":13981}]",3
,,,,,,,,,,,,,4235,,,156919,,,instructions,"[{""page_index"":0,""viewing_time"":1515},{""page_index"":1,""viewing_time"":1004},{""page_index"":2,""viewing_time"":1307},{""page_index"":3,""viewing_time"":409}]",3
,,,,,,,,,,,,,246165,,,246165,,,instructions,"[{""page_index"":0,""viewing_time"":74762},{""page_index"":1,""viewing_time"":71046},{""page_index"":2,""viewing_time"":65622},{""page_index"":3,""viewing_time"":34734}]",4
,,,,,,,,,,,,,159324,,,159324,,,instructions,"[{""page_index"":0,""viewing_time"":29634},{""page_index"":1,""viewing_time"":21295},{""page_index"":2,""viewing_time"":89874},{""page_index"":3,""viewing_time"":18518}]",5
,,,,,,,,,,,,,59434,,,59435,,,instructions,"[{""page_index"":0,""viewing_time"":16701},{""page_index"":1,""viewing_time"":11909},{""page_index"":2,""viewing_time"":14623},{""page_index"":3,""viewing_time"":16201}]",6
,,,,,,,,,,,,,25708,,,25708,,,instructions,"[{""page_index"":0,""viewing_time"":11140},{""page_index"":1,""viewing_time"":4734},{""page_index"":2,""viewing_time"":6034},{""page_index"":3,""viewing_time"":3799}]",7
,,,,,,,,,,,,,81202,,,138977,,,instructions,"[{""page_index"":0,""viewing_time"":17179},{""page_index"":1,""viewing_time"":26471},{""page_index"":2,""viewing_time"":18782},{""page_index"":3,""viewing_time"":18769}]",7
,,,,,,,,,,,,,160797,,,160799,,,instructions,"[{""page_index"":0,""viewing_time"":85135},{""page_index"":1,""viewing_time"":19582},{""page_index"":2,""viewing_time"":38933},{""page_index"":3,""viewing_time"":17145}]",8
,,,,,,,,,,,,,117465,,,117466,,,instructions,"[{""page_index"":0,""viewing_time"":31154},{""page_index"":1,""viewing_time"":23671},{""page_index"":2,""viewing_time"":37647},{""page_index"":3,""viewing_time"":24992}]",9
,,,,,,,,,,,,,177184,,,177185,,,instructions,"[{""page_index"":0,""viewing_time"":78710},{""page_index"":1,""viewing_time"":34221},{""page_index"":2,""viewing_time"":44564},{""page_index"":3,""viewing_time"":19689}]",10
,,,,,,,,,,,,,54949,,,266697,,,instructions,"[{""page_index"":0,""viewing_time"":15261},{""page_index"":1,""viewing_time"":13551},{""page_index"":2,""viewing_time"":20015},{""page_index"":3,""viewing_time"":6118}]",10
,,,,,,,,,,,,,290845,,,290846,,,instructions,"[{""page_index"":0,""viewing_time"":91755},{""page_index"":1,""viewing_time"":37836},{""page_index"":0,""viewing_time"":43784},{""page_index"":1,""viewing_time"":6573},{""page_index"":0,""viewing_time"":11959},{""page_index"":1,""viewing_time"":26692},{""page_index"":0,""viewing_time"":14515},{""page_index"":1,""viewing_time"":2393},{""page_index"":2,""viewing_time"":34884},{""page_index"":3,""viewing_time"":16849},{""page_index"":2,""viewing_time"":1248},{""page_index"":3,""viewing_time"":2356}]",11
,,,,,,,,,,,,,304265,,,304268,,,instructions,"[{""page_index"":0,""viewing_time"":117396},{""page_index"":1,""viewing_time"":100180},{""page_index"":2,""viewing_time"":58901},{""page_index"":3,""viewing_time"":27785}]",12
,,,,,,,,,,,,,140520,,,140521,,,instructions,"[{""page_index"":0,""viewing_time"":43400},{""page_index"":1,""viewing_time"":41504},{""page_index"":2,""viewing_time"":34161},{""page_index"":3,""viewing_time"":21454}]",13
,,,,,,,,,,,,,162735,,,162736,,,instructions,"[{""page_index"":0,""viewing_time"":59966},{""page_index"":1,""viewing_time"":42135},{""page_index"":2,""viewing_time"":43164},{""page_index"":3,""viewing_time"":17469}]",14
,,,,,,,,,,,,,120035,,,120036,,,instructions,"[{""page_index"":0,""viewing_time"":29300},{""page_index"":1,""viewing_time"":29236},{""page_index"":2,""viewing_time"":39417},{""page_index"":3,""viewing_time"":22080}]",15
,,,,,,,,,,,,,262060,,,262062,,,instructions,"[{""page_index"":0,""viewing_time"":48175},{""page_index"":1,""viewing_time"":162055},{""page_index"":2,""viewing_time"":35016},{""page_index"":3,""viewing_time"":16813}]",16
,,,,,,,,,,,,,12944,,,302965,,,instructions,"[{""page_index"":0,""viewing_time"":8416},{""page_index"":1,""viewing_time"":1533},{""page_index"":2,""viewing_time"":2418},{""page_index"":3,""viewing_time"":576}]",16
,,,,,,,,,,,,,17994,,,343993,,,instructions,"[{""page_index"":0,""viewing_time"":4655},{""page_index"":1,""viewing_time"":6007},{""page_index"":2,""viewing_time"":6328},{""page_index"":3,""viewing_time"":1004}]",16
,,,,,,,,,,,,,6353,,,373529,,,instructions,"[{""page_index"":0,""viewing_time"":2785},{""page_index"":1,""viewing_time"":730},{""page_index"":2,""viewing_time"":2049},{""page_index"":3,""viewing_time"":788}]",16
,,,,,,,,,,,,,30081,,,416944,,,instructions,"[{""page_index"":0,""viewing_time"":4226},{""page_index"":1,""viewing_time"":5127},{""page_index"":2,""viewing_time"":13708},{""page_index"":3,""viewing_time"":7019}]",16
,,,,,,,,,,,,,176230,,,176232,,,instructions,"[{""page_index"":0,""viewing_time"":64239},{""page_index"":1,""viewing_time"":40833},{""page_index"":2,""viewing_time"":47073},{""page_index"":3,""viewing_time"":24084}]",17
