,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
0,0,1.0001,featureBased,full,1,12,"[3, 0, 0]",8.0,6,"[3, 2, 5, 4, 10, 11]","[2366, 3536, 4440, 5256, 45217, 46127]","[1, 2, 6, 10]","[8351, 35167, 47831]"
1,0,1.0001,featureBased,full,2,3,"[1, 1, 0]",8.0,7,"[2, 3, 4, 5, 9, 17, 16]","[1939, 3146, 3914, 4667, 32644, 38521, 39289]","[1, 5, 9, 17]","[8432, 34032, 40723]"
2,0,1.0001,featureBased,full,3,9,"[4, 0, 0]",3.0,7,"[3, 4, 5, 2, 6, 10, 11]","[1557, 2813, 4837, 5629, 6733, 35526, 36253]","[1, 2, 6, 10]","[8167, 32563, 37436]"
3,0,1.0001,featureBased,full,4,11,"[2, 1, 0]",8.0,7,"[2, 4, 3, 5, 6, 10, 11]","[3363, 5497, 6209, 8038, 34673, 39176, 39880]","[1, 2, 6, 10]","[11617, 35760, 41099]"
4,0,1.0001,featureBased,full,5,4,"[3, 0, 0]",10.0,6,"[2, 3, 4, 5, 17, 16]","[1170, 2089, 2880, 3529, 32537, 33312]","[1, 5, 9, 16]","[4806, 29383, 34362]"
5,0,1.0001,featureBased,full,6,0,"[2, 0, 0]",6.0,6,"[3, 5, 2, 4, 14, 15]","[1206, 2157, 2966, 3637, 30095, 30813]","[1, 4, 8, 14]","[5444, 26572, 32002]"
6,0,1.0001,featureBased,full,7,5,"[4, 0, 0]",2.0,10,"[3, 4, 5, 2, 6, 7, 8, 9, 17, 16]","[2134, 3421, 4278, 5037, 8766, 9566, 10460, 14349, 43301, 43956]","[1, 5, 9, 17]","[16460, 41276, 45387]"
7,0,1.0001,featureBased,full,8,10,"[5, 2, 0]",-5.0,11,"[3, 4, 5, 2, 7, 8, 9, 6, 12, 14, 15]","[2248, 3423, 4287, 4959, 5831, 6831, 8135, 9286, 12391, 17239, 49321]","[1, 4, 8, 14]","[21138, 50994, 55087]"
8,0,1.0001,featureBased,full,9,2,"[0, 0, 0]",12.0,3,"[2, 10, 11]","[3505, 27521, 28177]","[1, 2, 6, 10]","[5822, 23903, 29209]"
9,0,1.0001,featureBased,full,10,13,"[2, 0, 0]",10.0,4,"[3, 4, 5, 2]","[2505, 3352, 4056, 4600]","[1, 2, 6, 10]","[5971, 29239, 32358]"
10,0,1.0001,featureBased,full,11,15,[],10.0,6,"[2, 3, 4, 5, 13, 12]","[1316, 2628, 3315, 3978, 11788, 12516]","[1, 3, 7, 13]","[5207, 8670, 13635]"
11,0,1.0001,featureBased,full,12,7,[],12.0,4,"[3, 2, 5, 4]","[1974, 2810, 3353, 3888]","[1, 4, 8, 15]","[6810, 8207, 11713]"
12,0,1.0001,featureBased,full,13,1,[],12.0,4,"[3, 2, 4, 5]","[1873, 2839, 3790, 4320]","[1, 4, 8, 14]","[6801, 7864, 11286]"
13,0,1.0001,featureBased,full,14,8,[],11.0,4,"[2, 5, 4, 3]","[1170, 1870, 2523, 3059]","[1, 2, 6, 10]","[6061, 7256, 10491]"
14,0,1.0001,featureBased,full,15,14,[],3.0,4,"[2, 3, 4, 5]","[1626, 2304, 2800, 3290]","[1, 4, 8, 14]","[4259, 5526, 9727]"
15,0,1.0001,featureBased,full,16,6,[],9.0,2,"[3, 13]","[1239, 6439]","[1, 3, 7, 12]","[3335, 4610, 8008]"
16,1,1.0001,featureBased,full,1,11,"[1, 0, 0]",9.0,6,"[3, 5, 2, 4, 13, 12]","[10057, 11940, 12707, 13747, 48549, 49785]","[1, 3, 7, 13]","[15289, 46267, 51218]"
17,1,1.0001,featureBased,full,2,7,"[0, 0, 0]",8.0,8,"[13, 12, 14, 15, 10, 11, 17, 16]","[2031, 3008, 3865, 4879, 6046, 7048, 7836, 8455]","[1, 3, 7, 13]","[9529, 27819, 30477]"
18,1,1.0001,featureBased,full,3,13,"[4, 0, 0]",4.0,10,"[3, 7, 2, 6, 5, 9, 4, 8, 14, 15]","[13431, 13986, 14731, 15353, 16228, 16738, 17402, 18009, 61714, 62937]","[1, 4, 8, 14]","[24011, 57184, 64331]"
