p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,,50567,,50568,,,instructions,"[{""page_index"":0,""viewing_time"":16206},{""page_index"":1,""viewing_time"":15544},{""page_index"":2,""viewing_time"":6783},{""page_index"":3,""viewing_time"":12033}]",0
,,,,,,,,,,,,,,,331204,,331207,,,instructions,"[{""page_index"":0,""viewing_time"":221722},{""page_index"":1,""viewing_time"":69414},{""page_index"":2,""viewing_time"":40065}]",1
,,,,,,,,,,,,,,,124336,,124336,,,instructions,"[{""page_index"":0,""viewing_time"":55799},{""page_index"":1,""viewing_time"":10258},{""page_index"":0,""viewing_time"":3990},{""page_index"":1,""viewing_time"":4486},{""page_index"":0,""viewing_time"":1098},{""page_index"":1,""viewing_time"":6843},{""page_index"":2,""viewing_time"":28269},{""page_index"":3,""viewing_time"":13592}]",2
,,,,,,,,,,,,,,,33466,,205947,,,instructions,"[{""page_index"":0,""viewing_time"":10246},{""page_index"":1,""viewing_time"":8340},{""page_index"":2,""viewing_time"":8942},{""page_index"":3,""viewing_time"":5938}]",2
,,,,,,,,,,,,,,,70937,,298697,,,instructions,"[{""page_index"":0,""viewing_time"":17108},{""page_index"":1,""viewing_time"":21118},{""page_index"":2,""viewing_time"":19623},{""page_index"":3,""viewing_time"":13088}]",2
,,,,,,,,,,,,,,,20804,,359275,,,instructions,"[{""page_index"":0,""viewing_time"":1026},{""page_index"":1,""viewing_time"":3174},{""page_index"":2,""viewing_time"":1177},{""page_index"":1,""viewing_time"":2987},{""page_index"":0,""viewing_time"":2508},{""page_index"":1,""viewing_time"":374},{""page_index"":2,""viewing_time"":9288},{""page_index"":3,""viewing_time"":270}]",2
,,,,,,,,,,,,,,,215783,,215784,,,instructions,"[{""page_index"":0,""viewing_time"":59136},{""page_index"":1,""viewing_time"":40653},{""page_index"":2,""viewing_time"":86246},{""page_index"":3,""viewing_time"":29746}]",3
,,,,,,,,,,,,,,,56356,,56356,,,instructions,"[{""page_index"":0,""viewing_time"":16349},{""page_index"":1,""viewing_time"":9929},{""page_index"":2,""viewing_time"":15601},{""page_index"":3,""viewing_time"":14475}]",4
,,,,,,,,,,,,,,,16194,,98128,,,instructions,"[{""page_index"":0,""viewing_time"":10745},{""page_index"":1,""viewing_time"":1320},{""page_index"":0,""viewing_time"":596},{""page_index"":1,""viewing_time"":844},{""page_index"":0,""viewing_time"":560},{""page_index"":1,""viewing_time"":483},{""page_index"":2,""viewing_time"":749},{""page_index"":3,""viewing_time"":896}]",4
,,,,,,,,,,,,,,,19961,,136255,,,instructions,"[{""page_index"":0,""viewing_time"":3820},{""page_index"":1,""viewing_time"":9633},{""page_index"":2,""viewing_time"":5508},{""page_index"":3,""viewing_time"":999}]",4
,,,,,,,,,,,,,,,193522,,193524,,,instructions,"[{""page_index"":0,""viewing_time"":57093},{""page_index"":1,""viewing_time"":67998},{""page_index"":2,""viewing_time"":39856},{""page_index"":3,""viewing_time"":28575}]",5
,,,,,,,,,,,,,,,73097,,73098,,,instructions,"[{""page_index"":0,""viewing_time"":42216},{""page_index"":1,""viewing_time"":18502},{""page_index"":2,""viewing_time"":12378}]",6
,,,,,,,,,,,,,,,353784,,353785,,,instructions,"[{""page_index"":0,""viewing_time"":266456},{""page_index"":1,""viewing_time"":50648},{""page_index"":2,""viewing_time"":36679}]",7
,,,,,,,,,,,,,,,107765,,107766,,,instructions,"[{""page_index"":0,""viewing_time"":25330},{""page_index"":1,""viewing_time"":24197},{""page_index"":2,""viewing_time"":37814},{""page_index"":3,""viewing_time"":20422}]",8
,,,,,,,,,,,,,,,195507,,195508,,,instructions,"[{""page_index"":0,""viewing_time"":60360},{""page_index"":1,""viewing_time"":51544},{""page_index"":2,""viewing_time"":57749},{""page_index"":3,""viewing_time"":25853}]",9
,,,,,,,,,,,,,,,79044,,79045,,,instructions,"[{""page_index"":0,""viewing_time"":25988},{""page_index"":1,""viewing_time"":22391},{""page_index"":2,""viewing_time"":18464},{""page_index"":3,""viewing_time"":12200}]",10
,,,,,,,,,,,,,,,83449,,83450,,,instructions,"[{""page_index"":0,""viewing_time"":26239},{""page_index"":1,""viewing_time"":35269},{""page_index"":2,""viewing_time"":21939}]",11
,,,,,,,,,,,,,,,59985,,176975,,,instructions,"[{""page_index"":0,""viewing_time"":25478},{""page_index"":1,""viewing_time"":24031},{""page_index"":2,""viewing_time"":10475}]",11
,,,,,,,,,,,,,,,258972,,258975,,,instructions,"[{""page_index"":0,""viewing_time"":171594},{""page_index"":1,""viewing_time"":31880},{""page_index"":2,""viewing_time"":33779},{""page_index"":3,""viewing_time"":21716}]",12
,,,,,,,,,,,,,,,52760,,52765,,,instructions,"[{""page_index"":0,""viewing_time"":20521},{""page_index"":1,""viewing_time"":15071},{""page_index"":2,""viewing_time"":17164}]",13
,,,,,,,,,,,,,,,24754,,104924,,,instructions,"[{""page_index"":0,""viewing_time"":7868},{""page_index"":1,""viewing_time"":5553},{""page_index"":2,""viewing_time"":1694},{""page_index"":1,""viewing_time"":3116},{""page_index"":2,""viewing_time"":6523}]",13
,,,,,,,,,,,,,,,14054,,132896,,,instructions,"[{""page_index"":0,""viewing_time"":11047},{""page_index"":1,""viewing_time"":2519},{""page_index"":2,""viewing_time"":487}]",13
