p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
"[{u'Q': 28, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 20, u'9': 28, u'13': 12, u'5': 12}, u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 28}]","[5656, 10039, 11703]","[u'2', u'2', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[0],[True],,[u'__TERM_ACTION__'],"[9, 10, 11]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5656, 3866, 1148]",-4.0,136508,1.0,6.0,mouselab-mdp,,0
"[{u'Q': 36, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 28, u'9': 36, u'13': -4, u'5': 20}, u'state': [0, u'__', u'__', u'__', u'__', 4, 12, -20, 4, 20, 4, u'__', 12, -12, u'__', u'__', u'__'], u'V': 36}]","[10331, 11611, 12571]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, 12, u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, 12, u'__', 4, u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, 12, -20, 4, u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, 12, -20, 4, 20, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, 12, -20, 4, 20, 4, u'__', u'__', -12, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, 12, -20, 4, 20, 4, u'__', 12, -12, u'__', u'__', u'__']]",,[0],[True],,"[13, 5, 6, 8, 7, 9, 10, 12, u'__TERM_ACTION__']","[9, 10, 12]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [13, 5, 6, 8, 7, 9, 10, 12], u'time': [2248, 3257, 5784, 6336, 6792, 8376, 8776, 9127]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10331, 761, 438]",35.92,186483,2.0,2.0,mouselab-mdp,,0
"[{u'Q': 28, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 20, u'9': 28, u'13': -4, u'5': 28}, u'state': [0, 12, 4, 4, -4, -4, 12, -4, 20, 4, u'__', u'__', u'__', -4, 4, -4, -4], u'V': 28}]","[9068, 9756, 11060]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__'], [0, 12, u'__', u'__', u'__', -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__'], [0, 12, 4, u'__', u'__', -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__'], [0, 12, 4, 4, u'__', -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__'], [0, 12, 4, 4, -4, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__'], [0, 12, 4, 4, -4, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, 4, u'__', u'__'], [0, 12, 4, 4, -4, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, 4, u'__', -4], [0, 12, 4, 4, -4, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, 4, -4, -4], [0, 12, 4, 4, -4, -4, 12, u'__', u'__', 4, u'__', u'__', u'__', -4, 4, -4, -4], [0, 12, 4, 4, -4, -4, 12, -4, u'__', 4, u'__', u'__', u'__', -4, 4, -4, -4], [0, 12, 4, 4, -4, -4, 12, -4, 20, 4, u'__', u'__', u'__', -4, 4, -4, -4]]",,[0],[True],,"[13, 5, 9, 1, 2, 3, 4, 14, 16, 15, 6, 7, 8, u'__TERM_ACTION__']","[5, 6, 8]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [13, 5, 9, 1, 2, 3, 4, 14, 16, 15, 6, 7, 8], u'time': [513, 1113, 1768, 2296, 3144, 3576, 4217, 5096, 5552, 6016, 6784, 7176, 7672]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[9068, 174, 778]",27.87,233987,3.0,5.0,mouselab-mdp,,0
"[{u'Q': 36, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 20, u'9': 36, u'13': -4, u'5': -4}, u'state': [0, 4, 4, 12, u'__', -20, u'__', u'__', u'__', 20, 4, 12, 4, -4, u'__', u'__', u'__'], u'V': 36}]","[10141, 10973, 11852]","[u'2', u'2', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 20, 4, u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 20, 4, u'__', 4, u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 20, 4, 12, 4, u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 20, 4, 12, 4, -4, u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', -20, u'__', u'__', u'__', 20, 4, 12, 4, -4, u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', -20, u'__', u'__', u'__', 20, 4, 12, 4, -4, u'__', u'__', u'__'], [0, 4, 4, u'__', u'__', -20, u'__', u'__', u'__', 20, 4, 12, 4, -4, u'__', u'__', u'__'], [0, 4, 4, 12, u'__', -20, u'__', u'__', u'__', 20, 4, 12, 4, -4, u'__', u'__', u'__']]",,[0],[False],,"[9, 10, 12, 11, 13, 5, 1, 2, 3, u'__TERM_ACTION__']","[9, 10, 11]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 10, 12, 11, 13, 5, 1, 2, 3], u'time': [585, 1401, 1825, 2369, 5193, 6057, 7641, 8417, 8777]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10141, 312, 360]",35.91,281355,4.0,12.0,mouselab-mdp,,0
"[{u'Q': 28, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -12, u'9': -4, u'13': 12, u'5': 28}, u'state': [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, 12, -4, -12, 12, -4, 4, 4], u'V': 28}]","[13446, 14373, 19342]","[u'1', u'1', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 4, u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 4, 12, u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 4, 12, -12, -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -20, u'__', u'__', u'__', 12, 4, 12, -12, -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, u'__', u'__', u'__', 12, u'__', u'__', u'__'], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, u'__', u'__', u'__', 12, -4, u'__', u'__'], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, u'__', u'__', u'__', 12, -4, u'__', 4], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, u'__', u'__', u'__', 12, -4, 4, 4], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, u'__', -4, u'__', 12, -4, 4, 4], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, u'__', -4, -12, 12, -4, 4, 4], [0, -20, 4, u'__', u'__', 12, 4, 12, -12, -12, 12, -4, -12, 12, -4, 4, 4]]",,[0],[True],,"[9, 5, 6, 7, 8, 1, 2, 13, 14, 16, 15, 11, 12, 10, u'__TERM_ACTION__']","[5, 6, 7]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 5, 6, 7, 8, 1, 2, 13, 14, 16, 15, 11, 12, 10], u'time': [802, 1625, 2217, 2650, 4874, 5698, 6370, 7226, 7786, 8194, 8618, 9594, 10082, 10506]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13445, 416, 4451]",27.86,329131,5.0,4.0,mouselab-mdp,,0
"[{u'Q': 36, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -12, u'9': 12, u'13': -4, u'5': 36}, u'state': [0, u'__', u'__', u'__', u'__', 12, 20, -4, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 36}]","[3685, 4420, 5180]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 20, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 20, -4, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[0],[True],,"[5, 6, 7, 8, u'__TERM_ACTION__']","[5, 6, 8]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [5, 6, 7, 8], u'time': [872, 1504, 1936, 2720]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3685, 218, 244]",35.96,377571,6.0,1.0,mouselab-mdp,,0
"[{u'Q': 4, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -4, u'9': 4, u'13': 4, u'5': -28}, u'state': [0, -4, 4, -20, -4, -12, -12, -12, -4, -4, 4, -4, 4, -12, 12, -20, 4], u'V': 4}]","[28998, 29678, 30366]","[u'3', u'3', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', -4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', -4, 4, u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', -4, 4, -4, u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', -4, 4, -4, 4, -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, -12, u'__', u'__', -4, 4, -4, 4, -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, -12, u'__', -4, -4, 4, -4, 4, -12, u'__', u'__', u'__'], [0, -4, 4, u'__', u'__', -12, -12, u'__', -4, -4, 4, -4, 4, -12, u'__', u'__', u'__'], [0, -4, 4, u'__', -4, -12, -12, u'__', -4, -4, 4, -4, 4, -12, u'__', u'__', u'__'], [0, -4, 4, -20, -4, -12, -12, u'__', -4, -4, 4, -4, 4, -12, u'__', u'__', u'__'], [0, -4, 4, -20, -4, -12, -12, u'__', -4, -4, 4, -4, 4, -12, u'__', -20, u'__'], [0, -4, 4, -20, -4, -12, -12, u'__', -4, -4, 4, -4, 4, -12, 12, -20, u'__'], [0, -4, 4, -20, -4, -12, -12, u'__', -4, -4, 4, -4, 4, -12, 12, -20, 4], [0, -4, 4, -20, -4, -12, -12, -12, -4, -4, 4, -4, 4, -12, 12, -20, 4]]",,[0],[True],,"[9, 5, 1, 13, 10, 11, 12, 6, 8, 2, 4, 3, 15, 14, 16, 7, u'__TERM_ACTION__']","[13, 14, 16]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 5, 1, 13, 10, 11, 12, 6, 8, 2, 4, 3, 15, 14, 16, 7], u'time': [1442, 2570, 3113, 3738, 4818, 5153, 5513, 6226, 6593, 7345, 7802, 8474, 9146, 9482, 9947, 12753]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[28998, 159, 179]",3.84,424324,7.0,0.0,mouselab-mdp,,0
"[{u'Q': 12, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -4, u'9': 12, u'13': 12, u'5': -4}, u'state': [0, 4, -4, -12, -4, 4, -12, 4, -12, -4, 12, -12, 4, 4, 12, -4, -12], u'V': 12}]","[10870, 12398, 14726]","[u'3', u'3', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__', 4, u'__', u'__', u'__'], [0, 4, -4, u'__', u'__', 4, u'__', u'__', u'__', -4, u'__', u'__', u'__', 4, u'__', u'__', u'__'], [0, 4, -4, u'__', u'__', 4, -12, u'__', u'__', -4, u'__', u'__', u'__', 4, u'__', u'__', u'__'], [0, 4, -4, u'__', u'__', 4, -12, u'__', u'__', -4, u'__', u'__', u'__', 4, 12, u'__', u'__'], [0, 4, -4, u'__', u'__', 4, -12, u'__', u'__', -4, u'__', u'__', u'__', 4, 12, u'__', -12], [0, 4, -4, u'__', u'__', 4, -12, u'__', u'__', -4, u'__', u'__', u'__', 4, 12, -4, -12], [0, 4, -4, u'__', -4, 4, -12, u'__', u'__', -4, u'__', u'__', u'__', 4, 12, -4, -12], [0, 4, -4, -12, -4, 4, -12, u'__', u'__', -4, u'__', u'__', u'__', 4, 12, -4, -12], [0, 4, -4, -12, -4, 4, -12, u'__', u'__', -4, u'__', u'__', 4, 4, 12, -4, -12], [0, 4, -4, -12, -4, 4, -12, u'__', u'__', -4, 12, u'__', 4, 4, 12, -4, -12], [0, 4, -4, -12, -4, 4, -12, u'__', u'__', -4, 12, -12, 4, 4, 12, -4, -12], [0, 4, -4, -12, -4, 4, -12, 4, u'__', -4, 12, -12, 4, 4, 12, -4, -12], [0, 4, -4, -12, -4, 4, -12, 4, -12, -4, 12, -12, 4, 4, 12, -4, -12]]",,[0],[True],,"[9, 5, 1, 13, 2, 6, 14, 16, 15, 4, 3, 12, 10, 11, 7, 8, u'__TERM_ACTION__']","[13, 14, 15]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 5, 1, 13, 2, 6, 14, 16, 15, 4, 3, 12, 10, 11, 7, 8], u'time': [634, 1393, 1962, 2690, 3330, 3962, 4570, 5193, 5641, 6490, 6858, 7610, 7978, 8338, 9170, 9610]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10870, 1014, 1771]",11.84,473108,8.0,11.0,mouselab-mdp,,0
"[{u'Q': 28, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 20, u'9': 12, u'13': -4, u'5': 28}, u'state': [0, -4, 12, 4, 12, 12, 12, -4, 4, 12, -4, -4, 4, -20, 4, -4, 12], u'V': 28}]","[13110, 13863, 14663]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 12, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 12, 12, -4, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', 12, u'__', u'__', 12, 12, -4, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', 12, u'__', u'__', 12, 12, -4, 4, u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', 12, u'__', u'__', 12, 12, -4, 4, u'__', -4, -4, u'__', u'__', u'__', u'__', u'__'], [0, u'__', 12, u'__', u'__', 12, 12, -4, 4, u'__', -4, -4, u'__', u'__', 4, u'__', u'__'], [0, u'__', 12, u'__', u'__', 12, 12, -4, 4, u'__', -4, -4, u'__', -20, 4, u'__', u'__'], [0, u'__', 12, 4, u'__', 12, 12, -4, 4, u'__', -4, -4, u'__', -20, 4, u'__', u'__'], [0, u'__', 12, 4, 12, 12, 12, -4, 4, u'__', -4, -4, u'__', -20, 4, u'__', u'__'], [0, -4, 12, 4, 12, 12, 12, -4, 4, u'__', -4, -4, u'__', -20, 4, u'__', u'__'], [0, -4, 12, 4, 12, 12, 12, -4, 4, u'__', -4, -4, u'__', -20, 4, -4, u'__'], [0, -4, 12, 4, 12, 12, 12, -4, 4, u'__', -4, -4, u'__', -20, 4, -4, 12], [0, -4, 12, 4, 12, 12, 12, -4, 4, u'__', -4, -4, 4, -20, 4, -4, 12], [0, -4, 12, 4, 12, 12, 12, -4, 4, 12, -4, -4, 4, -20, 4, -4, 12]]",,[0],[False],,"[5, 6, 7, 8, 2, 10, 11, 14, 13, 3, 4, 1, 15, 16, 12, 9, u'__TERM_ACTION__']","[5, 6, 8]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [5, 6, 7, 8, 2, 10, 11, 14, 13, 3, 4, 1, 15, 16, 12, 9], u'time': [339, 899, 1307, 1851, 2771, 3923, 4555, 5195, 5667, 6611, 7267, 7755, 8443, 9203, 9827, 10555]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13110, 240, 289]",27.84,521235,9.0,14.0,mouselab-mdp,,0
"[{u'Q': -4, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -12, u'9': -4, u'13': -12, u'5': -20}, u'state': [0, -4, -12, -20, 4, -12, -4, -4, -20, 4, -12, 4, 4, -12, -4, 4, -4], u'V': -4}]","[24599, 25359, 26070]","[u'2', u'2', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, u'__', u'__', 4, -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, -12, u'__', 4, -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, -12, 4, 4, -12, u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, -12, 4, 4, -12, -4, u'__', u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, -12, 4, 4, -12, -4, 4, u'__'], [0, -4, u'__', u'__', u'__', -12, u'__', u'__', u'__', 4, -12, 4, 4, -12, -4, 4, -4], [0, -4, u'__', u'__', u'__', -12, -4, u'__', u'__', 4, -12, 4, 4, -12, -4, 4, -4], [0, -4, u'__', u'__', u'__', -12, -4, u'__', -20, 4, -12, 4, 4, -12, -4, 4, -4], [0, -4, u'__', u'__', u'__', -12, -4, -4, -20, 4, -12, 4, 4, -12, -4, 4, -4], [0, -4, u'__', -20, u'__', -12, -4, -4, -20, 4, -12, 4, 4, -12, -4, 4, -4], [0, -4, -12, -20, u'__', -12, -4, -4, -20, 4, -12, 4, 4, -12, -4, 4, -4], [0, -4, -12, -20, 4, -12, -4, -4, -20, 4, -12, 4, 4, -12, -4, 4, -4]]",,[0],[True],,"[5, 1, 13, 9, 12, 10, 11, 14, 15, 16, 6, 8, 7, 3, 2, 4, u'__TERM_ACTION__']","[9, 10, 11]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [5, 1, 13, 9, 12, 10, 11, 14, 15, 16, 6, 8, 7, 3, 2, 4], u'time': [1675, 2299, 2827, 3508, 4779, 5187, 5555, 6371, 6828, 7435, 8028, 8427, 9147, 9867, 10363, 10794]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[24599, 250, 195]",-4.16,567708,10.0,3.0,mouselab-mdp,,0
