PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,version
objectLevel,3.42,0.01,True,6,24,4,True,after_each_move,0.01,full,0,,342.42,"[15, 10, 13, 9, 7, 8]",1A.4
none,1.45,0.01,True,2,24,4,False,after_each_move,1.0001,none,1,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",145.0,"[4, 13, 3, 10, 1, 15]",1A.4
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,0.01,full,2,,,,1A.4
objectLevel,0.0,0.01,True,8,24,4,True,after_each_move,1.0001,full,3,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",-29.0,"[14, 4, 13, 3, 0, 12]",1A.4
objectLevel,0.0,0.01,True,7,24,4,True,after_each_move,1.0,full,4,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",-32.0,"[7, 6, 10, 15, 14, 11]",1A.4
objectLevel,3.58,0.01,True,6,24,4,True,after_each_move,0.01,full,5,,358.23,"[8, 14, 3, 15, 9, 4]",1A.4
none,0.0,0.01,False,0,24,4,False,after_each_move,0.01,none,6,,,,1A.4
none,1.97,0.01,True,1,24,4,False,after_each_move,1.0,none,7,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",197.0,"[12, 3, 11, 0, 14, 1]",1A.4
featureBased,2.24,0.01,True,4,24,4,True,after_each_move,1.0,full,8,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",224.0,"[3, 4, 11, 5, 6, 8]",1A.4
featureBased,0.0,0.01,False,3,24,4,True,after_each_move,0.01,full,9,,,,1A.4
objectLevel,2.66,0.01,True,8,24,4,True,after_each_move,1.0001,full,10,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",266.0,"[10, 5, 8, 9, 0, 14]",1A.4
none,1.44,0.01,True,1,24,4,False,after_each_move,1.0,none,11,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",144.0,"[11, 13, 8, 4, 2, 5]",1A.4
objectLevel,0.88,0.01,True,7,24,4,True,after_each_move,1.0,full,12,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",88.0,"[13, 14, 9, 15, 10, 12]",1A.4
none,2.31,0.01,True,2,24,4,False,after_each_move,1.0001,none,13,"[2.978177180936807, 0.3624859344787723, 0.19189036343344185, 0.5238392058288387, 1.000876097233912]",231.0,"[3, 8, 0, 7, 5, 10]",1A.4
