p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,"{""Q0"":""I wanted to hit the most money regardless of how much I would lose, as long as in the end, it was higher than a negative."",""Q1"":""I learned to always go for the best route you possibly can to ensure the most success."",""Q2"":""25"",""Q3"":""Male""}",50341,,926312,,,survey-text,,0
,,,,,,,,,,,,,,"{""Q0"":""I tried to select from the available paths by revealing the path most likely to have the highest reward."",""Q1"":""I learned not to presume that a path is best just because one node along the path is rewarding. That is, there might be other nodes in the path that are negative and cumulatively the path might not be the best."",""Q2"":""32"",""Q3"":""Male""}",115113,,1329953,,,survey-text,,1
,,,,,,,,,,,,,,"{""Q0"":""completely guessed"",""Q1"":""no, it made no sense at all"",""Q2"":""46"",""Q3"":""female""}",42315,,1466471,,,survey-text,,3
,,,,,,,,,,,,,,"{""Q0"":""Guessed"",""Q1"":""No"",""Q2"":""34"",""Q3"":""Female""}",17030,,1145525,,,survey-text,,4
,,,,,,,,,,,,,,"{""Q0"":""i clicked on its first stops, then branched from there to see the best route monetarily"",""Q1"":""not really. i noticed a pattern in going the same route multiple times, so i took a risk and followed that without checking any of the stops beforehand. it turned out to be coincidence and i was penalized, but i dont regret the risk i took."",""Q2"":""21"",""Q3"":""male""}",181875,,1464208,,,survey-text,,5
,,,,,,,,,,,,,,"{""Q0"":""The most profitable route."",""Q1"":""Yes, make sure to look at your options better or you may lose money."",""Q2"":""22"",""Q3"":""Male""}",74647,,1399824,,,survey-text,,7
,,,,,,,,,,,,,,"{""Q0"":""Pick the corners to reveal them as well as the first ones destinations and hope the route wasn't too bad."",""Q1"":""That the max and min were $20, that positive numbers tended to be across from each other."",""Q2"":""27"",""Q3"":""male""}",53570,,995497,,,survey-text,,8
,,,,,,,,,,,,,,"{""Q0"":""I chose the ones right around the origin point and then went from the highest paying points outward."",""Q1"":""I learned the typical range of value (nothing over/under 20) so if I hit a twenty on the first guess i'd know there's nothing better"",""Q2"":""28"",""Q3"":""male""}",55126,,1092894,,,survey-text,,10
,,,,,,,,,,,,,,"{""Q0"":""I just went with my gut instinct."",""Q1"":""Not really."",""Q2"":""29"",""Q3"":""Female.""}",17165,,1247396,,,survey-text,,11
,,,,,,,,,,,,,,"{""Q0"":""I just made a guess. There did not seem to be any pattern to where the higher amounts were."",""Q1"":""No, I just guessed each time."",""Q2"":""30"",""Q3"":""female""}",48147,,1346544,,,survey-text,,12
,,,,,,,,,,,,,,"{""Q0"":""I honestly just looked for high green numbers ahead of time and went towards them once I found them"",""Q1"":""Not really. I ended up clicking all of the routes sometimes and just doing damage control"",""Q2"":""35"",""Q3"":""male""}",37211,,972441,,,survey-text,,13
