,pid,info_cost,PR_type,message,trial_index,trial_id,delays,score,n_click,clicks,click_times,path,action_times
0,0,0.01,objectLevel,full,1,6.0,[0],-4.0,0,[],[],"[1, 10, 11]","[5656, 10039, 11703]"
1,0,0.01,objectLevel,full,2,2.0,[0],35.92,8,"[13, 5, 6, 8, 7, 9, 10, 12]","[2248, 3257, 5784, 6336, 6792, 8376, 8776, 9127]","[1, 10, 12]","[10331, 11611, 12571]"
2,0,0.01,objectLevel,full,3,5.0,[0],27.87,13,"[13, 5, 9, 1, 2, 3, 4, 14, 16, 15, 6, 7, 8]","[513, 1113, 1768, 2296, 3144, 3576, 4217, 5096, 5552, 6016, 6784, 7176, 7672]","[1, 6, 8]","[9068, 9756, 11060]"
3,0,0.01,objectLevel,full,4,12.0,[0],35.91,9,"[9, 10, 12, 11, 13, 5, 1, 2, 3]","[585, 1401, 1825, 2369, 5193, 6057, 7641, 8417, 8777]","[1, 10, 11]","[10141, 10973, 11852]"
4,0,0.01,objectLevel,full,5,4.0,[0],27.86,14,"[9, 5, 6, 7, 8, 1, 2, 13, 14, 16, 15, 11, 12, 10]","[802, 1625, 2217, 2650, 4874, 5698, 6370, 7226, 7786, 8194, 8618, 9594, 10082, 10506]","[1, 6, 7]","[13446, 14373, 19342]"
5,0,0.01,objectLevel,full,6,1.0,[0],35.96,4,"[5, 6, 7, 8]","[872, 1504, 1936, 2720]","[1, 6, 8]","[3685, 4420, 5180]"
6,0,0.01,objectLevel,full,7,0.0,[0],3.84,16,"[9, 5, 1, 13, 10, 11, 12, 6, 8, 2, 4, 3, 15, 14, 16, 7]","[1442, 2570, 3113, 3738, 4818, 5153, 5513, 6226, 6593, 7345, 7802, 8474, 9146, 9482, 9947, 12753]","[1, 14, 16]","[28998, 29678, 30366]"
7,0,0.01,objectLevel,full,8,11.0,[0],11.84,16,"[9, 5, 1, 13, 2, 6, 14, 16, 15, 4, 3, 12, 10, 11, 7, 8]","[634, 1393, 1962, 2690, 3330, 3962, 4570, 5193, 5641, 6490, 6858, 7610, 7978, 8338, 9170, 9610]","[1, 14, 15]","[10870, 12398, 14726]"
8,0,0.01,objectLevel,full,9,14.0,[0],27.84,16,"[5, 6, 7, 8, 2, 10, 11, 14, 13, 3, 4, 1, 15, 16, 12, 9]","[339, 899, 1307, 1851, 2771, 3923, 4555, 5195, 5667, 6611, 7267, 7755, 8443, 9203, 9827, 10555]","[1, 6, 8]","[13110, 13863, 14663]"
9,0,0.01,objectLevel,full,10,3.0,[0],-4.16,16,"[5, 1, 13, 9, 12, 10, 11, 14, 15, 16, 6, 8, 7, 3, 2, 4]","[1675, 2299, 2827, 3508, 4779, 5187, 5555, 6371, 6828, 7435, 8028, 8427, 9147, 9867, 10363, 10794]","[1, 10, 11]","[24599, 25359, 26070]"
