PR_type,bonus,completed,condition,feedback,frequencyOfFB,info_cost,message,pid,start_time,version
none,1.15,True,1,False,after_each_move,1,simple,0,2017-07-07T19:37:37.236Z,1B.0
none,0.0,False,0,False,after_each_move,1,full,1,2017-07-07T19:01:52.206Z,1B.0
featureBased,1.8,True,3,True,after_each_move,1,simple,2,2017-07-07T18:48:58.686Z,1B.0
featureBased,1.7,True,3,True,after_each_move,1,simple,3,2017-07-07T19:42:56.987Z,1B.0
featureBased,2.25,True,2,True,after_each_move,1,full,4,2017-07-07T19:37:03.676Z,1B.0
featureBased,2.5,True,2,True,after_each_move,1,full,5,2017-07-07T19:11:03.254Z,1B.0
none,0.0,False,1,False,after_each_move,1,simple,6,2017-07-07T19:27:56.214Z,1B.0
featureBased,1.7,True,2,True,after_each_move,1,full,7,2017-07-07T19:28:14.559Z,1B.0
featureBased,0.15,True,2,True,after_each_move,1,full,8,2017-07-07T18:31:01.057Z,1B.0
featureBased,1.7,True,3,True,after_each_move,1,simple,9,2017-07-07T19:04:43.541Z,1B.0
none,0.0,True,0,False,after_each_move,1,full,10,2017-07-07T19:39:13.796Z,1B.0
featureBased,1.2,True,2,True,after_each_move,1,full,11,2017-07-07T19:42:31.757Z,1B.0
featureBased,1.4,True,2,True,after_each_move,1,full,12,2017-07-07T18:55:01.259Z,1B.0
none,0.0,True,1,False,after_each_move,1,simple,13,2017-07-07T19:29:28.959Z,1B.0
none,1.7,True,0,False,after_each_move,1,full,14,2017-07-07T19:48:20.867Z,1B.0
none,0.15,True,0,False,after_each_move,1,full,15,2017-07-07T19:23:01.984Z,1B.0
none,2.25,True,0,False,after_each_move,1,full,16,2017-07-07T18:20:41.100Z,1B.0
none,1.7,True,1,False,after_each_move,1,simple,17,2017-07-07T19:41:09.815Z,1B.0
none,0.9,True,1,False,after_each_move,1,simple,18,2017-07-07T18:47:52.546Z,1B.0
featureBased,1.7,True,2,True,after_each_move,1,full,19,2017-07-07T18:48:48.382Z,1B.0
featureBased,1.6,True,3,True,after_each_move,1,simple,20,2017-07-07T19:43:48.085Z,1B.0
featureBased,1.85,True,2,True,after_each_move,1,full,21,2017-07-07T18:47:33.489Z,1B.0
featureBased,0.0,False,3,True,after_each_move,1,simple,22,2017-07-07T18:55:13.910Z,1B.0
none,1.1,True,1,False,after_each_move,1,simple,23,2017-07-07T19:22:32.115Z,1B.0
none,0.9,True,0,False,after_each_move,1,full,24,2017-07-07T19:35:08.762Z,1B.0
none,0.7,True,1,False,after_each_move,1,simple,25,2017-07-07T18:50:03.393Z,1B.0
none,1.7,True,0,False,after_each_move,1,full,26,2017-07-07T18:50:04.861Z,1B.0
none,0.0,True,0,False,after_each_move,1,full,27,2017-07-07T18:48:51.700Z,1B.0
