,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times,feedback
0,0,1,none,simple,1,0,"[3, 0, 1]",5.0,16,"[2, 6, 10, 11, 3, 7, 12, 4, 8, 14, 15, 5, 9, 16, 17, 13]","[10791, 13639, 15196, 17476, 19198, 21079, 21951, 24592, 28468, 31299, 33404, 34923, 35649, 39344, 40065, 41250]","[1, 3, 7, 13]","[42577, 52218, 53633]",False
1,0,1,none,simple,2,5,"[3, 0, 1]",20.0,1,[3],[4271],"[1, 3, 7, 13]","[8528, 16675, 20745]",False
2,0,1,none,simple,3,1,"[3, 0, 1]",23.0,2,"[16, 17]","[12673, 13989]","[1, 5, 9, 16]","[1459, 8059, 17138]",False
3,0,1,none,simple,4,3,"[3, 0, 1]",-1.0,5,"[7, 12, 2, 13, 10]","[10312, 12081, 16379, 20981, 26289]","[1, 3, 7, 13]","[3106, 29992, 32195]",False
4,0,1,none,simple,5,4,"[3, 0, 1]",3.0,3,"[8, 15, 14]","[8085, 8616, 9305]","[1, 4, 8, 14]","[2619, 12699, 14851]",False
5,0,1,none,simple,6,2,"[3, 0, 1]",30.0,4,"[2, 10, 6, 11]","[2619, 4358, 4837, 14613]","[1, 2, 6, 10]","[6456, 16584, 21784]",False
6,0,1,none,simple,7,7,[],29.0,5,"[5, 3, 13, 7, 12]","[3741, 5456, 9217, 9776, 10241]","[1, 3, 7, 12]","[7385, 11744, 15912]",True
7,0,1,none,simple,8,11,[],45.0,3,"[2, 6, 10]","[1905, 3164, 3562]","[1, 2, 6, 10]","[4813, 8797, 13308]",True
8,0,1,none,simple,9,6,[],6.0,4,"[4, 8, 14, 15]","[9179, 10476, 11311, 12143]","[1, 4, 8, 14]","[13870, 16374, 18030]",True
9,0,1,none,simple,10,10,[],35.0,5,"[5, 3, 7, 12, 13]","[2700, 3840, 5648, 6405, 7415]","[1, 3, 7, 12]","[8611, 13212, 15219]",True
10,0,1,none,simple,11,8,[],47.0,3,"[4, 8, 15]","[2561, 3395, 3968]","[1, 4, 8, 15]","[5038, 11166, 14109]",True
11,0,1,none,simple,12,9,[],37.0,4,"[2, 4, 8, 15]","[1830, 2740, 3715, 4213]","[1, 4, 8, 15]","[6119, 7303, 8055]",True
