action_times,actions,button_pressed,correct,delays,key_press,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,81351,,,81353,,,instructions,"[{""page_index"":0,""viewing_time"":19418},{""page_index"":1,""viewing_time"":35495},{""page_index"":2,""viewing_time"":9597},{""page_index"":3,""viewing_time"":16839}]",0
,,,,,,,,,,302324,,,302325,,,instructions,"[{""page_index"":0,""viewing_time"":189429},{""page_index"":1,""viewing_time"":16470},{""page_index"":2,""viewing_time"":96425}]",1
,,,,,,,,,,165781,,,165783,,,instructions,"[{""page_index"":0,""viewing_time"":109981},{""page_index"":1,""viewing_time"":48611},{""page_index"":2,""viewing_time"":7188}]",2
,,,,,,,,,,189663,,,189663,,,instructions,"[{""page_index"":0,""viewing_time"":51970},{""page_index"":1,""viewing_time"":56675},{""page_index"":2,""viewing_time"":49638},{""page_index"":3,""viewing_time"":31380}]",3
,,,,,,,,,,53422,,,53425,,,instructions,"[{""page_index"":0,""viewing_time"":36080},{""page_index"":1,""viewing_time"":9955},{""page_index"":2,""viewing_time"":2669},{""page_index"":3,""viewing_time"":4716}]",4
,,,,,,,,,,24391,,,98715,,,instructions,"[{""page_index"":0,""viewing_time"":5308},{""page_index"":1,""viewing_time"":5867},{""page_index"":2,""viewing_time"":6437},{""page_index"":3,""viewing_time"":6777}]",4
,,,,,,,,,,28363,,,173452,,,instructions,"[{""page_index"":0,""viewing_time"":9735},{""page_index"":1,""viewing_time"":5465},{""page_index"":2,""viewing_time"":6775},{""page_index"":3,""viewing_time"":6387}]",4
,,,,,,,,,,191834,,,191836,,,instructions,"[{""page_index"":0,""viewing_time"":67759},{""page_index"":1,""viewing_time"":96357},{""page_index"":2,""viewing_time"":27715}]",5
,,,,,,,,,,151077,,,151081,,,instructions,"[{""page_index"":0,""viewing_time"":27012},{""page_index"":1,""viewing_time"":43367},{""page_index"":0,""viewing_time"":8724},{""page_index"":1,""viewing_time"":6828},{""page_index"":0,""viewing_time"":13238},{""page_index"":1,""viewing_time"":3718},{""page_index"":2,""viewing_time"":23969},{""page_index"":3,""viewing_time"":24218}]",6
,,,,,,,,,,61165,,,255609,,,instructions,"[{""page_index"":0,""viewing_time"":7346},{""page_index"":1,""viewing_time"":20656},{""page_index"":2,""viewing_time"":25782},{""page_index"":3,""viewing_time"":7379}]",6
,,,,,,,,,,185353,,,185355,,,instructions,"[{""page_index"":0,""viewing_time"":48812},{""page_index"":1,""viewing_time"":67597},{""page_index"":2,""viewing_time"":38115},{""page_index"":3,""viewing_time"":30827}]",7
,,,,,,,,,,63197,,,300879,,,instructions,"[{""page_index"":0,""viewing_time"":14887},{""page_index"":1,""viewing_time"":20545},{""page_index"":2,""viewing_time"":18876},{""page_index"":3,""viewing_time"":8888}]",7
,,,,,,,,,,101567,,,101568,,,instructions,"[{""page_index"":0,""viewing_time"":37250},{""page_index"":1,""viewing_time"":24044},{""page_index"":2,""viewing_time"":24984},{""page_index"":3,""viewing_time"":15289}]",8
,,,,,,,,,,115418,,,115420,,,instructions,"[{""page_index"":0,""viewing_time"":56230},{""page_index"":1,""viewing_time"":35662},{""page_index"":2,""viewing_time"":23525}]",9
,,,,,,,,,,102872,,,102874,,,instructions,"[{""page_index"":0,""viewing_time"":34120},{""page_index"":1,""viewing_time"":30886},{""page_index"":2,""viewing_time"":22505},{""page_index"":3,""viewing_time"":15360}]",10
,,,,,,,,,,197189,,,197190,,,instructions,"[{""page_index"":0,""viewing_time"":46707},{""page_index"":1,""viewing_time"":39253},{""page_index"":2,""viewing_time"":51561},{""page_index"":3,""viewing_time"":34648},{""page_index"":2,""viewing_time"":1989},{""page_index"":1,""viewing_time"":9857},{""page_index"":2,""viewing_time"":10187},{""page_index"":3,""viewing_time"":2987}]",11
,,,,,,,,,,151350,,,392347,,,instructions,"[{""page_index"":0,""viewing_time"":33820},{""page_index"":1,""viewing_time"":33958},{""page_index"":2,""viewing_time"":71801},{""page_index"":3,""viewing_time"":11771}]",11
,,,,,,,,,,186595,,,186596,,,instructions,"[{""page_index"":0,""viewing_time"":48375},{""page_index"":1,""viewing_time"":42192},{""page_index"":2,""viewing_time"":67725},{""page_index"":3,""viewing_time"":28301}]",12
,,,,,,,,,,133277,,,133280,,,instructions,"[{""page_index"":0,""viewing_time"":53002},{""page_index"":1,""viewing_time"":31177},{""page_index"":2,""viewing_time"":30828},{""page_index"":3,""viewing_time"":18260}]",13
,,,,,,,,,,22473,,,190901,,,instructions,"[{""page_index"":0,""viewing_time"":4488},{""page_index"":1,""viewing_time"":1905},{""page_index"":0,""viewing_time"":2615},{""page_index"":1,""viewing_time"":3665},{""page_index"":2,""viewing_time"":5892},{""page_index"":3,""viewing_time"":3908}]",13
,,,,,,,,,,95266,,,95267,,,instructions,"[{""page_index"":0,""viewing_time"":35588},{""page_index"":1,""viewing_time"":28471},{""page_index"":2,""viewing_time"":16212},{""page_index"":3,""viewing_time"":14994}]",14
,,,,,,,,,,271394,,,271394,,,instructions,"[{""page_index"":0,""viewing_time"":116209},{""page_index"":1,""viewing_time"":85895},{""page_index"":2,""viewing_time"":69289}]",15
,,,,,,,,,,119805,,,457850,,,instructions,"[{""page_index"":0,""viewing_time"":23668},{""page_index"":1,""viewing_time"":37360},{""page_index"":2,""viewing_time"":58776}]",15
,,,,,,,,,,23668,,,23669,,,instructions,"[{""page_index"":0,""viewing_time"":8768},{""page_index"":1,""viewing_time"":5505},{""page_index"":2,""viewing_time"":9394}]",16
,,,,,,,,,,32355,,,81023,,,instructions,"[{""page_index"":0,""viewing_time"":7184},{""page_index"":1,""viewing_time"":18502},{""page_index"":2,""viewing_time"":6669}]",16
,,,,,,,,,,1733759,,,1733760,,,instructions,"[{""page_index"":0,""viewing_time"":1667156},{""page_index"":1,""viewing_time"":25097},{""page_index"":2,""viewing_time"":20348},{""page_index"":3,""viewing_time"":21158}]",17
,,,,,,,,,,64285,,,1832923,,,instructions,"[{""page_index"":0,""viewing_time"":10449},{""page_index"":1,""viewing_time"":32949},{""page_index"":2,""viewing_time"":10975},{""page_index"":3,""viewing_time"":9912}]",17
,,,,,,,,,,89098,,,89103,,,instructions,"[{""page_index"":0,""viewing_time"":27392},{""page_index"":1,""viewing_time"":22317},{""page_index"":2,""viewing_time"":20350},{""page_index"":3,""viewing_time"":19033}]",18
,,,,,,,,,,8682,,,118195,,,instructions,"[{""page_index"":0,""viewing_time"":6004},{""page_index"":1,""viewing_time"":570},{""page_index"":2,""viewing_time"":1599},{""page_index"":3,""viewing_time"":506}]",18
,,,,,,,,,,73470,,,73472,,,instructions,"[{""page_index"":0,""viewing_time"":28299},{""page_index"":1,""viewing_time"":16729},{""page_index"":2,""viewing_time"":15290},{""page_index"":3,""viewing_time"":13151}]",19
,,,,,,,,,,31193,,,135158,,,instructions,"[{""page_index"":0,""viewing_time"":8568},{""page_index"":1,""viewing_time"":5906},{""page_index"":2,""viewing_time"":10486},{""page_index"":3,""viewing_time"":6232}]",19
,,,,,,,,,,23612,,,182119,,,instructions,"[{""page_index"":0,""viewing_time"":4575},{""page_index"":1,""viewing_time"":3206},{""page_index"":2,""viewing_time"":13254},{""page_index"":3,""viewing_time"":2576}]",19
,,,,,,,,,,23171,,,220325,,,instructions,"[{""page_index"":0,""viewing_time"":10571},{""page_index"":1,""viewing_time"":3757},{""page_index"":2,""viewing_time"":3262},{""page_index"":3,""viewing_time"":5581}]",19
,,,,,,,,,,5306,,,295998,,,instructions,"[{""page_index"":0,""viewing_time"":1390},{""page_index"":1,""viewing_time"":1552},{""page_index"":2,""viewing_time"":1294},{""page_index"":3,""viewing_time"":1069}]",19
,,,,,,,,,,22497,,,349427,,,instructions,"[{""page_index"":0,""viewing_time"":6532},{""page_index"":1,""viewing_time"":6356},{""page_index"":2,""viewing_time"":6998},{""page_index"":3,""viewing_time"":2610}]",19
,,,,,,,,,,3473,,,375506,,,instructions,"[{""page_index"":0,""viewing_time"":840},{""page_index"":1,""viewing_time"":664},{""page_index"":2,""viewing_time"":996},{""page_index"":3,""viewing_time"":972}]",19
,,,,,,,,,,3334,,,394058,,,instructions,"[{""page_index"":0,""viewing_time"":813},{""page_index"":1,""viewing_time"":844},{""page_index"":2,""viewing_time"":810},{""page_index"":3,""viewing_time"":867}]",19
,,,,,,,,,,3302,,,410124,,,instructions,"[{""page_index"":0,""viewing_time"":961},{""page_index"":1,""viewing_time"":687},{""page_index"":2,""viewing_time"":866},{""page_index"":3,""viewing_time"":788}]",19
,,,,,,,,,,3957,,,427517,,,instructions,"[{""page_index"":0,""viewing_time"":1190},{""page_index"":1,""viewing_time"":764},{""page_index"":2,""viewing_time"":1238},{""page_index"":3,""viewing_time"":765}]",19
,,,,,,,,,,6622,,,447150,,,instructions,"[{""page_index"":0,""viewing_time"":3989},{""page_index"":1,""viewing_time"":889},{""page_index"":2,""viewing_time"":945},{""page_index"":3,""viewing_time"":799}]",19
,,,,,,,,,,93101,,,93102,,,instructions,"[{""page_index"":0,""viewing_time"":29066},{""page_index"":1,""viewing_time"":15851},{""page_index"":2,""viewing_time"":32415},{""page_index"":3,""viewing_time"":15768}]",20
,,,,,,,,,,24279,,,148138,,,instructions,"[{""page_index"":0,""viewing_time"":11700},{""page_index"":1,""viewing_time"":8511},{""page_index"":2,""viewing_time"":2301},{""page_index"":3,""viewing_time"":1766}]",20
,,,,,,,,,,322574,,,322576,,,instructions,"[{""page_index"":0,""viewing_time"":120955},{""page_index"":1,""viewing_time"":109367},{""page_index"":2,""viewing_time"":62520},{""page_index"":3,""viewing_time"":29729}]",21
,,,,,,,,,,121288,,,121289,,,instructions,"[{""page_index"":0,""viewing_time"":44272},{""page_index"":1,""viewing_time"":31995},{""page_index"":2,""viewing_time"":28236},{""page_index"":3,""viewing_time"":16783}]",22
,,,,,,,,,,212715,,,212720,,,instructions,"[{""page_index"":0,""viewing_time"":72703},{""page_index"":1,""viewing_time"":63503},{""page_index"":2,""viewing_time"":44725},{""page_index"":3,""viewing_time"":31781}]",23
,,,,,,,,,,620457,,,620460,,,instructions,"[{""page_index"":0,""viewing_time"":150420},{""page_index"":1,""viewing_time"":251918},{""page_index"":2,""viewing_time"":134307},{""page_index"":3,""viewing_time"":83810}]",24
,,,,,,,,,,354171,,,1074865,,,instructions,"[{""page_index"":0,""viewing_time"":104399},{""page_index"":1,""viewing_time"":51644},{""page_index"":2,""viewing_time"":32015},{""page_index"":3,""viewing_time"":106232},{""page_index"":2,""viewing_time"":13678},{""page_index"":1,""viewing_time"":37806},{""page_index"":2,""viewing_time"":5942},{""page_index"":3,""viewing_time"":2453}]",24
,,,,,,,,,,35205,,,35207,,,instructions,"[{""page_index"":0,""viewing_time"":15220},{""page_index"":1,""viewing_time"":7442},{""page_index"":2,""viewing_time"":6179},{""page_index"":3,""viewing_time"":6363}]",25
,,,,,,,,,,68898,,,68900,,,instructions,"[{""page_index"":0,""viewing_time"":6359},{""page_index"":1,""viewing_time"":18983},{""page_index"":2,""viewing_time"":35868},{""page_index"":3,""viewing_time"":7686}]",26
,,,,,,,,,,91815,,,91816,,,instructions,"[{""page_index"":0,""viewing_time"":18704},{""page_index"":1,""viewing_time"":31686},{""page_index"":2,""viewing_time"":22504},{""page_index"":3,""viewing_time"":18921}]",27
,,,,,,,,,,226177,,,226179,,,instructions,"[{""page_index"":0,""viewing_time"":127982},{""page_index"":1,""viewing_time"":54919},{""page_index"":2,""viewing_time"":43274}]",28
,,,,,,,,,,11852,,,283141,,,instructions,"[{""page_index"":0,""viewing_time"":8119},{""page_index"":1,""viewing_time"":2560},{""page_index"":2,""viewing_time"":1173}]",28
,,,,,,,,,,141926,,,462539,,,instructions,"[{""page_index"":0,""viewing_time"":53480},{""page_index"":1,""viewing_time"":42790},{""page_index"":2,""viewing_time"":45656}]",28
,,,,,,,,,,6297,,,502358,,,instructions,"[{""page_index"":0,""viewing_time"":3826},{""page_index"":1,""viewing_time"":1464},{""page_index"":2,""viewing_time"":1007}]",28
,,,,,,,,,,7290,,,526510,,,instructions,"[{""page_index"":0,""viewing_time"":5138},{""page_index"":1,""viewing_time"":1030},{""page_index"":2,""viewing_time"":1121}]",28
,,,,,,,,,,12668,,,583303,,,instructions,"[{""page_index"":0,""viewing_time"":7127},{""page_index"":1,""viewing_time"":4151},{""page_index"":2,""viewing_time"":1389}]",28
,,,,,,,,,,219359,,,219361,,,instructions,"[{""page_index"":0,""viewing_time"":60616},{""page_index"":1,""viewing_time"":1464},{""page_index"":0,""viewing_time"":650},{""page_index"":1,""viewing_time"":661},{""page_index"":0,""viewing_time"":3783},{""page_index"":1,""viewing_time"":75074},{""page_index"":2,""viewing_time"":33903},{""page_index"":1,""viewing_time"":24680},{""page_index"":2,""viewing_time"":18528}]",29
,,,,,,,,,,130093,,,130094,,,instructions,"[{""page_index"":0,""viewing_time"":49802},{""page_index"":1,""viewing_time"":28448},{""page_index"":2,""viewing_time"":29184},{""page_index"":3,""viewing_time"":22656}]",30
,,,,,,,,,,31752,,,222872,,,instructions,"[{""page_index"":0,""viewing_time"":7165},{""page_index"":1,""viewing_time"":9445},{""page_index"":2,""viewing_time"":12083},{""page_index"":3,""viewing_time"":3058}]",30
,,,,,,,,,,209337,,,209339,,,instructions,"[{""page_index"":0,""viewing_time"":87923},{""page_index"":1,""viewing_time"":58850},{""page_index"":2,""viewing_time"":62561}]",31
,,,,,,,,,,31891,,,310353,,,instructions,"[{""page_index"":0,""viewing_time"":18208},{""page_index"":1,""viewing_time"":6506},{""page_index"":2,""viewing_time"":7175}]",31
,,,,,,,,,,53193,,,413019,,,instructions,"[{""page_index"":0,""viewing_time"":11950},{""page_index"":1,""viewing_time"":12168},{""page_index"":2,""viewing_time"":1312},{""page_index"":1,""viewing_time"":12913},{""page_index"":2,""viewing_time"":14848}]",31
,,,,,,,,,,75582,,,520733,,,instructions,"[{""page_index"":0,""viewing_time"":25995},{""page_index"":1,""viewing_time"":43228},{""page_index"":2,""viewing_time"":6357}]",31
,,,,,,,,,,38076,,,602718,,,instructions,"[{""page_index"":0,""viewing_time"":6020},{""page_index"":1,""viewing_time"":23095},{""page_index"":2,""viewing_time"":8960}]",31
,,,,,,,,,,3439,,,627792,,,instructions,"[{""page_index"":0,""viewing_time"":2054},{""page_index"":1,""viewing_time"":864},{""page_index"":2,""viewing_time"":520}]",31
,,,,,,,,,,175054,,,175056,,,instructions,"[{""page_index"":0,""viewing_time"":77496},{""page_index"":1,""viewing_time"":51946},{""page_index"":2,""viewing_time"":45610}]",32
,,,,,,,,,,90595,,,90596,,,instructions,"[{""page_index"":0,""viewing_time"":43221},{""page_index"":1,""viewing_time"":29012},{""page_index"":2,""viewing_time"":18361}]",33
