action_times,actions,button_pressed,correct,delays,key_press,path,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[56252, 68687, 70712]","[u'left', u'left', u'up']",,,"[3, 0, 1]",,"[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'6', u'5', u'4', u'8', u'14', u'15'], u'time': [4520, 5811, 6515, 7666, 8589, 9339, 9839, 18124]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[56252, 4090, 998]",20.0,,178249,1.0,7.0,mouselab-mdp,,0
"[48074, 60044, 61197]","[u'right', u'right', u'down']",,,"[3, 0, 1]",,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'4', u'2', u'11', u'6', u'13', u'5'], u'time': [3896, 5110, 7610, 10999, 12605, 14013, 18438, 34516]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[48074, 3055, 3]",49.0,,245862,2.0,6.0,mouselab-mdp,,0
"[50461, 60089, 61428]","[u'down', u'down', u'right']",,,"[3, 0, 1]",,"[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'2', u'5', u'9', u'17', u'16'], u'time': [21710, 23241, 23984, 25128, 26232, 27584, 28809]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[50461, 922, 240]",44.0,,315511,3.0,9.0,mouselab-mdp,,0
"[62237, 71927, 79866]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'11', u'17', u'5'], u'time': [17424, 18229, 18989, 19838, 22087, 23241, 25213]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[62237, 923, 6932]",48.0,,415102,4.0,4.0,mouselab-mdp,,0
"[68272, 77321, 78970]","[u'left', u'left', u'up']",,,"[3, 0, 1]",,"[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'2', u'4', u'8', u'15', u'14', u'9'], u'time': [24022, 24748, 26070, 27876, 28788, 29938, 30731, 33907]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[68272, 510, 519]",54.0,,512083,5.0,0.0,mouselab-mdp,,0
"[48524, 57434, 59169]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'17', u'9', u'5'], u'time': [3374, 4423, 5973, 6926, 8126, 9014, 9806]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[48523, 690, 734]",48.0,,582560,6.0,3.0,mouselab-mdp,,0
"[55153, 65477, 67044]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'13', u'11', u'9', u'5', u'7', u'12', u'15', u'8', u'4'], u'time': [10693, 11681, 12753, 15249, 16194, 17288, 18849, 23849, 25129, 27498]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[55153, 1075, 576]",45.0,,658547,7.0,2.0,mouselab-mdp,,0
"[47113, 55603, 58499]","[u'right', u'right', u'down']",,,"[3, 0, 1]",,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'11', u'6', u'10'], u'time': [2782, 3772, 4836, 5540, 7082]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[47112, 964, 1871]",53.0,,724500,8.0,8.0,mouselab-mdp,,0
"[50277, 59270, 63680]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12', u'2', u'9', u'5', u'8'], u'time': [19538, 21713, 23346, 24218, 25440, 26601, 28713, 31105]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[50277, 593, 3356]",32.0,,794113,9.0,1.0,mouselab-mdp,,0
"[62348, 75889, 78052]","[u'up', u'up', u'left']",,,"[3, 0, 1]",,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'7', u'12', u'13', u'5', u'9', u'17', u'4', u'8'], u'time': [22786, 24888, 25721, 26992, 28057, 29312, 29959, 30863, 34479, 35943]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[62348, 4253, 1148]",37.0,,878222,10.0,5.0,mouselab-mdp,,0
"[47371, 53844, 54999]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'11', u'2', u'8', u'9', u'5', u'17'], u'time': [9695, 10782, 11366, 12598, 14431, 16758, 19166, 25167, 26174, 28551]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[47371, 5960, 645]",39.0,,937845,11.0,15.0,mouselab-mdp,,0
"[56631, 58703, 60820]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'8', u'14'], u'time': [17495, 18720, 19743, 20593, 25935, 27351]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[56631, 1566, 1610]",46.0,,1004804,12.0,12.0,mouselab-mdp,,0
"[50540, 52045, 53796]","[u'right', u'right', u'down']",,,[],,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'4', u'6', u'12', u'9', u'2', u'7', u'11', u'10'], u'time': [7433, 9975, 12191, 13247, 15536, 16895, 18151, 20135, 23720, 25863]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[50540, 992, 1239]",18.0,,1064868,13.0,11.0,mouselab-mdp,,0
"[47266, 51263, 54234]","[u'right', u'right', u'up']",,,[],,"[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'6', u'11', u'10', u'5', u'9', u'17', u'16', u'8'], u'time': [5466, 6361, 7361, 8040, 9032, 10169, 10850, 11419, 12233, 14104]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[47266, 3490, 2450]",43.0,,1122826,14.0,10.0,mouselab-mdp,,0
"[50017, 54747, 57231]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'15', u'11', u'10', u'13', u'9'], u'time': [13436, 14235, 15075, 21117, 22564, 24443, 25243, 26563]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[50016, 4213, 1966]",44.0,,1189802,15.0,14.0,mouselab-mdp,,0
"[47968, 49340, 50770]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13'], u'time': [9860, 10971, 11898, 12962]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[47968, 854, 911]",46.0,,1246102,16.0,13.0,mouselab-mdp,,0
"[46721, 61480, 62698]","[u'right', u'right', u'down']",,,"[3, 0, 1]",,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'13', u'2', u'6', u'11', u'15', u'17'], u'time': [3812, 5044, 6013, 7263, 7938, 12607, 13858]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[46720, 6828, 235]",51.0,,254250,1.0,8.0,mouselab-mdp,,2
"[54250, 68267, 72751]","[u'right', u'right', u'down']",,,"[3, 0, 1]",,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'11', u'6', u'2', u'13', u'12', u'5', u'17', u'9'], u'time': [11016, 12575, 14596, 15706, 16565, 24675, 26441, 36613, 45645, 47894]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[54250, 5985, 3597]",47.0,,334677,2.0,6.0,mouselab-mdp,,2
"[49146, 61318, 65162]","[u'up', u'up', u'left']",,,"[3, 0, 1]",,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'3', u'7', u'13', u'12', u'8', u'14', u'6', u'9', u'16'], u'time': [16383, 17273, 18116, 18820, 19774, 22008, 22679, 25304, 27774, 30211]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49146, 4375, 2938]",37.0,,407699,3.0,5.0,mouselab-mdp,,2
"[45680, 57930, 60415]","[u'down', u'down', u'right']",,,"[3, 0, 1]",,"[u'1', 5, 9, 17]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'8', u'6', u'9', u'5', u'17', u'16', u'7', u'4', u'14'], u'time': [8292, 11572, 13275, 14807, 16010, 19449, 22541, 24012, 28479, 29979]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[45680, 4297, 1546]",41.0,,475193,4.0,9.0,mouselab-mdp,,2
"[54778, 66106, 71982]","[u'left', u'left', u'up']",,,"[3, 0, 1]",,"[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'2', u'11', u'13', u'7', u'8', u'15', u'14'], u'time': [2530, 3576, 5701, 7373, 8982, 10014, 11185, 12154, 12922]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[54778, 3484, 4963]",53.0,,554866,5.0,0.0,mouselab-mdp,,2
"[49112, 62811, 64139]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'15', u'8', u'12', u'13', u'6', u'10', u'17', u'9', u'5'], u'time': [5110, 5875, 7562, 8734, 10187, 11500, 13860, 14563, 24752, 25501, 28845]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49111, 5188, 416]",44.0,,629031,6.0,4.0,mouselab-mdp,,2
"[49426, 63442, 68098]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'9', u'7', u'12', u'13', u'10', u'8', u'3', u'2', u'5', u'17'], u'time': [7678, 9223, 10239, 11459, 12911, 14505, 17209, 18989, 20599, 32336]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49426, 6000, 3769]",30.0,,704258,7.0,1.0,mouselab-mdp,,2
"[51112, 60671, 62468]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'17', u'9', u'5'], u'time': [10705, 11719, 13470, 14501, 19657, 21282, 22095]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[51112, 2281, 897]",48.0,,774070,8.0,3.0,mouselab-mdp,,2
"[47844, 57513, 64693]","[u'up', u'up', u'right']",,,"[3, 0, 1]",,"[u'1', 3, 7, 13]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'16'], u'time': [7161, 8534, 9301, 10317, 14083]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[47843, 3059, 6311]",50.0,,851059,9.0,2.0,mouselab-mdp,,2
"[55227, 65180, 66290]","[u'left', u'left', u'up']",,,"[3, 0, 1]",,"[u'1', 4, 8, 14]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'6', u'5', u'10', u'13', u'8', u'4', u'14'], u'time': [5962, 6883, 7946, 9352, 10868, 11899, 13602, 14399, 15274]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[55227, 1797, 120]",19.0,,936876,10.0,7.0,mouselab-mdp,,2
"[55382, 61633, 63711]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'14', u'13', u'7', u'10', u'3', u'17', u'12'], u'time': [6681, 8180, 8759, 10634, 11931, 22916, 27572]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[55381, 5727, 1538]",45.0,,1006732,11.0,12.0,mouselab-mdp,,2
"[49073, 51200, 53559]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'7', u'3', u'12', u'13', u'15', u'14', u'10', u'6', u'2', u'11'], u'time': [5765, 6561, 8015, 9123, 10576, 11498, 12764, 13576, 14264, 17781]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49073, 1607, 1836]",40.0,,1066917,12.0,13.0,mouselab-mdp,,2
"[53855, 57011, 58793]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'2', u'4', u'16', u'7', u'12', u'13'], u'time': [4138, 10328, 11716, 16185, 18357, 20248, 23015]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[53855, 2639, 1255]",42.0,,1135903,13.0,15.0,mouselab-mdp,,2
"[47170, 49483, 51112]","[u'right', u'right', u'up']",,,[],,"[u'1', 2, 6, 10]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'4', u'8', u'14', u'2', u'6', u'11', u'10'], u'time': [4579, 6172, 7343, 8172, 9297, 10344, 10937, 11687]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[47170, 1781, 1098]",45.0,,1193263,14.0,10.0,mouselab-mdp,,2
"[49755, 52646, 54255]","[u'right', u'right', u'down']",,,[],,"[u'1', 2, 6, 11]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'2', u'5', u'4', u'9', u'16', u'17', u'6', u'10', u'11'], u'time': [6492, 7678, 8850, 9492, 11116, 13695, 14413, 15460, 20033, 20757, 21773]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49755, 2374, 1083]",17.0,,1251860,15.0,11.0,mouselab-mdp,,2
"[49755, 51880, 52818]","[u'up', u'up', u'left']",,,[],,"[u'1', 3, 7, 12]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'4', u'8', u'14', u'15'], u'time': [2507, 3537, 4272, 5803, 15148, 16289, 18319, 20826]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[49755, 1593, 416]",44.0,,1310088,16.0,14.0,mouselab-mdp,,2
