,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
0,0,1.0,none,full,1,7,"[3, 0, 1]",20.0,8,"[3, 2, 6, 5, 4, 8, 14, 15]","[4520, 5811, 6515, 7666, 8589, 9339, 9839, 18124]","[1, 4, 8, 14]","[56252, 68687, 70712]"
1,0,1.0,none,full,2,6,"[3, 0, 1]",49.0,8,"[3, 7, 4, 2, 11, 6, 13, 5]","[3896, 5110, 7610, 10999, 12605, 14013, 18438, 34516]","[1, 2, 6, 11]","[48074, 60044, 61197]"
2,0,1.0,none,full,3,9,"[3, 0, 1]",44.0,7,"[3, 7, 2, 5, 9, 17, 16]","[21710, 23241, 23984, 25128, 26232, 27584, 28809]","[1, 5, 9, 17]","[50461, 60089, 61428]"
3,0,1.0,none,full,4,4,"[3, 0, 1]",48.0,7,"[3, 7, 12, 13, 11, 17, 5]","[17424, 18229, 18989, 19838, 22087, 23241, 25213]","[1, 3, 7, 13]","[62237, 71927, 79866]"
4,0,1.0,none,full,5,0,"[3, 0, 1]",54.0,8,"[3, 7, 2, 4, 8, 15, 14, 9]","[24022, 24748, 26070, 27876, 28788, 29938, 30731, 33907]","[1, 4, 8, 14]","[68272, 77321, 78970]"
5,0,1.0,none,full,6,3,"[3, 0, 1]",48.0,7,"[3, 7, 12, 13, 17, 9, 5]","[3374, 4423, 5973, 6926, 8126, 9014, 9806]","[1, 3, 7, 13]","[48524, 57434, 59169]"
6,0,1.0,none,full,7,2,"[3, 0, 1]",45.0,10,"[3, 13, 11, 9, 5, 7, 12, 15, 8, 4]","[10693, 11681, 12753, 15249, 16194, 17288, 18849, 23849, 25129, 27498]","[1, 3, 7, 13]","[55153, 65477, 67044]"
7,0,1.0,none,full,8,8,"[3, 0, 1]",53.0,5,"[3, 2, 11, 6, 10]","[2782, 3772, 4836, 5540, 7082]","[1, 2, 6, 11]","[47113, 55603, 58499]"
8,0,1.0,none,full,9,1,"[3, 0, 1]",32.0,8,"[3, 7, 13, 12, 2, 9, 5, 8]","[19538, 21713, 23346, 24218, 25440, 26601, 28713, 31105]","[1, 3, 7, 13]","[50277, 59270, 63680]"
9,0,1.0,none,full,10,5,"[3, 0, 1]",37.0,10,"[3, 2, 7, 12, 13, 5, 9, 17, 4, 8]","[22786, 24888, 25721, 26992, 28057, 29312, 29959, 30863, 34479, 35943]","[1, 3, 7, 12]","[62348, 75889, 78052]"
10,0,1.0,none,full,11,15,[],39.0,10,"[3, 7, 12, 13, 11, 2, 8, 9, 5, 17]","[9695, 10782, 11366, 12598, 14431, 16758, 19166, 25167, 26174, 28551]","[1, 3, 7, 12]","[47371, 53844, 54999]"
11,0,1.0,none,full,12,12,[],46.0,6,"[3, 7, 12, 13, 8, 14]","[17495, 18720, 19743, 20593, 25935, 27351]","[1, 3, 7, 12]","[56631, 58703, 60820]"
12,0,1.0,none,full,13,11,[],18.0,10,"[3, 5, 4, 6, 12, 9, 2, 7, 11, 10]","[7433, 9975, 12191, 13247, 15536, 16895, 18151, 20135, 23720, 25863]","[1, 2, 6, 11]","[50540, 52045, 53796]"
13,0,1.0,none,full,14,10,[],43.0,10,"[3, 2, 6, 11, 10, 5, 9, 17, 16, 8]","[5466, 6361, 7361, 8040, 9032, 10169, 10850, 11419, 12233, 14104]","[1, 2, 6, 10]","[47266, 51263, 54234]"
14,0,1.0,none,full,15,14,[],44.0,8,"[3, 7, 12, 15, 11, 10, 13, 9]","[13436, 14235, 15075, 21117, 22564, 24443, 25243, 26563]","[1, 3, 7, 12]","[50017, 54747, 57231]"
15,0,1.0,none,full,16,13,[],46.0,4,"[3, 7, 12, 13]","[9860, 10971, 11898, 12962]","[1, 3, 7, 12]","[47968, 49340, 50770]"
16,2,1.0,none,simple,1,8,"[3, 0, 1]",51.0,7,"[3, 13, 2, 6, 11, 15, 17]","[3812, 5044, 6013, 7263, 7938, 12607, 13858]","[1, 2, 6, 11]","[46721, 61480, 62698]"
