action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,,,,,,,,76631,,,76631,,,instructions,"[{""page_index"":0,""viewing_time"":33213},{""page_index"":1,""viewing_time"":23125},{""page_index"":2,""viewing_time"":20292}]",0
,,,,,,,,,,,,,45387,,,45390,,,instructions,"[{""page_index"":0,""viewing_time"":30544},{""page_index"":1,""viewing_time"":4132},{""page_index"":2,""viewing_time"":3750},{""page_index"":3,""viewing_time"":6959}]",1
,,,,,,,,,,,,,100708,,,173788,,,instructions,"[{""page_index"":0,""viewing_time"":31652},{""page_index"":1,""viewing_time"":22560},{""page_index"":0,""viewing_time"":5640},{""page_index"":1,""viewing_time"":1990},{""page_index"":0,""viewing_time"":7025},{""page_index"":1,""viewing_time"":12016},{""page_index"":2,""viewing_time"":3848},{""page_index"":3,""viewing_time"":9617},{""page_index"":2,""viewing_time"":1310},{""page_index"":3,""viewing_time"":5049}]",1
,,,,,,,,,,,,,52011,,,52013,,,instructions,"[{""page_index"":0,""viewing_time"":9306},{""page_index"":1,""viewing_time"":14200},{""page_index"":2,""viewing_time"":17516},{""page_index"":3,""viewing_time"":10989}]",2
,,,,,,,,,,,,,15949,,,97111,,,instructions,"[{""page_index"":0,""viewing_time"":10655},{""page_index"":1,""viewing_time"":3117},{""page_index"":2,""viewing_time"":1564},{""page_index"":3,""viewing_time"":612}]",2
,,,,,,,,,,,,,148163,,,148165,,,instructions,"[{""page_index"":0,""viewing_time"":49362},{""page_index"":1,""viewing_time"":29268},{""page_index"":2,""viewing_time"":39204},{""page_index"":3,""viewing_time"":30328}]",3
,,,,,,,,,,,,,96264,,,281234,,,instructions,"[{""page_index"":0,""viewing_time"":30160},{""page_index"":1,""viewing_time"":23864},{""page_index"":2,""viewing_time"":39139},{""page_index"":3,""viewing_time"":3100}]",3
,,,,,,,,,,,,,91249,,,91252,,,instructions,"[{""page_index"":0,""viewing_time"":35618},{""page_index"":1,""viewing_time"":32052},{""page_index"":2,""viewing_time"":5201},{""page_index"":3,""viewing_time"":18371}]",4
,,,,,,,,,,,,,186964,,,186966,,,instructions,"[{""page_index"":0,""viewing_time"":71573},{""page_index"":1,""viewing_time"":43142},{""page_index"":0,""viewing_time"":22633},{""page_index"":1,""viewing_time"":13477},{""page_index"":0,""viewing_time"":2383},{""page_index"":1,""viewing_time"":1056},{""page_index"":0,""viewing_time"":1965},{""page_index"":1,""viewing_time"":3788},{""page_index"":2,""viewing_time"":5912},{""page_index"":3,""viewing_time"":21033}]",5
,,,,,,,,,,,,,64662,,,293452,,,instructions,"[{""page_index"":0,""viewing_time"":30184},{""page_index"":1,""viewing_time"":16721},{""page_index"":2,""viewing_time"":5692},{""page_index"":3,""viewing_time"":12064}]",5
,,,,,,,,,,,,,68916,,,68919,,,instructions,"[{""page_index"":0,""viewing_time"":5225},{""page_index"":1,""viewing_time"":20723},{""page_index"":2,""viewing_time"":25391},{""page_index"":3,""viewing_time"":17575}]",6
,,,,,,,,,,,,,57900,,,57902,,,instructions,"[{""page_index"":0,""viewing_time"":29563},{""page_index"":1,""viewing_time"":11366},{""page_index"":2,""viewing_time"":4414},{""page_index"":3,""viewing_time"":12556}]",7
,,,,,,,,,,,,,144277,,,220296,,,instructions,"[{""page_index"":0,""viewing_time"":60623},{""page_index"":1,""viewing_time"":23410},{""page_index"":2,""viewing_time"":50685},{""page_index"":3,""viewing_time"":9559}]",7
,,,,,,,,,,,,,98997,,,99000,,,instructions,"[{""page_index"":0,""viewing_time"":37475},{""page_index"":1,""viewing_time"":19239},{""page_index"":2,""viewing_time"":33934},{""page_index"":3,""viewing_time"":8346}]",8
,,,,,,,,,,,,,101852,,,101855,,,instructions,"[{""page_index"":0,""viewing_time"":46267},{""page_index"":1,""viewing_time"":28011},{""page_index"":2,""viewing_time"":4363},{""page_index"":3,""viewing_time"":23205}]",9
,,,,,,,,,,,,,97451,,,97452,,,instructions,"[{""page_index"":0,""viewing_time"":33538},{""page_index"":1,""viewing_time"":44004},{""page_index"":2,""viewing_time"":19899}]",10
,,,,,,,,,,,,,164722,,,164724,,,instructions,"[{""page_index"":0,""viewing_time"":50162},{""page_index"":1,""viewing_time"":59341},{""page_index"":2,""viewing_time"":6560},{""page_index"":3,""viewing_time"":48657}]",11
,,,,,,,,,,,,,5744,,,5746,,,instructions,"[{""page_index"":0,""viewing_time"":2079},{""page_index"":1,""viewing_time"":544},{""page_index"":2,""viewing_time"":2392},{""page_index"":3,""viewing_time"":729}]",12
,,,,,,,,,,,,,88557,,,88558,,,instructions,"[{""page_index"":0,""viewing_time"":14253},{""page_index"":1,""viewing_time"":30466},{""page_index"":2,""viewing_time"":22042},{""page_index"":3,""viewing_time"":21795}]",13
,,,,,,,,,,,,,30396,,,30397,,,instructions,"[{""page_index"":0,""viewing_time"":9227},{""page_index"":1,""viewing_time"":9233},{""page_index"":2,""viewing_time"":11935}]",14
,,,,,,,,,,,,,21990,,,78230,,,instructions,"[{""page_index"":0,""viewing_time"":10556},{""page_index"":1,""viewing_time"":7602},{""page_index"":2,""viewing_time"":3831}]",14
,,,,,,,,,,,,,157074,,,157076,,,instructions,"[{""page_index"":0,""viewing_time"":75683},{""page_index"":1,""viewing_time"":45227},{""page_index"":2,""viewing_time"":5294},{""page_index"":3,""viewing_time"":30868}]",15
,,,,,,,,,,,,,87279,,,87280,,,instructions,"[{""page_index"":0,""viewing_time"":31066},{""page_index"":1,""viewing_time"":42557},{""page_index"":2,""viewing_time"":13655}]",16
,,,,,,,,,,,,,104226,,,104228,,,instructions,"[{""page_index"":0,""viewing_time"":38935},{""page_index"":1,""viewing_time"":45666},{""page_index"":2,""viewing_time"":19624}]",17
,,,,,,,,,,,,,140455,,,140456,,,instructions,"[{""page_index"":0,""viewing_time"":45314},{""page_index"":1,""viewing_time"":32125},{""page_index"":2,""viewing_time"":29323},{""page_index"":3,""viewing_time"":33692}]",18
,,,,,,,,,,,,,129435,,,318864,,,instructions,"[{""page_index"":0,""viewing_time"":6097},{""page_index"":1,""viewing_time"":25505},{""page_index"":2,""viewing_time"":39842},{""page_index"":3,""viewing_time"":9772},{""page_index"":2,""viewing_time"":3577},{""page_index"":1,""viewing_time"":36034},{""page_index"":2,""viewing_time"":8024},{""page_index"":3,""viewing_time"":584}]",18
,,,,,,,,,,,,,32657,,,398141,,,instructions,"[{""page_index"":0,""viewing_time"":29128},{""page_index"":1,""viewing_time"":938},{""page_index"":2,""viewing_time"":1931},{""page_index"":3,""viewing_time"":660}]",18
,,,,,,,,,,,,,26209,,,459101,,,instructions,"[{""page_index"":0,""viewing_time"":22197},{""page_index"":1,""viewing_time"":1017},{""page_index"":2,""viewing_time"":1519},{""page_index"":3,""viewing_time"":1475}]",18
,,,,,,,,,,,,,52119,,,542540,,,instructions,"[{""page_index"":0,""viewing_time"":1979},{""page_index"":1,""viewing_time"":986},{""page_index"":2,""viewing_time"":45186},{""page_index"":3,""viewing_time"":3968}]",18
,,,,,,,,,,,,,7341,,,570953,,,instructions,"[{""page_index"":0,""viewing_time"":1883},{""page_index"":1,""viewing_time"":1366},{""page_index"":2,""viewing_time"":2574},{""page_index"":3,""viewing_time"":1517}]",18
,,,,,,,,,,,,,78619,,,78620,,,instructions,"[{""page_index"":0,""viewing_time"":27267},{""page_index"":1,""viewing_time"":20975},{""page_index"":2,""viewing_time"":15412},{""page_index"":3,""viewing_time"":14964}]",19
,,,,,,,,,,,,,93495,,,93498,,,instructions,"[{""page_index"":0,""viewing_time"":43113},{""page_index"":1,""viewing_time"":27506},{""page_index"":2,""viewing_time"":4062},{""page_index"":3,""viewing_time"":18811}]",20
,,,,,,,,,,,,,81004,,,81005,,,instructions,"[{""page_index"":0,""viewing_time"":22689},{""page_index"":1,""viewing_time"":29757},{""page_index"":2,""viewing_time"":15748},{""page_index"":3,""viewing_time"":12810}]",21
,,,,,,,,,,,,,30212,,,184406,,,instructions,"[{""page_index"":0,""viewing_time"":2518},{""page_index"":1,""viewing_time"":7210},{""page_index"":2,""viewing_time"":5810},{""page_index"":3,""viewing_time"":14674}]",21
,,,,,,,,,,,,,4975,,,327688,,,instructions,"[{""page_index"":0,""viewing_time"":1312},{""page_index"":1,""viewing_time"":743},{""page_index"":2,""viewing_time"":1729},{""page_index"":3,""viewing_time"":1191}]",21
,,,,,,,,,,,,,4368,,,414600,,,instructions,"[{""page_index"":0,""viewing_time"":991},{""page_index"":1,""viewing_time"":936},{""page_index"":2,""viewing_time"":1696},{""page_index"":3,""viewing_time"":745}]",21
,,,,,,,,,,,,,136245,,,136246,,,instructions,"[{""page_index"":0,""viewing_time"":50011},{""page_index"":1,""viewing_time"":27945},{""page_index"":2,""viewing_time"":36123},{""page_index"":3,""viewing_time"":22165}]",22
