PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,score,test_idx,version
none,2.71,0.005,True,0,18,8,False,after_each_move,1,none,0,541.0,"[4, 15, 5, 0, 2, 6]",1C.0
demonstration,2.88,0.005,True,2,18,8,False,after_each_move,1,full,1,576.0,"[0, 6, 5, 15, 7, 14]",1C.0
featureBased,3.17,0.005,True,1,18,8,True,after_each_move,1,full,2,634.0,"[15, 11, 14, 0, 10, 6]",1C.0
featureBased,3.04,0.005,True,1,18,8,True,after_each_move,1,full,3,607.0,"[0, 6, 10, 2, 7, 9]",1C.0
demonstration,3.45,0.005,True,2,18,8,False,after_each_move,1,full,4,690.0,"[1, 2, 15, 9, 7, 11]",1C.0
demonstration,3.18,0.005,True,2,18,8,False,after_each_move,1,full,5,635.0,"[12, 2, 6, 15, 1, 8]",1C.0
featureBased,2.17,0.005,True,1,18,8,True,after_each_move,1,full,6,434.0,"[6, 10, 9, 7, 15, 11]",1C.0
demonstration,3.43,0.005,True,2,18,8,False,after_each_move,1,full,7,686.0,"[14, 2, 6, 7, 8, 11]",1C.0
featureBased,2.3,0.005,True,1,18,8,True,after_each_move,1,full,8,459.0,"[2, 12, 9, 13, 11, 14]",1C.0
demonstration,3.47,0.005,True,2,18,8,False,after_each_move,1,full,9,693.0,"[1, 4, 13, 12, 2, 7]",1C.0
none,3.1,0.005,True,0,18,8,False,after_each_move,1,none,10,619.0,"[9, 2, 12, 10, 3, 7]",1C.0
demonstration,3.05,0.005,True,2,18,8,False,after_each_move,1,full,11,609.0,"[12, 8, 2, 4, 7, 3]",1C.0
featureBased,3.16,0.005,True,1,18,8,True,after_each_move,1,full,12,631.0,"[6, 13, 1, 2, 11, 3]",1C.0
demonstration,2.92,0.005,True,2,18,8,False,after_each_move,1,full,13,584.0,"[14, 8, 12, 0, 9, 2]",1C.0
none,1.06,0.005,True,0,18,8,False,after_each_move,1,none,14,212.0,"[7, 14, 13, 12, 0, 3]",1C.0
demonstration,3.23,0.005,True,2,18,8,False,after_each_move,1,full,15,645.0,"[11, 14, 15, 8, 0, 10]",1C.0
none,2.89,0.005,True,0,18,8,False,after_each_move,1,none,16,577.0,"[9, 6, 15, 8, 7, 10]",1C.0
none,3.04,0.005,True,0,18,8,False,after_each_move,1,none,17,607.0,"[2, 8, 15, 6, 5, 1]",1C.0
featureBased,2.74,0.005,True,1,18,8,True,after_each_move,1,full,18,547.0,"[2, 3, 11, 6, 0, 5]",1C.0
featureBased,1.89,0.005,True,1,18,8,True,after_each_move,1,full,19,378.0,"[14, 10, 5, 7, 8, 6]",1C.0
demonstration,3.39,0.005,True,2,18,8,False,after_each_move,1,full,20,677.0,"[13, 2, 3, 12, 4, 7]",1C.0
featureBased,3.06,0.005,True,1,18,8,True,after_each_move,1,full,21,611.0,"[1, 12, 3, 14, 0, 7]",1C.0
featureBased,2.94,0.005,True,1,18,8,True,after_each_move,1,full,22,587.0,"[14, 9, 1, 2, 13, 11]",1C.0
featureBased,0.0,0.005,False,1,18,8,True,after_each_move,1,full,23,,,1C.0
demonstration,3.4,0.005,True,2,18,8,False,after_each_move,1,full,24,680.0,"[15, 0, 6, 7, 9, 4]",1C.0
featureBased,2.34,0.005,True,1,18,8,True,after_each_move,1,full,25,468.0,"[5, 13, 11, 10, 7, 3]",1C.0
none,2.09,0.005,True,0,18,8,False,after_each_move,1,none,26,417.0,"[2, 6, 0, 4, 13, 7]",1C.0
demonstration,3.43,0.005,True,2,18,8,False,after_each_move,1,full,27,686.0,"[10, 7, 12, 2, 13, 9]",1C.0
