action_times,actions,button_pressed,correct,delays,information_used_correctly,key_press,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
,,,,,,32.0,,,,,,,5584,,,351846,,,text,,1
,,,,,,32.0,,,,,,,4470,,,722197,,,text,,2
,,,,,,32.0,,,,,,,4729,,,894380,,,text,,3
,,,,,,32.0,,,,,,,3518,,,244612,,,text,,4
,,,,,,32.0,,,,,,,7792,,,523738,,,text,,5
,,,,,,32.0,,,,,,,3820,,,792797,,,text,,6
,,,,,,32.0,,,,,,,1084,,,393635,,,text,,7
,,,,,,32.0,,,,,,,4237,,,821695,,,text,,8
,,,,,,32.0,,,,,,,3197,,,277843,,,text,,9
,,,,,,32.0,,,,,,,5707,,,349493,,,text,,11
,,,,,,32.0,,,,,,,2062,,,676276,,,text,,12
,,,,,,32.0,,,,,,,43204,,,550481,,,text,,13
,,,,,,32.0,,,,,,,6279,,,364237,,,text,,15
,,,,,,32.0,,,,,,,5258,,,1213182,,,text,,18
,,,,,,32.0,,,,,,,56623,,,940242,,,text,,19
,,,,,,32.0,,,,,,,3836,,,266471,,,text,,20
,,,,,,32.0,,,,,,,5700,,,1295358,,,text,,21
,,,,,,32.0,,,,,,,8930,,,806496,,,text,,22
,,,,,,32.0,,,,,,,1954,,,319619,,,text,,24
,,,,,,32.0,,,,,,,7622,,,848693,,,text,,25
,,,,,,32.0,,,,,,,10743,,,382008,,,text,,27
,,,,,,32.0,,,,,,,4827,,,266237,,,text,,28
,,,,,,32.0,,,,,,,7666,,,791409,,,text,,31
,,,,,,32.0,,,,,,,3622,,,965467,,,text,,33
,,,,,,32.0,,,,,,,3060,,,259075,,,text,,37
,,,,,,32.0,,,,,,,2707,,,223618,,,text,,38
,,,,,,32.0,,,,,,,7622,,,414402,,,text,,39
,,,,,,32.0,,,,,,,9530,,,873566,,,text,,40
,,,,,,32.0,,,,,,,4510,,,366448,,,text,,46
,,,,,,32.0,,,,,,,3981,,,350675,,,text,,47
,,,,,,32.0,,,,,,,6833,,,827495,,,text,,48
,,,,,,32.0,,,,,,,6429,,,329943,,,text,,49
,,,,,,32.0,,,,,,,4199,,,338088,,,text,,50
,,,,,,32.0,,,,,,,4481,,,244305,,,text,,51
,,,,,,32.0,,,,,,,27985,,,1217672,,,text,,52
,,,,,,32.0,,,,,,,6007,,,336633,,,text,,53
,,,,,,32.0,,,,,,,9705,,,1986399,,,text,,55
,,,,,,32.0,,,,,,,7103,,,788858,,,text,,56
,,,,,,32.0,,,,,,,9279,,,938133,,,text,,57
,,,,,,32.0,,,,,,,6281,,,1899095,,,text,,58
,,,,,,32.0,,,,,,,3061,,,303685,,,text,,61
