,pid,info_cost,PR_type,message,trial_index,trial_i,delays,score,n_click,clicks,click_times,path,action_times
0,0,1,none,none,1,11,"[3, 0, 1]",26.0,2,"[2, 6]","[5451, 10341]","[1, 2, 6, 11]","[20192, 25358, 28526]"
1,0,1,none,none,2,3,"[3, 0, 1]",55.0,0,[],[],"[1, 3, 7, 13]","[987, 7808, 10936]"
2,0,1,none,none,3,8,"[3, 0, 1]",13.0,0,[],[],"[1, 4, 8, 14]","[4208, 10965, 14197]"
3,0,1,none,none,4,12,"[3, 0, 1]",-5.0,0,[],[],"[1, 5, 9, 17]","[1494, 6722, 11210]"
4,0,1,none,none,5,10,"[3, 0, 1]",49.0,4,"[7, 6, 10, 11]","[1883, 3126, 12276, 14312]","[1, 2, 6, 10]","[5248, 10136, 15944]"
5,0,1,none,none,6,9,"[3, 0, 1]",45.0,6,"[7, 8, 9, 6, 16, 17]","[3010, 4291, 5630, 6949, 8985, 9802]","[1, 5, 9, 17]","[11688, 16812, 20239]"
6,0,1,none,none,7,7,"[3, 0, 1]",17.0,11,"[8, 6, 11, 16, 17, 7, 13, 12, 14, 15, 4]","[1593, 2858, 3577, 6590, 7812, 10066, 10818, 11720, 12706, 13668, 15191]","[1, 4, 8, 14]","[16217, 21801, 25825]"
7,0,1,none,none,8,1,"[3, 0, 1]",38.0,2,"[7, 13]","[1811, 2939]","[1, 3, 7, 13]","[4831, 9599, 12121]"
8,0,1,none,none,9,14,"[3, 0, 1]",19.0,6,"[6, 10, 2, 8, 4, 14]","[902, 3454, 4793, 6582, 7330, 15247]","[1, 4, 8, 15]","[8590, 13630, 16566]"
9,0,1,none,none,10,13,"[3, 0, 1]",46.0,4,"[7, 13, 3, 12]","[5614, 6536, 7706, 8821]","[1, 3, 7, 12]","[10440, 15424, 18687]"
10,0,1,none,none,11,4,[],5.0,3,"[2, 10, 11]","[3614, 5865, 6743]","[1, 2, 6, 11]","[7533, 9405, 12197]"
11,0,1,none,none,12,15,[],30.0,8,"[5, 9, 17, 16, 8, 7, 13, 3]","[936, 2080, 2737, 3619, 4890, 6469, 7528, 8466]","[1, 3, 7, 13]","[9508, 11308, 13164]"
