p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,,71696,,71697,,,instructions,"[{""page_index"":0,""viewing_time"":27956},{""page_index"":1,""viewing_time"":16042},{""page_index"":2,""viewing_time"":17429},{""page_index"":3,""viewing_time"":10269}]",0
,,,,,,,,,,,,,,,11751,,112849,,,instructions,"[{""page_index"":0,""viewing_time"":1795},{""page_index"":1,""viewing_time"":2598},{""page_index"":2,""viewing_time"":6053},{""page_index"":3,""viewing_time"":1305}]",0
,,,,,,,,,,,,,,,123043,,123046,,,instructions,"[{""page_index"":0,""viewing_time"":45811},{""page_index"":1,""viewing_time"":45581},{""page_index"":2,""viewing_time"":31588}]",1
,,,,,,,,,,,,,,,12660,,12662,,,instructions,"[{""page_index"":0,""viewing_time"":4258},{""page_index"":1,""viewing_time"":4815},{""page_index"":2,""viewing_time"":1187},{""page_index"":3,""viewing_time"":2399}]",2
,,,,,,,,,,,,,,,141613,,141614,,,instructions,"[{""page_index"":0,""viewing_time"":41965},{""page_index"":1,""viewing_time"":62867},{""page_index"":2,""viewing_time"":7048},{""page_index"":3,""viewing_time"":29732}]",3
,,,,,,,,,,,,,,,69590,,69593,,,instructions,"[{""page_index"":0,""viewing_time"":23149},{""page_index"":1,""viewing_time"":24381},{""page_index"":2,""viewing_time"":14152},{""page_index"":3,""viewing_time"":7907}]",4
,,,,,,,,,,,,,,,33667,,139910,,,instructions,"[{""page_index"":0,""viewing_time"":8619},{""page_index"":1,""viewing_time"":5477},{""page_index"":2,""viewing_time"":17422},{""page_index"":3,""viewing_time"":2148}]",4
,,,,,,,,,,,,,,,177486,,177487,,,instructions,"[{""page_index"":0,""viewing_time"":41238},{""page_index"":1,""viewing_time"":50620},{""page_index"":2,""viewing_time"":66541},{""page_index"":3,""viewing_time"":19086}]",5
,,,,,,,,,,,,,,,55261,,285942,,,instructions,"[{""page_index"":0,""viewing_time"":21287},{""page_index"":1,""viewing_time"":25968},{""page_index"":2,""viewing_time"":6179},{""page_index"":3,""viewing_time"":1826}]",5
,,,,,,,,,,,,,,,46800,,358455,,,instructions,"[{""page_index"":0,""viewing_time"":2767},{""page_index"":1,""viewing_time"":815},{""page_index"":2,""viewing_time"":2180},{""page_index"":3,""viewing_time"":16683},{""page_index"":2,""viewing_time"":5000},{""page_index"":1,""viewing_time"":4169},{""page_index"":0,""viewing_time"":9716},{""page_index"":1,""viewing_time"":2088},{""page_index"":2,""viewing_time"":1987},{""page_index"":3,""viewing_time"":1395}]",5
,,,,,,,,,,,,,,,24124,,432930,,,instructions,"[{""page_index"":0,""viewing_time"":16423},{""page_index"":1,""viewing_time"":634},{""page_index"":0,""viewing_time"":798},{""page_index"":1,""viewing_time"":621},{""page_index"":2,""viewing_time"":4128},{""page_index"":3,""viewing_time"":1520}]",5
,,,,,,,,,,,,,,,31026,,486882,,,instructions,"[{""page_index"":0,""viewing_time"":2220},{""page_index"":1,""viewing_time"":4758},{""page_index"":2,""viewing_time"":6756},{""page_index"":1,""viewing_time"":16191},{""page_index"":2,""viewing_time"":440},{""page_index"":3,""viewing_time"":660}]",5
