PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
featureBased,2.19,0.01,True,1,24,4,True,after_each_move,1.25,full,0,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",219.0,"[11, 10, 12, 8, 7, 9]",True,1C.1
none,1.19,0.01,True,0,24,4,False,after_each_move,1.25,none,1,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",119.25,"[12, 15, 14, 2, 1, 11]",True,1C.1
demonstration,1.98,0.01,True,2,24,4,False,after_each_move,1.25,full,2,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",197.75,"[9, 0, 15, 14, 2, 10]",True,1C.1
demonstration,1.52,0.01,True,2,24,4,False,after_each_move,1.25,full,3,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",152.25,"[4, 13, 12, 2, 1, 10]",True,1C.1
featureBased,2.1,0.01,True,1,24,4,True,after_each_move,1.25,full,4,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",210.0,"[14, 11, 10, 12, 6, 15]",True,1C.1
featureBased,1.87,0.01,True,1,24,4,True,after_each_move,1.25,full,5,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",186.5,"[14, 7, 12, 9, 11, 8]",True,1C.1
demonstration,2.4,0.01,True,2,24,4,False,after_each_move,1.25,full,6,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",239.75,"[8, 2, 14, 13, 12, 6]",True,1C.1
demonstration,2.17,0.01,True,2,24,4,False,after_each_move,1.25,full,7,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",217.0,"[10, 6, 11, 12, 9, 1]",True,1C.1
demonstration,2.32,0.01,True,2,24,4,False,after_each_move,1.25,full,8,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",232.25,"[12, 10, 4, 7, 5, 3]",True,1C.1
featureBased,1.87,0.01,True,1,24,4,True,after_each_move,1.25,full,9,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",187.0,"[12, 14, 0, 9, 1, 10]",True,1C.1
featureBased,1.94,0.01,True,1,24,4,True,after_each_move,1.25,full,10,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",194.25,"[12, 13, 10, 7, 11, 4]",True,1C.1
none,2.12,0.01,True,0,24,4,False,after_each_move,1.25,none,11,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",212.25,"[11, 7, 1, 15, 6, 0]",True,1C.1
featureBased,1.58,0.01,True,1,24,4,True,after_each_move,1.25,full,12,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",158.25,"[9, 2, 8, 11, 7, 3]",True,1C.1
none,1.92,0.01,True,0,24,4,False,after_each_move,1.25,none,13,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",191.5,"[11, 0, 5, 9, 8, 3]",True,1C.1
featureBased,1.92,0.01,True,1,24,4,True,after_each_move,1.25,full,14,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",192.0,"[3, 14, 4, 6, 5, 10]",True,1C.1
demonstration,2.28,0.01,True,2,24,4,False,after_each_move,1.25,full,15,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",227.5,"[12, 2, 5, 15, 8, 9]",True,1C.1
none,2.13,0.01,True,0,24,4,False,after_each_move,1.25,none,16,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",213.25,"[2, 8, 10, 9, 1, 6]",True,1C.1
none,2.66,0.01,True,0,24,4,False,after_each_move,1.25,none,17,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",266.0,"[10, 5, 8, 7, 11, 12]",True,1C.1
