p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,"{""Q0"":""I chose whatever would generate the most revenue; if the route had a lot of money along it, I went that route. "",""Q1"":""I learned to consult more options rather than less for optimal decision making. It is better to operate with more information at a cost to you than at less information, which poses a greater risk. "",""Q2"":""24"",""Q3"":""Female""}",40418,,1762006,,,survey-text,,0
,,,,,,,,,,,,,,"{""Q0"":""I only clicked on the first circle. when i found a + number that is the way i went. not knowing what was behind it"",""Q1"":""don't spend so much before you take off"",""Q2"":""32"",""Q3"":""female""}",59512,,1324215,,,survey-text,,1
,,,,,,,,,,,,,,"{""Q0"":""I watched and learned from the examples, then I tried my best to emulate it."",""Q1"":""I learned to avoid clicking on the last spots until the first two show you positive numbers."",""Q2"":""23"",""Q3"":""Male""}",74485,,990610,,,survey-text,,2
,,,,,,,,,,,,,,"{""Q0"":""Selected some of the inner moves first, then selected a couple endpoints"",""Q1"":""Yeah, make sure that I select the right key. I made a mistake. I had a really good plan, but instead of hitting up, I hit over and ended with a really low round the 3rd round I believe."",""Q2"":""33"",""Q3"":""Female""}",111434,,763452,,,survey-text,,3
,,,,,,,,,,,,,,"{""Q0"":""whichever route awarded the most money without losing too much."",""Q1"":""Yes. I would click less."",""Q2"":""27"",""Q3"":""female""}",30223,,1176906,,,survey-text,,4
,,,,,,,,,,,,,,"{""Q0"":""seeing what intermediate flights and end flights paid and took advantage of a potential  profit"",""Q1"":""To take a loss early to get ahead later."",""Q2"":""23"",""Q3"":""Male""}",156524,,2234740,,,survey-text,,5
,,,,,,,,,,,,,,"{""Q0"":""I uncovered as few as possible that looked potentially the highest payout."",""Q1"":""No"",""Q2"":""35"",""Q3"":""female""}",31498,,598052,,,survey-text,,6
,,,,,,,,,,,,,,"{""Q0"":""Minimize clicks while maximizing possible paths"",""Q1"":""The training revealed efficiencies"",""Q2"":""32"",""Q3"":""Female""}",42542,,630336,,,survey-text,,7
,,,,,,,,,,,,,,"{""Q0"":""By clicking to find the higher values."",""Q1"":""yes checking more routes gave you more choices"",""Q2"":""53"",""Q3"":""female""}",60159,,836448,,,survey-text,,8
,,,,,,,,,,,,,,"{""Q0"":""I checked all 4 immediate locations to see which one wouldn't lose money and then one more beyond that at least to see which was best."",""Q1"":""No, it is impossible to know the risk involved with a hidden amount."",""Q2"":""33"",""Q3"":""F""}",68958,,1789013,,,survey-text,,9
,,,,,,,,,,,,,,"{""Q0"":""I looked for the highest amount in the first space.  If they were the same, I'd move to the next space, etc."",""Q1"":""Once I realized what the $ amounts possible were, I could gauge my odds of my pick vs. the unrevealed amounts and see if it were was worth the $1.25.  I'm sure I could have done better, but the revealing of the spaces eats up the money quickly."",""Q2"":""48"",""Q3"":""female""}",163987,,1558501,,,survey-text,,10
,,,,,,,,,,,,,,"{""Q0"":""first i'd check the closest nodes, if one of them is 12 or 20 - check next node"",""Q1"":""no, was there a pattern? i was looking for a pattern, but wasn't able to find it"",""Q2"":""33"",""Q3"":""male""}",113243,,1315068,,,survey-text,,11
,,,,,,,,,,,,,,"{""Q0"":""where i get the most money without making to many destinys visible"",""Q1"":""yeah not to make to much visible"",""Q2"":""31"",""Q3"":""female""}",83232,,1433753,,,survey-text,,12
