action_times,actions,button_pressed,correct,delays,information_used_correctly,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,stimulus,time_elapsed,trial_index,trial_i,trial_type,view_history,pid
"[25495, 53957, 59807]","[u'left', u'left', u'up']",,,"[3, 0, 1]","[True, True, True]","[u'1', 4, 8, 14]","[True, False, True]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'4', u'8'], u'time': [9666, 13191, 14598, 20190]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[25495, 6212, 4755]",24.0,,463523,1.0,7.0,mouselab-mdp,,0
"[26544, 55731, 64011]","[u'right', u'right', u'down']",,,"[3, 0, 1]","[True, True, True]","[u'1', 2, 6, 11]","[True, False, True]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'2', u'6'], u'time': [3531, 16481, 20026, 23664]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[26544, 7372, 7159]",54.0,,541404,2.0,8.0,mouselab-mdp,,0
"[26453, 51410, 55916]","[u'up', u'up', u'left']",,,"[3, 0, 1]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, True]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'5', u'4', u'8', u'2', u'6', u'3', u'7'], u'time': [4839, 6436, 8360, 11624, 14898, 21041, 23265]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[26453, 1483, 3411]",26.0,,621985,3.0,3.0,mouselab-mdp,,0
"[11901, 33342, 62757]","[u'up', u'up', u'left']",,,"[3, 0, 1]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'12'], u'time': [4870, 6660, 8500, 10003]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11900, 1395, 28454]",46.0,,697442,4.0,13.0,mouselab-mdp,,0
"[27299, 50756, 52579]","[u'left', u'left', u'up']",,,"[3, 0, 1]","[True, True, True]","[u'1', 4, 8, 14]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'4', u'8', u'14'], u'time': [10419, 12229, 13337]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[27299, 1415, 748]",59.0,,783006,5.0,0.0,mouselab-mdp,,0
"[22878, 46654, 49183]","[u'right', u'right', u'down']",,,"[3, 0, 1]","[True, True, True]","[u'1', 2, 6, 11]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'5', u'9', u'4', u'7', u'2', u'6', u'10', u'11', u'13', u'8', u'17'], u'time': [2693, 3542, 4450, 5886, 7598, 8489, 9457, 10506, 11352, 14434, 16355, 18815]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[22877, 773, 1574]",16.0,,857611,6.0,11.0,mouselab-mdp,,0
"[31299, 56272, 57927]","[u'up', u'up', u'right']",,,"[3, 0, 1]","[True, True, True]","[u'1', 3, 7, 13]","[False, False, True]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'13', u'5', u'2', u'4', u'8', u'14', u'15'], u'time': [2771, 4666, 5795, 9548, 12492, 15330, 16968, 22829, 26064]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[31299, 2437, 681]",33.0,,939990,7.0,12.0,mouselab-mdp,,0
"[21367, 135632, 137122]","[u'up', u'up', u'left']",,,"[3, 0, 1]","[True, True, True]","[u'1', 3, 7, 12]","[True, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13', u'5', u'4', u'9', u'2', u'17'], u'time': [2719, 4482, 5362, 6490, 10643, 12519, 14352, 16308, 18314]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[21367, 92695, 536]",40.0,,1083323,8.0,15.0,mouselab-mdp,,0
"[20126, 41862, 43879]","[u'up', u'up', u'left']",,,"[3, 0, 1]","[True, True, True]","[u'1', 3, 7, 12]","[False, False, False]","[True, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'2', u'5', u'4', u'8', u'14', u'15', u'3', u'7', u'12', u'13'], u'time': [4550, 5409, 6220, 7417, 8333, 9163, 10861, 12078, 13492, 14610]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[20126, 809, 1141]",42.0,,1155144,9.0,14.0,mouselab-mdp,,0
"[22439, 44437, 46198]","[u'up', u'up', u'right']",,,"[3, 0, 1]","[True, True, True]","[u'1', 3, 7, 13]","[False, False, False]","[False, False, False]","{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [u'3', u'7', u'12', u'13'], u'time': [4118, 5606, 6622, 7491]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[22439, 1820, 808]",51.0,,1227584,10.0,2.0,mouselab-mdp,,0
