,pid,info_cost,PR_type,message,trial_index,trial_id,delays,score,n_click,clicks,click_times,path,action_times
0,0,1.25,none,simple,1,13.0,[15],35.25,7,"[5, 13, 9, 1, 2, 4, 3]","[2400, 3597, 4414, 4989, 8029, 8717, 13574]","[1, 2, 4]","[15420, 33459, 35147]"
1,0,1.25,none,simple,2,0.0,[15],-3.5,6,"[9, 1, 13, 5, 2, 10]","[4403, 5107, 5579, 5971, 6995, 8667]","[1, 10, 12]","[11028, 62241, 65241]"
2,0,1.25,none,simple,3,9.0,[15],-22.0,8,"[9, 10, 2, 14, 6, 5, 13, 1]","[2189, 3501, 4245, 5524, 6372, 7117, 7652, 8708]","[1, 10, 11]","[14815, 34727, 37670]"
3,0,1.25,none,simple,4,10.0,[15],18.0,8,"[13, 2, 10, 6, 5, 14, 1, 9]","[1741, 2829, 3517, 4181, 4757, 6829, 7837, 10438]","[1, 10, 12]","[11527, 30016, 30855]"
4,0,1.25,none,simple,5,15.0,[15],16.75,9,"[10, 9, 6, 5, 1, 14, 13, 16, 15]","[1188, 2404, 3157, 3484, 4828, 5732, 6427, 8571, 9892]","[1, 14, 16]","[10982, 36255, 36926]"
5,0,1.25,none,simple,6,11.0,[15],2.0,8,"[11, 12, 7, 13, 1, 2, 9, 10]","[1143, 2119, 2647, 4174, 5063, 5463, 6078, 6743]","[1, 10, 12]","[9576, 46658, 47209]"
6,0,1.25,none,simple,7,2.0,[15],31.0,4,"[9, 11, 12, 10]","[1656, 2896, 3585, 3936]","[1, 10, 12]","[5890, 23450, 23969]"
7,0,1.25,none,simple,8,5.0,[15],9.25,15,"[2, 10, 14, 13, 16, 11, 12, 7, 8, 3, 4, 9, 5, 1, 6]","[2007, 2766, 3487, 4254, 4839, 5414, 6022, 6558, 7142, 7710, 8231, 10612, 11135, 11551, 14543]","[1, 6, 8]","[15897, 37320, 37888]"
8,0,1.25,none,simple,9,7.0,[15],15.5,10,"[11, 12, 7, 8, 3, 4, 15, 16, 14, 13]","[1911, 2309, 2877, 3245, 3861, 4381, 4949, 5445, 6477, 6709]","[1, 14, 16]","[7791, 28398, 29342]"
9,0,1.25,none,simple,10,8.0,[15],0.0,16,"[11, 12, 10, 9, 7, 8, 16, 15, 4, 3, 2, 1, 6, 5, 14, 13]","[1619, 2058, 2650, 2891, 3554, 4018, 5490, 6010, 6482, 7067, 7746, 8194, 9658, 9882, 10850, 11098]","[1, 10, 11]","[17109, 44719, 46335]"
10,0,1.25,none,simple,11,6.0,[],23.0,4,"[9, 11, 12, 10]","[5414, 6078, 6486, 7294]","[1, 10, 12]","[8240, 10816, 11424]"
11,0,1.25,none,simple,12,3.0,[],-24.0,16,"[16, 11, 12, 7, 8, 3, 4, 15, 13, 9, 5, 1, 14, 10, 6, 2]","[971, 1561, 2065, 2578, 3153, 3681, 4337, 4961, 6121, 6753, 7192, 7611, 8065, 8584, 9152, 9800]","[1, 10, 12]","[16611, 17379, 17923]"
12,0,1.25,none,simple,13,1.0,[],26.0,8,"[11, 7, 3, 16, 15, 4, 8, 12]","[2783, 3566, 4222, 4862, 5430, 6086, 6687, 7350]","[1, 6, 8]","[9848, 10943, 11895]"
13,0,1.25,none,simple,14,12.0,[],-14.0,8,"[16, 15, 4, 3, 8, 7, 12, 11]","[1051, 1469, 1955, 2395, 2907, 3411, 4139, 4587]","[1, 6, 8]","[5581, 6613, 7709]"
14,0,1.25,none,simple,15,4.0,[],14.25,11,"[11, 13, 9, 1, 5, 6, 14, 15, 16, 7, 8]","[1638, 2991, 3309, 3837, 4421, 6365, 7101, 7669, 8191, 8837, 9342]","[1, 6, 7]","[10703, 11367, 11966]"
15,0,1.25,none,simple,16,14.0,[],10.0,8,"[10, 9, 13, 14, 1, 2, 5, 6]","[2099, 2363, 2930, 3466, 4042, 4386, 4884, 5202]","[1, 6, 7]","[6156, 6764, 10380]"
16,1,1.25,featureBased,full,1,7.0,[16],4.0,0,[],[],"[1, 6, 8]","[3346, 25617, 28401]"
17,1,1.25,featureBased,full,2,0.0,[12],-1.0,4,"[9, 1, 13, 5]","[1563, 2873, 4050, 5705]","[1, 10, 12]","[8210, 24968, 27816]"
18,1,1.25,featureBased,full,3,2.0,[11],23.5,10,"[13, 9, 5, 1, 2, 3, 4, 10, 12, 11]","[3460, 4613, 5428, 6332, 6963, 7951, 8617, 9380, 10108, 10820]","[1, 10, 12]","[12778, 25284, 26596]"
19,1,1.25,featureBased,full,4,12.0,[9],20.5,6,"[9, 10, 12, 5, 13, 1]","[2167, 2902, 3632, 5335, 6639, 9314]","[1, 10, 12]","[10953, 21511, 22432]"
20,1,1.25,featureBased,full,5,4.0,[5],20.5,6,"[9, 5, 1, 6, 8, 7]","[2654, 3763, 5220, 6444, 7188, 7980]","[1, 6, 7]","[9590, 15939, 16771]"
21,1,1.25,featureBased,full,6,13.0,[5],36.5,6,"[9, 13, 1, 5, 2, 4]","[1403, 2082, 2694, 3350, 6569, 7354]","[1, 2, 4]","[9042, 15122, 15988]"
22,1,1.25,featureBased,full,7,11.0,[3],-3.0,12,"[9, 1, 5, 13, 14, 16, 15, 6, 2, 10, 12, 11]","[1427, 2411, 3499, 4331, 7460, 9430, 10643, 12914, 14306, 15067, 18771, 19515]","[1, 10, 12]","[23568, 27467, 28370]"
23,1,1.25,featureBased,full,8,6.0,[11],16.75,9,"[9, 5, 13, 1, 2, 4, 10, 12, 11]","[2678, 4751, 5381, 5838, 6926, 8021, 9073, 9693, 10742]","[1, 10, 12]","[12770, 24872, 25762]"
24,1,1.25,featureBased,full,9,3.0,[31],-24.0,16,"[9, 1, 5, 13, 10, 12, 11, 6, 7, 8, 2, 3, 4, 14, 15, 16]","[1257, 2304, 3357, 4192, 5028, 5800, 6453, 7488, 8111, 8721, 10401, 11137, 11924, 12921, 13416, 13968]","[1, 10, 12]","[17438, 66860, 67803]"
25,1,1.25,featureBased,full,10,1.0,[2],31.0,4,"[5, 6, 8, 7]","[1197, 2357, 3164, 3877]","[1, 6, 8]","[5765, 9009, 9943]"
26,1,1.25,featureBased,full,11,9.0,[],-7.25,9,"[13, 9, 5, 1, 2, 3, 6, 7, 8]","[1052, 1739, 2235, 2800, 3428, 3924, 4771, 5276, 5736]","[1, 6, 8]","[8430, 9474, 10318]"
27,1,1.25,featureBased,full,12,14.0,[],15.5,10,"[9, 5, 1, 13, 10, 12, 11, 7, 6, 8]","[1323, 2850, 3764, 4297, 4932, 5626, 6578, 7357, 7868, 8269]","[1, 6, 8]","[11014, 11914, 12689]"
28,1,1.25,featureBased,full,13,15.0,[],23.5,10,"[9, 5, 1, 13, 10, 12, 11, 6, 8, 7]","[1272, 2422, 3414, 4028, 4822, 5367, 5997, 7034, 7630, 8446]","[1, 10, 12]","[10100, 11013, 11937]"
29,1,1.25,featureBased,full,14,8.0,[],6.25,11,"[9, 10, 12, 11, 13, 5, 1, 6, 7, 8, 2]","[2922, 4782, 5393, 6254, 7234, 7697, 8329, 9659, 10177, 10730, 11937]","[1, 10, 11]","[14316, 15302, 16090]"
30,1,1.25,featureBased,full,15,5.0,[],16.75,9,"[9, 13, 5, 1, 2, 3, 4, 10, 12]","[1108, 1979, 2651, 3380, 4597, 5106, 5977, 7120, 7575]","[1, 10, 12]","[15076, 15895, 16774]"
31,1,1.25,featureBased,full,16,10.0,[],18.0,8,"[9, 13, 1, 5, 10, 12, 11, 14]","[16205, 17060, 17736, 18435, 19699, 20347, 21051, 21986]","[1, 10, 12]","[26448, 27369, 28275]"
32,2,1.25,featureBased,full,1,11.0,[27],3.25,7,"[5, 6, 7, 8, 14, 2, 10]","[4600, 7599, 8181, 9049, 12958, 13914, 14742]","[1, 10, 12]","[17326, 54050, 59674]"
33,2,1.25,featureBased,full,2,13.0,[8],35.25,7,"[5, 13, 9, 1, 2, 4, 3]","[1520, 2296, 2976, 3640, 4435, 5131, 5799]","[1, 2, 4]","[7894, 20079, 21723]"
34,2,1.25,featureBased,full,3,14.0,[2],23.0,4,"[5, 6, 7, 8]","[1276, 2340, 3120, 4012]","[1, 6, 8]","[5600, 9860, 11276]"
35,2,1.25,featureBased,full,4,0.0,[1],-7.25,9,"[9, 13, 1, 5, 10, 12, 2, 4, 3]","[1273, 2109, 3001, 3889, 6653, 7581, 9081, 9777, 10525]","[1, 10, 12]","[13676, 15024, 15828]"
36,2,1.25,featureBased,full,5,6.0,[0],16.75,9,"[5, 13, 14, 15, 16, 9, 10, 11, 12]","[1856, 2972, 3892, 4676, 5568, 7219, 8407, 9167, 9903]","[1, 10, 12]","[12162, 13386, 14111]"
37,2,1.25,featureBased,full,6,9.0,[1],-7.25,9,"[5, 6, 13, 9, 10, 1, 11, 14, 16]","[3352, 4128, 5272, 5932, 6824, 7792, 9548, 15340, 16271]","[1, 14, 16]","[20268, 21392, 22700]"
38,2,1.25,featureBased,full,7,1.0,[5],7.0,4,"[9, 10, 11, 12]","[1228, 2192, 3076, 3744]","[1, 10, 11]","[6412, 14156, 73662]"
39,2,1.25,featureBased,full,8,15.0,[4],29.75,5,"[9, 10, 11, 12, 1]","[1192, 2188, 2980, 3652, 6731]","[1, 10, 12]","[8385, 15214, 16057]"
40,2,1.25,featureBased,full,9,2.0,[2],16.25,3,"[5, 6, 8]","[1240, 2412, 3012]","[1, 6, 8]","[4616, 9308, 10167]"
41,2,1.25,featureBased,full,10,10.0,[0],19.25,7,"[5, 13, 14, 9, 10, 11, 12]","[5480, 6288, 7068, 8296, 9100, 9824, 10628]","[1, 10, 12]","[13133, 14294, 14982]"
42,2,1.25,featureBased,full,11,8.0,[],11.25,7,"[9, 10, 5, 6, 13, 14, 1]","[1344, 2164, 3217, 4113, 5377, 6145, 7195]","[1, 10, 11]","[12374, 59472, 60944]"
43,2,1.25,featureBased,full,12,12.0,[],32.25,3,"[9, 10, 11]","[1404, 2312, 2988]","[1, 10, 11]","[4668, 6950, 7746]"
44,2,1.25,featureBased,full,13,7.0,[],13.75,5,"[9, 5, 6, 8, 7]","[1164, 2108, 3208, 3863, 4731]","[1, 6, 7]","[6007, 8173, 11129]"
45,2,1.25,featureBased,full,14,4.0,[],21.75,5,"[9, 5, 6, 8, 7]","[1237, 2090, 3090, 3646, 4474]","[1, 6, 7]","[5878, 8235, 9711]"
46,2,1.25,featureBased,full,15,3.0,[],-24.0,16,"[5, 13, 9, 10, 1, 2, 4, 3, 11, 12, 14, 6, 7, 8, 15, 16]","[1232, 2096, 2844, 3512, 4616, 5794, 7033, 7737, 9189, 10053, 14999, 15975, 16547, 17235, 17899, 18407]","[1, 10, 11]","[22263, 23013, 24906]"
47,2,1.25,featureBased,full,16,5.0,[],23.0,4,"[9, 10, 11, 12]","[1020, 1820, 2372, 3260]","[1, 10, 12]","[4876, 5948, 6828]"
48,3,1.25,featureBased,full,1,0.0,[16],-36.0,0,[],[],"[1, 6, 7]","[2139, 21552, 22870]"
49,3,1.25,featureBased,full,2,12.0,[26],23.5,10,"[9, 10, 11, 13, 14, 15, 16, 7, 5, 1]","[980, 2192, 2961, 3827, 4821, 5511, 6381, 6983, 9134, 11300]","[1, 10, 11]","[12416, 40063, 41935]"
50,3,1.25,featureBased,full,3,4.0,[11],18.0,8,"[9, 5, 1, 13, 6, 7, 14, 16]","[1519, 2170, 2861, 3519, 4385, 5008, 6454, 6999]","[1, 6, 7]","[8862, 21842, 22766]"
51,3,1.25,featureBased,full,4,10.0,[5],16.75,9,"[5, 9, 13, 1, 14, 16, 10, 11, 12]","[952, 1794, 3281, 4027, 5094, 5879, 8922, 9950, 10630]","[1, 10, 12]","[11636, 17890, 18693]"
52,3,1.25,featureBased,full,5,13.0,[7],16.25,3,"[9, 5, 1]","[1078, 2535, 3281]","[1, 2, 3]","[5087, 13087, 14415]"
53,3,1.25,featureBased,full,6,8.0,[9],10.75,1,[9],[856],"[1, 10, 12]","[1914, 12296, 13367]"
54,3,1.25,featureBased,full,7,3.0,[8],-9.0,4,"[9, 13, 1, 5]","[1747, 2453, 3030, 3767]","[1, 10, 12]","[5147, 15911, 17018]"
55,3,1.25,featureBased,full,8,2.0,[4],32.25,3,"[9, 10, 11]","[823, 1729, 2564]","[1, 10, 12]","[4324, 9391, 10252]"
56,3,1.25,featureBased,full,9,1.0,[2],26.0,8,"[9, 10, 11, 12, 5, 6, 8, 7]","[856, 1661, 2431, 3169, 4596, 5962, 6772, 8168]","[1, 6, 8]","[8650, 11805, 12738]"
57,3,1.25,featureBased,full,10,7.0,[4],16.25,3,"[13, 14, 15]","[1269, 3094, 4513]","[1, 14, 15]","[6312, 11421, 12322]"
58,3,1.25,featureBased,full,11,15.0,[],23.5,10,"[13, 9, 5, 6, 1, 8, 7, 10, 11, 12]","[976, 1608, 2181, 2886, 3496, 4537, 5365, 6259, 6844, 7534]","[1, 10, 12]","[8497, 9509, 10428]"
59,3,1.25,featureBased,full,12,14.0,[],20.5,6,"[13, 1, 5, 6, 7, 8]","[703, 1506, 2372, 3446, 4325, 5134]","[1, 6, 8]","[6534, 7281, 8000]"
60,3,1.25,featureBased,full,13,11.0,[],-8.0,16,"[9, 13, 1, 5, 6, 14, 2, 15, 16, 7, 8, 10, 11, 12, 3, 4]","[1824, 2892, 4607, 5529, 6543, 7602, 8574, 9528, 10718, 11703, 12376, 13699, 14344, 14986, 16037, 16718]","[1, 14, 15]","[22241, 24451, 55743]"
61,3,1.25,featureBased,full,14,9.0,[],-8.5,10,"[5, 6, 13, 9, 1, 10, 12, 11, 7, 8]","[1046, 1792, 3099, 3876, 5225, 6463, 7160, 7978, 9252, 11743]","[1, 6, 8]","[12451, 14512, 15131]"
62,3,1.25,featureBased,full,15,5.0,[],21.75,5,"[5, 13, 9, 10, 12]","[1058, 1965, 3146, 4124, 4798]","[1, 10, 12]","[5903, 6656, 7482]"
63,3,1.25,featureBased,full,16,6.0,[],23.0,4,"[9, 10, 11, 12]","[772, 1649, 2346, 3003]","[1, 10, 12]","[4058, 4943, 5691]"
64,4,1.25,featureBased,full,1,15.0,[16],16.25,3,"[10, 2, 14]","[5417, 7225, 9037]","[1, 14, 15]","[13381, 31917, 37844]"
65,4,1.25,featureBased,full,2,7.0,[14],-2.25,5,"[14, 11, 7, 2, 3]","[2914, 4092, 4985, 6435, 8160]","[1, 6, 8]","[12560, 31298, 33698]"
66,4,1.25,featureBased,full,3,5.0,[0],23.0,4,"[8, 11, 15, 3]","[4991, 6340, 7072, 7834]","[1, 6, 8]","[9901, 11861, 13252]"
67,4,1.25,featureBased,full,4,12.0,[6],-9.0,4,"[8, 4, 16, 12]","[1469, 2293, 3070, 3803]","[1, 6, 8]","[5196, 15389, 16509]"
68,4,1.25,featureBased,full,5,14.0,[7],3.25,7,"[8, 4, 16, 12, 13, 5, 1]","[1276, 2432, 3117, 3817, 4827, 6800, 9242]","[1, 2, 3]","[10521, 22257, 23553]"
69,4,1.25,featureBased,full,6,10.0,[7],-2.25,5,"[3, 7, 11, 15, 13]","[1506, 2252, 3138, 3946, 6428]","[1, 14, 16]","[7789, 16814, 18437]"
70,4,1.25,featureBased,full,7,8.0,[7],-2.25,5,"[4, 16, 12, 8, 1]","[1597, 3099, 4076, 5349, 5902]","[1, 2, 4]","[7278, 16287, 17718]"
71,4,1.25,featureBased,full,8,0.0,[8],-6.0,8,"[11, 15, 3, 7, 4, 8, 16, 12]","[1970, 2762, 3556, 4442, 6536, 7546, 8717, 9588]","[1, 10, 12]","[12657, 25113, 27288]"
72,4,1.25,featureBased,full,9,3.0,[16],-22.0,8,"[10, 6, 2, 14, 16, 12, 7, 3]","[3636, 6184, 7294, 8088, 9622, 10944, 11700, 13470]","[1, 14, 15]","[17849, 37721, 38785]"
73,4,1.25,featureBased,full,10,2.0,[12],-14.0,8,"[7, 11, 15, 3, 4, 16, 12, 8]","[1581, 4232, 5404, 6187, 9725, 10496, 11241, 12265]","[1, 14, 15]","[14801, 29809, 30681]"
74,4,1.25,featureBased,full,11,11.0,[],-12.75,7,"[13, 15, 12, 8, 3, 11, 6]","[869, 1677, 2741, 3657, 4190, 5620, 8840]","[1, 2, 4]","[10938, 11986, 12842]"
75,4,1.25,featureBased,full,12,9.0,[],0.75,9,"[9, 13, 5, 1, 10, 6, 2, 14, 15]","[1110, 2443, 3151, 3821, 5332, 6587, 10801, 11879, 13351]","[1, 14, 15]","[18970, 19626, 20409]"
76,4,1.25,featureBased,full,13,4.0,[],15.5,10,"[14, 2, 10, 6, 12, 11, 3, 4, 8, 7]","[2074, 2828, 3640, 4524, 5678, 6434, 8768, 9306, 10216, 10931]","[1, 6, 7]","[14419, 15379, 16131]"
77,4,1.25,featureBased,full,14,1.0,[],28.5,6,"[10, 2, 14, 6, 7, 8]","[2599, 3236, 3969, 4739, 7159, 7898]","[1, 6, 8]","[9352, 10112, 10856]"
78,4,1.25,featureBased,full,15,6.0,[],0.75,9,"[14, 16, 15, 10, 6, 2, 3, 8, 7]","[1468, 3656, 4342, 5928, 6821, 7637, 10058, 10858, 11689]","[1, 6, 7]","[13433, 14433, 15273]"
79,4,1.25,featureBased,full,16,13.0,[],5.75,5,"[6, 10, 14, 2, 11]","[52170, 53597, 54306, 55031, 55941]","[1, 10, 11]","[58050, 58770, 59555]"
80,5,1.25,none,simple,1,0.0,[15],-28.0,0,[],[],"[1, 6, 8]","[2364, 20576, 24162]"
81,5,1.25,none,simple,2,15.0,[15],31.0,4,"[13, 9, 5, 1]","[3599, 5521, 7332, 8261]","[1, 10, 12]","[12894, 30238, 35175]"
82,5,1.25,none,simple,3,6.0,[15],12.0,0,[],[],"[1, 14, 16]","[8616, 36436, 39402]"
83,5,1.25,none,simple,4,11.0,[15],-4.0,0,[],[],"[1, 2, 4]","[7299, 27151, 42197]"
84,5,1.25,none,simple,5,1.0,[15],28.0,0,[],[],"[1, 6, 7]","[8320, 35495, 43859]"
85,5,1.25,none,simple,6,2.0,[15],18.75,1,[9],[5715],"[1, 10, 11]","[7928, 44568, 47173]"
86,5,1.25,none,simple,7,13.0,[15],-28.0,0,[],[],"[1, 14, 15]","[3134, 20361, 23020]"
87,5,1.25,none,simple,8,14.0,[15],12.0,0,[],[],"[1, 2, 3]","[2973, 23659, 39457]"
88,5,1.25,none,simple,9,9.0,[15],-12.0,0,[],[],"[1, 10, 11]","[81610, 124543, 127404]"
89,5,1.25,none,simple,10,4.0,[15],-3.5,6,"[9, 13, 1, 5, 14, 6]","[3966, 4749, 5539, 6156, 10336, 11326]","[1, 6, 8]","[12566, 102436, 108481]"
90,5,1.25,none,simple,11,7.0,[],15.0,4,"[9, 13, 1, 5]","[4553, 5463, 6125, 6755]","[1, 2, 4]","[8846, 9956, 13759]"
91,5,1.25,none,simple,12,3.0,[],-9.0,4,"[9, 13, 1, 5]","[1716, 2501, 3263, 3897]","[1, 10, 11]","[8770, 11850, 12980]"
92,5,1.25,none,simple,13,5.0,[],7.0,4,"[9, 13, 1, 5]","[1722, 2432, 3002, 3593]","[1, 2, 4]","[5343, 6368, 9046]"
93,5,1.25,none,simple,14,8.0,[],15.0,4,"[9, 13, 1, 5]","[2413, 3028, 4019, 5264]","[1, 10, 11]","[7694, 8880, 10178]"
94,5,1.25,none,simple,15,10.0,[],23.0,4,"[9, 13, 1, 5]","[2394, 3069, 3634, 4931]","[1, 10, 12]","[7280, 8523, 10074]"
95,5,1.25,none,simple,16,12.0,[],31.0,4,"[9, 13, 1, 5]","[2224, 2852, 3481, 4628]","[1, 10, 11]","[6080, 7131, 8731]"
96,6,1.25,featureBased,full,1,9.0,[16],-12.0,0,[],[],"[1, 10, 11]","[5980, 32286, 34304]"
97,6,1.25,featureBased,full,2,5.0,[12],25.5,2,"[5, 9]","[4477, 6556]","[1, 10, 12]","[8996, 28700, 30613]"
98,6,1.25,featureBased,full,3,13.0,[6],39.0,4,"[9, 5, 1, 2]","[2413, 3636, 4609, 6546]","[1, 2, 4]","[8431, 15625, 18463]"
99,6,1.25,featureBased,full,4,15.0,[6],28.5,6,"[13, 9, 1, 5, 6, 10]","[1902, 3348, 5184, 5935, 8100, 9089]","[1, 10, 12]","[10785, 17906, 19264]"
100,6,1.25,featureBased,full,5,10.0,[13],19.25,7,"[9, 10, 5, 13, 14, 1, 2]","[3265, 5167, 6262, 7330, 8175, 9145, 9795]","[1, 10, 12]","[11600, 25676, 27337]"
101,6,1.25,featureBased,full,6,14.0,[7],24.25,3,"[13, 5, 6]","[4867, 5980, 7450]","[1, 6, 8]","[11614, 19878, 20876]"
102,6,1.25,featureBased,full,7,11.0,[10],-17.75,11,"[5, 9, 13, 1, 3, 8, 15, 16, 7, 11, 12]","[2458, 3778, 4694, 5879, 7354, 9369, 10881, 12337, 13532, 16278, 17811]","[1, 6, 7]","[21277, 32684, 34124]"
