p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,,184439,,184439,,,instructions,"[{""page_index"":0,""viewing_time"":2100},{""page_index"":1,""viewing_time"":170059},{""page_index"":2,""viewing_time"":12279}]",0
,,,,,,,,,,,,,,,13479,,221212,,,instructions,"[{""page_index"":0,""viewing_time"":5703},{""page_index"":1,""viewing_time"":6799},{""page_index"":2,""viewing_time"":976}]",0
,,,,,,,,,,,,,,,99128,,99128,,,instructions,"[{""page_index"":0,""viewing_time"":25337},{""page_index"":1,""viewing_time"":14400},{""page_index"":2,""viewing_time"":16967},{""page_index"":3,""viewing_time"":16496},{""page_index"":2,""viewing_time"":6279},{""page_index"":1,""viewing_time"":7576},{""page_index"":0,""viewing_time"":6369},{""page_index"":1,""viewing_time"":839},{""page_index"":2,""viewing_time"":3889},{""page_index"":3,""viewing_time"":975}]",1
,,,,,,,,,,,,,,,34142,,320553,,,instructions,"[{""page_index"":0,""viewing_time"":11517},{""page_index"":1,""viewing_time"":6008},{""page_index"":2,""viewing_time"":6504},{""page_index"":3,""viewing_time"":10113}]",1
,,,,,,,,,,,,,,,111267,,111268,,,instructions,"[{""page_index"":0,""viewing_time"":68145},{""page_index"":1,""viewing_time"":15501},{""page_index"":2,""viewing_time"":16315},{""page_index"":3,""viewing_time"":11299}]",2
,,,,,,,,,,,,,,,12049,,150843,,,instructions,"[{""page_index"":0,""viewing_time"":5040},{""page_index"":1,""viewing_time"":3358},{""page_index"":2,""viewing_time"":1895},{""page_index"":3,""viewing_time"":1752}]",2
,,,,,,,,,,,,,,,73072,,73073,,,instructions,"[{""page_index"":0,""viewing_time"":41808},{""page_index"":1,""viewing_time"":13640},{""page_index"":2,""viewing_time"":12545},{""page_index"":3,""viewing_time"":5078}]",3
,,,,,,,,,,,,,,,29323,,131668,,,instructions,"[{""page_index"":0,""viewing_time"":13593},{""page_index"":1,""viewing_time"":6120},{""page_index"":2,""viewing_time"":5087},{""page_index"":3,""viewing_time"":4522}]",3
,,,,,,,,,,,,,,,104583,,104584,,,instructions,"[{""page_index"":0,""viewing_time"":30206},{""page_index"":1,""viewing_time"":19799},{""page_index"":2,""viewing_time"":35266},{""page_index"":3,""viewing_time"":19312}]",4
,,,,,,,,,,,,,,,83653,,83658,,,instructions,"[{""page_index"":0,""viewing_time"":42018},{""page_index"":1,""viewing_time"":24740},{""page_index"":2,""viewing_time"":16892}]",5
,,,,,,,,,,,,,,,32420,,145901,,,instructions,"[{""page_index"":0,""viewing_time"":8942},{""page_index"":1,""viewing_time"":11877},{""page_index"":2,""viewing_time"":11600}]",5
,,,,,,,,,,,,,,,374003,,374005,,,instructions,"[{""page_index"":0,""viewing_time"":60166},{""page_index"":1,""viewing_time"":42856},{""page_index"":2,""viewing_time"":58836},{""page_index"":3,""viewing_time"":212144}]",6
,,,,,,,,,,,,,,,208198,,208199,,,instructions,"[{""page_index"":0,""viewing_time"":90012},{""page_index"":1,""viewing_time"":101492},{""page_index"":2,""viewing_time"":16692}]",7
,,,,,,,,,,,,,,,127006,,396582,,,instructions,"[{""page_index"":0,""viewing_time"":29526},{""page_index"":1,""viewing_time"":46994},{""page_index"":2,""viewing_time"":50484}]",7
,,,,,,,,,,,,,,,145632,,145634,,,instructions,"[{""page_index"":0,""viewing_time"":45361},{""page_index"":1,""viewing_time"":44782},{""page_index"":2,""viewing_time"":31795},{""page_index"":3,""viewing_time"":23690}]",8
,,,,,,,,,,,,,,,149970,,149971,,,instructions,"[{""page_index"":0,""viewing_time"":40218},{""page_index"":1,""viewing_time"":61656},{""page_index"":2,""viewing_time"":15997},{""page_index"":3,""viewing_time"":32099}]",9
,,,,,,,,,,,,,,,23523,,220933,,,instructions,"[{""page_index"":0,""viewing_time"":6598},{""page_index"":1,""viewing_time"":2057},{""page_index"":0,""viewing_time"":6324},{""page_index"":1,""viewing_time"":4220},{""page_index"":2,""viewing_time"":2198},{""page_index"":3,""viewing_time"":2126}]",9
,,,,,,,,,,,,,,,41623,,277632,,,instructions,"[{""page_index"":0,""viewing_time"":9564},{""page_index"":1,""viewing_time"":12261},{""page_index"":2,""viewing_time"":15280},{""page_index"":3,""viewing_time"":4517}]",9
,,,,,,,,,,,,,,,36333,,337271,,,instructions,"[{""page_index"":0,""viewing_time"":20476},{""page_index"":1,""viewing_time"":12813},{""page_index"":2,""viewing_time"":2158},{""page_index"":3,""viewing_time"":886}]",9
,,,,,,,,,,,,,,,143398,,143400,,,instructions,"[{""page_index"":0,""viewing_time"":67510},{""page_index"":1,""viewing_time"":20677},{""page_index"":2,""viewing_time"":19841},{""page_index"":3,""viewing_time"":35368}]",10
,,,,,,,,,,,,,,,25604,,204342,,,instructions,"[{""page_index"":0,""viewing_time"":16835},{""page_index"":1,""viewing_time"":6176},{""page_index"":2,""viewing_time"":1640},{""page_index"":3,""viewing_time"":952}]",10
