PR_type,bonus,bonus_rate,completed,condition,delay_hours,delay_window,feedback,frequencyOfFB,info_cost,message,pid,q_weights,score,test_idx,time_limit,version
none,1.38,0.01,True,1,24,4,False,after_each_move,1.25,simple,0,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",137.5,"[6, 3, 1, 12, 4, 14]",True,2.3
featureBased,1.98,0.01,True,2,24,4,True,after_each_move,1.25,full,1,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",197.5,"[9, 14, 15, 8, 5, 10]",True,2.3
featureBased,2.14,0.01,True,2,24,4,True,after_each_move,1.25,full,2,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",214.0,"[8, 12, 7, 4, 3, 5]",True,2.3
featureBased,1.87,0.01,True,2,24,4,True,after_each_move,1.25,full,3,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",187.0,"[15, 14, 11, 9, 5, 6]",True,2.3
featureBased,0.23,0.01,True,2,24,4,True,after_each_move,1.25,full,4,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",23.25,"[11, 9, 4, 1, 6, 13]",True,2.3
none,1.08,0.01,True,1,24,4,False,after_each_move,1.25,simple,5,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",108.25,"[7, 3, 5, 8, 10, 12]",True,2.3
featureBased,1.61,0.01,True,2,24,4,True,after_each_move,1.25,full,6,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",161.25,"[1, 8, 3, 7, 4, 2]",True,2.3
none,0.8,0.01,True,1,24,4,False,after_each_move,1.25,simple,7,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",80.0,"[8, 11, 14, 10, 5, 0]",True,2.3
none,1.9,0.01,True,0,24,4,False,after_each_move,1.25,full,8,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",190.25,"[15, 7, 14, 2, 0, 9]",True,2.3
featureBased,1.0,0.01,True,3,24,4,True,after_each_move,1.25,simple,9,"[1.7807939607281613, 0.45246829707936637, 0.27572911981296844, 0.39014475114599445, 0.9905875327727384]",99.5,"[7, 12, 4, 0, 13, 9]",True,2.3
