p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,,"{""Q0"":""Starting out by revealing the inner-most routes, but changes to go toward higher final destinations. "",""Q1"":""Yes, start revealing the last stop than the first. "",""Q2"":""28"",""Q3"":""female""}",36644,,1442696,,,survey-text,,0
,,,,,,,,,,,,,,"{""Q0"":""I went for the route that had the most positive"",""Q1"":""the more i revealed the more delay i got"",""Q2"":""30"",""Q3"":""female""}",53651,,1359120,,,survey-text,,1
,,,,,,,,,,,,,,"{""Q0"":""Trying to get the most bonus"",""Q1"":""its important to get the proper amount of information"",""Q2"":""36"",""Q3"":""male""}",54963,,1203217,,,survey-text,,2
,,,,,,,,,,,,,,"{""Q0"":""Find a route that yielded positive money quickly and without too many clicks."",""Q1"":""Not really"",""Q2"":""26"",""Q3"":""Male""}",23098,,1186147,,,survey-text,,3
,,,,,,,,,,,,,,"{""Q0"":""I was trying to find the $20 spot in less than ~$10 spent, didn't go so well."",""Q1"":""nothing conclusive, but given another wack at it I think I'd improve"",""Q2"":""32"",""Q3"":""Male""}",63716,,1314553,,,survey-text,,4
,,,,,,,,,,,,,,"{""Q0"":""I just did it randomly."",""Q1"":""Yes, and that is check to see how much you'll lose. At one point, I was picking random ones which worked, but then I started losing way more money so I started to check how much i'll lose by uncovering the price."",""Q2"":""28"",""Q3"":""female""}",62605,,1798227,,,survey-text,,5
,,,,,,,,,,,,,,"{""Q0"":""tried to take the least amount of damage"",""Q1"":""its better to follow your gut, but also takes money to make money"",""Q2"":""25"",""Q3"":""male""}",39146,,1474934,,,survey-text,,6
,,,,,,,,,,,,,,"{""Q0"":""Geez, I was pretty random about things after not discovering any type of pattern"",""Q1"":""No, not really"",""Q2"":""50"",""Q3"":""male""}",59704,,1574200,,,survey-text,,7
,,,,,,,,,,,,,,"{""Q0"":""I looked at the costs of the first stop and the the second stop together, then decided which 3rd stops to look at"",""Q1"":""I learned to look at the first stop separately, then the second, then the third, as opposed to trying to combine stops"",""Q2"":""38"",""Q3"":""female""}",76439,,1631362,,,survey-text,,8
,,,,,,,,,,,,,,"{""Q0"":""Mostly guessing. Sometimes it was just doing the opposite of what I did the previous time depending on results. Other times I checked to see what direction had the best amount and went in that direction."",""Q1"":""I learned that not checking hurt the amounts more than checking. Although they weren't incredibly helpful. I did learn that usually if I checked whatever the amounts were for two of them the other two were almost always the exact opposite. For example, if the West side was +$4 and the North side was +$12 the East side was -$4 and South was -$12. "",""Q2"":""31"",""Q3"":""Female""}",186920,,1548273,,,survey-text,,9
,,,,,,,,,,,,,,"{""Q0"":""I chose to reveal the end points and went toward the one with the best bonus."",""Q1"":""No."",""Q2"":""41"",""Q3"":""Female""}",32008,,1570486,,,survey-text,,10
,,,,,,,,,,,,,,"{""Q0"":""Looking at the final destination first was helpful."",""Q1"":""Don't click on too many waypoints."",""Q2"":""33"",""Q3"":""Female""}",105543,,1550426,,,survey-text,,12
,,,,,,,,,,,,,,"{""Q0"":""I tried to find the best route at the end, the following paths were not as important"",""Q1"":""I wish, I did pretty terrible and didn't learn much until the very end."",""Q2"":""23"",""Q3"":""Male""}",248658,,2396062,,,survey-text,,13
,,,,,,,,,,,,,,"{""Q0"":""At first I looked for amounts, and then I just pretty much guessed."",""Q1"":""No."",""Q2"":""49"",""Q3"":""F""}",39139,,1211976,,,survey-text,,14
,,,,,,,,,,,,,,"{""Q0"":""I clicked the inside circles first to see the best immediate path"",""Q1"":""Yes, first i clicked the inner circles then the outer circles "",""Q2"":""35"",""Q3"":""male""}",97956,,1221727,,,survey-text,,15
,,,,,,,,,,,,,,"{""Q0"":""I unveiled the closest spots until I found a green (positive money), and then did the same."",""Q1"":""Just learned as I went how to click fewer to see what they were."",""Q2"":""31"",""Q3"":""male""}",49783,,1480903,,,survey-text,,16
,,,,,,,,,,,,,,"{""Q0"":""I opened the same ones first every time."",""Q1"":""Not really."",""Q2"":""23"",""Q3"":""Female""}",45418,,1187395,,,survey-text,,17
,,,,,,,,,,,,,,"{""Q0"":""I mostly did not plan, just guessed a path."",""Q1"":""No, the more you click to find out the amount of money at the different locations just brought the total down, so I felt it was better to just guess. "",""Q2"":""39"",""Q3"":""female""}",64762,,1192894,,,survey-text,,18
,,,,,,,,,,,,,,"{""Q0"":""I wanted to limit the fees from exposing the values while attempting to find the positive routes. Subsequently, when I found routes with positive outcomes, I pursued them."",""Q1"":""One thing I learned was that given an option between one of two final destinations, one was always positive, while the other negative. This certainly played into my choices."",""Q2"":""31"",""Q3"":""Male""}",262711,,1731131,,,survey-text,,19
,,,,,,,,,,,,,,"{""Q0"":""I just took different chances."",""Q1"":""No because I tried the same route and the amounts were always different."",""Q2"":""54\n"",""Q3"":""female""}",47544,,1672851,,,survey-text,,20
,,,,,,,,,,,,,,"{""Q0"":""truly went with my guy"",""Q1"":"""",""Q2"":""25 "",""Q3"":""male""}",11130,,1892956,,,survey-text,,21
,,,,,,,,,,,,,,"{""Q0"":""by the dollar amount"",""Q1"":""yes, to click as few circles as possible"",""Q2"":""30"",""Q3"":""female""}",55239,,1302145,,,survey-text,,22
,,,,,,,,,,,,,,"{""Q0"":""Random"",""Q1"":""Not really"",""Q2"":""29"",""Q3"":""Male""}",14715,,1585963,,,survey-text,,23
,,,,,,,,,,,,,,"{""Q0"":""I wanted to see initially what the cost vs. what the benefits were...though I didn't want to incur too many costs. "",""Q1"":""Not necessarily."",""Q2"":""44"",""Q3"":""Female""}",47279,,1156006,,,survey-text,,24
,,,,,,,,,,,,,,"{""Q0"":""I just clicked on the 4 closest dots until I came across a positive one then I went down that path."",""Q1"":""Nope"",""Q2"":""27"",""Q3"":""Male""}",42835,,1292820,,,survey-text,,25
,,,,,,,,,,,,,,"{""Q0"":""I looked at routes that would charge me the least amounts to travel"",""Q1"":""Yes I learned to optimize the best route based on the cost of the trip"",""Q2"":""27"",""Q3"":""male""}",60540,,2300720,,,survey-text,,26
,,,,,,,,,,,,,,"{""Q0"":""i pickede randomly what route I wanted to.  I didnt want to pay $1.25 to see the best route"",""Q1"":""I trust my instincts"",""Q2"":""39"",""Q3"":""female""}",41213,,1370970,,,survey-text,,27
,,,,,,,,,,,,,,"{""Q0"":""I checked the first stops and tried to find the best one there. Then I would check the final destinations. I never checked the middle stop because I needed to go down it anyways. "",""Q1"":""I think my strategy was pretty sound. I think in the beginning I chose too quickly and it ended up hurting me. It was better to spend the 1.25 per preview than to guess."",""Q2"":""25"",""Q3"":""Male""}",85804,,1194306,,,survey-text,,28
,,,,,,,,,,,,,,"{""Q0"":""Once I discover a route with relatively high payoff, I go for it without revealing other locations"",""Q1"":""Knowing the probability distribution of values at each location would be helpful. In this case, I could do a better tradeoff between taking the best available option now and paying to get more info"",""Q2"":""30"",""Q3"":""Male""}",181956,,1478413,,,survey-text,,29
,,,,,,,,,,,,,,"{""Q0"":""I would reveal a few spots in a couple of directions and then just go."",""Q1"":""Not particularly, the patterns were pretty random so I couldn't plan too much without starting out with a huge deficit in money"",""Q2"":""19"",""Q3"":""Male""}",59869,,1226764,,,survey-text,,30
,,,,,,,,,,,,,,"{""Q0"":""by starting to check the circles closest, and following the most profitable path"",""Q1"":""not to click too many circles, to be satisfied with a positive score of five or more dollars"",""Q2"":""64"",""Q3"":""male""}",79903,,1235444,,,survey-text,,31
,,,,,,,,,,,,,,"{""Q0"":""I picked the top corners to see which one paid the most"",""Q1"":""I learned that method pretty quickly"",""Q2"":""32"",""Q3"":""male""}",40951,,1211905,,,survey-text,,32
,,,,,,,,,,,,,,"{""Q0"":""I first looked at the middle node for positive numbers then from the biggest to the smallest middle node i moved one until I found a highly favorable condition"",""Q1"":""At the beginning I only looked at the end points which was not yielding favorable results"",""Q2"":""26"",""Q3"":""male""}",67562,,1299750,,,survey-text,,35
,,,,,,,,,,,,,,"{""Q0"":""I couldn't figure out the best way. Seemed I was penalized and lost money regardless of what I did."",""Q1"":""Nope."",""Q2"":""35"",""Q3"":""female""}",17975,,1225502,,,survey-text,,36
,,,,,,,,,,,,,,"{""Q0"":""I repeated the same a few times to see what would happen."",""Q1"":""No."",""Q2"":""43"",""Q3"":""I won't dignify the dumbness of the way this question was posed with an answer.""}",112799,,1505790,,,survey-text,,37
,,,,,,,,,,,,,,"{""Q0"":""I tried different strategies over time.\nGenerally I wanted to limit the information costs, so if i found a satisfactory route quickly, I would go with it.\nI alway tried to look at the central highways first instead of the end destinations.  There was some efficiency to that."",""Q1"":""Yeah I developed techniques that seemed to guide me to choosing more efficiently instead of just randomly."",""Q2"":""29"",""Q3"":""male""}",140461,,1314288,,,survey-text,,38
,,,,,,,,,,,,,,"{""Q0"":""I checked the intersections to find the base cost of each route, then checked the branches to see which ones beat similarly priced routes."",""Q1"":""Consider the net cost, not just if a route has a big number.  $4 - $4 is the same as $20 - $20."",""Q2"":""27"",""Q3"":""Male""}",120545,,1323197,,,survey-text,,39
,,,,,,,,,,,,,,"{""Q0"":""I tried to find out if there was at least one positive dollar amount on my route."",""Q1"":""I learned that once I found a positive dollar amount it was worth it to check more values to make sure I wasn't going to go right back to negative."",""Q2"":""35"",""Q3"":""Female""}",79040,,1340900,,,survey-text,,40
,,,,,,,,,,,,,,"{""Q0"":""I started to recognize patterns with the routing. "",""Q1"":""I started to notice patterns after a little while, but I think with more time, I'd have a better sense of planning better. "",""Q2"":""28"",""Q3"":""Female""}",213566,,1577941,,,survey-text,,41
,,,,,,,,,,,,,,"{""Q0"":""I clicked to see the different amounts"",""Q1"":""Yes, by clicking to see the amount"",""Q2"":""28"",""Q3"":""Female""}",42162,,2199728,,,survey-text,,43
