p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,32.0,,,,,,,,4093,,993250,,,text,,1
,,,,,,,32.0,,,,,,,,5398,,790497,,,text,,2
,,,,,,,32.0,,,,,,,,12417,,813488,,,text,,3
,,,,,,,32.0,,,,,,,,6023,,853741,,,text,,4
,,,,,,,32.0,,,,,,,,6599,,1051779,,,text,,6
,,,,,,,32.0,,,,,,,,6598,,1036044,,,text,,9
,,,,,,,32.0,,,,,,,,1467,,1185496,,,text,,10
,,,,,,,32.0,,,,,,,,7195,,1263424,,,text,,13
,,,,,,,32.0,,,,,,,,6190,,935606,,,text,,16
,,,,,,,32.0,,,,,,,,10425,,812634,,,text,,18
,,,,,,,32.0,,,,,,,,2507,,1144333,,,text,,19
,,,,,,,32.0,,,,,,,,2160,,1491252,,,text,,21
,,,,,,,32.0,,,,,,,,2068,,1008345,,,text,,23
,,,,,,,32.0,,,,,,,,6493,,1443165,,,text,,26
,,,,,,,32.0,,,,,,,,4454,,872340,,,text,,27
,,,,,,,32.0,,,,,,,,5295,,789061,,,text,,28
,,,,,,,32.0,,,,,,,,7542,,979611,,,text,,29
,,,,,,,32.0,,,,,,,,4013,,803573,,,text,,30
,,,,,,,32.0,,,,,,,,4180,,858877,,,text,,32
,,,,,,,32.0,,,,,,,,3090,,889941,,,text,,36
,,,,,,,32.0,,,,,,,,11275,,852637,,,text,,38
,,,,,,,32.0,,,,,,,,4913,,924190,,,text,,40
,,,,,,,32.0,,,,,,,,5541,,824569,,,text,,44
,,,,,,,32.0,,,,,,,,9428,,713536,,,text,,46
,,,,,,,32.0,,,,,,,,7124,,1275586,,,text,,48
,,,,,,,32.0,,,,,,,,9347,,803830,,,text,,52
,,,,,,,32.0,,,,,,,,8149,,1293549,,,text,,55
,,,,,,,32.0,,,,,,,,7782,,1126225,,,text,,57
,,,,,,,32.0,,,,,,,,7640,,780689,,,text,,60
,,,,,,,32.0,,,,,,,,3426,,1321426,,,text,,62
,,,,,,,32.0,,,,,,,,3543,,823269,,,text,,63
,,,,,,,32.0,,,,,,,,15273,,1194496,,,text,,66
,,,,,,,32.0,,,,,,,,4299,,947172,,,text,,67
,,,,,,,32.0,,,,,,,,8594,,936552,,,text,,69
,,,,,,,32.0,,,,,,,,6871,,1054740,,,text,,70
,,,,,,,32.0,,,,,,,,3509,,1247610,,,text,,74
,,,,,,,32.0,,,,,,,,7845,,822793,,,text,,75
,,,,,,,32.0,,,,,,,,5776,,940218,,,text,,76
,,,,,,,32.0,,,,,,,,6208,,1026720,,,text,,77
,,,,,,,32.0,,,,,,,,8772,,1394092,,,text,,78
,,,,,,,32.0,,,,,,,,6354,,934569,,,text,,79
,,,,,,,32.0,,,,,,,,8932,,939381,,,text,,81
,,,,,,,32.0,,,,,,,,9133,,1262838,,,text,,82
,,,,,,,32.0,,,,,,,,2887,,1029670,,,text,,85
,,,,,,,32.0,,,,,,,,4911,,894032,,,text,,86
,,,,,,,32.0,,,,,,,,4122,,915402,,,text,,89
,,,,,,,32.0,,,,,,,,10588,,1902411,,,text,,91
,,,,,,,32.0,,,,,,,,5886,,836115,,,text,,92
,,,,,,,32.0,,,,,,,,5636,,776158,,,text,,95
,,,,,,,32.0,,,,,,,,3828,,1611335,,,text,,97
,,,,,,,32.0,,,,,,,,3526,,1158703,,,text,,98
,,,,,,,32.0,,,,,,,,11426,,713586,,,text,,102
,,,,,,,32.0,,,,,,,,6316,,1086348,,,text,,104
,,,,,,,32.0,,,,,,,,4705,,866756,,,text,,105
,,,,,,,32.0,,,,,,,,12460,,770927,,,text,,106
,,,,,,,32.0,,,,,,,,4857,,757392,,,text,,107
,,,,,,,32.0,,,,,,,,7991,,741221,,,text,,108
,,,,,,,32.0,,,,,,,,6081,,876385,,,text,,110
,,,,,,,32.0,,,,,,,,6498,,960185,,,text,,112
,,,,,,,32.0,,,,,,,,4342,,792793,,,text,,114
,,,,,,,32.0,,,,,,,,5325,,898970,,,text,,115
,,,,,,,32.0,,,,,,,,36302,,918295,,,text,,118
,,,,,,,32.0,,,,,,,,3108,,940101,,,text,,120
,,,,,,,32.0,,,,,,,,6390,,2004568,,,text,,121
,,,,,,,32.0,,,,,,,,4286,,765271,,,text,,124
,,,,,,,32.0,,,,,,,,8693,,819047,,,text,,126
,,,,,,,32.0,,,,,,,,71820,,1042470,,,text,,127
,,,,,,,32.0,,,,,,,,5991,,944022,,,text,,129
,,,,,,,32.0,,,,,,,,4425,,767037,,,text,,134
,,,,,,,32.0,,,,,,,,13770,,944455,,,text,,139
,,,,,,,32.0,,,,,,,,7404,,904593,,,text,,140
,,,,,,,32.0,,,,,,,,6933,,839129,,,text,,143
,,,,,,,32.0,,,,,,,,6377,,610813,,,text,,144
,,,,,,,32.0,,,,,,,,3763,,1179919,,,text,,146
,,,,,,,32.0,,,,,,,,4965,,894993,,,text,,147
,,,,,,,32.0,,,,,,,,4469,,1055169,,,text,,148
,,,,,,,32.0,,,,,,,,10115,,967469,,,text,,150
,,,,,,,32.0,,,,,,,,2216,,855569,,,text,,152
,,,,,,,32.0,,,,,,,,4948,,1279436,,,text,,154
,,,,,,,32.0,,,,,,,,6600,,1042601,,,text,,156
,,,,,,,32.0,,,,,,,,7148,,966356,,,text,,158
,,,,,,,32.0,,,,,,,,5413,,826078,,,text,,159
,,,,,,,32.0,,,,,,,,13075,,1060695,,,text,,160
,,,,,,,32.0,,,,,,,,2470,,1143666,,,text,,167
,,,,,,,32.0,,,,,,,,3800,,829694,,,text,,169
,,,,,,,32.0,,,,,,,,5429,,983965,,,text,,170
,,,,,,,32.0,,,,,,,,8817,,763776,,,text,,173
,,,,,,,32.0,,,,,,,,20606,,937849,,,text,,175
,,,,,,,32.0,,,,,,,,4502,,1183932,,,text,,180
,,,,,,,32.0,,,,,,,,4569,,893353,,,text,,186
,,,,,,,32.0,,,,,,,,5764,,923093,,,text,,192
,,,,,,,32.0,,,,,,,,10390,,2111508,,,text,,202
,,,,,,,32.0,,,,,,,,6305,,782772,,,text,,206
,,,,,,,32.0,,,,,,,,5505,,803841,,,text,,207
,,,,,,,32.0,,,,,,,,9217,,1000650,,,text,,208
,,,,,,,32.0,,,,,,,,1883,,901446,,,text,,220
,,,,,,,32.0,,,,,,,,3358,,830201,,,text,,221
,,,,,,,32.0,,,,,,,,7338,,770813,,,text,,222
,,,,,,,32.0,,,,,,,,9377,,843335,,,text,,223
,,,,,,,32.0,,,,,,,,5451,,1019309,,,text,,225
,,,,,,,32.0,,,,,,,,25957,,1148305,,,text,,226
,,,,,,,32.0,,,,,,,,12227,,828724,,,text,,227
,,,,,,,32.0,,,,,,,,18280,,890419,,,text,,228
,,,,,,,32.0,,,,,,,,9888,,935967,,,text,,234
,,,,,,,32.0,,,,,,,,5719,,913187,,,text,,235
,,,,,,,32.0,,,,,,,,7707,,840946,,,text,,236
,,,,,,,32.0,,,,,,,,9470,,893104,,,text,,237
,,,,,,,32.0,,,,,,,,5451,,1012776,,,text,,238
,,,,,,,32.0,,,,,,,,8580,,1087278,,,text,,245
,,,,,,,32.0,,,,,,,,12050,,1843967,,,text,,246
,,,,,,,32.0,,,,,,,,4444,,871915,,,text,,247
,,,,,,,32.0,,,,,,,,9092,,1159431,,,text,,248
,,,,,,,32.0,,,,,,,,12736,,1061155,,,text,,250
,,,,,,,32.0,,,,,,,,4471,,1060387,,,text,,253
,,,,,,,32.0,,,,,,,,3177,,761820,,,text,,255
,,,,,,,32.0,,,,,,,,9070,,1001004,,,text,,259
,,,,,,,32.0,,,,,,,,7042,,747126,,,text,,260
,,,,,,,32.0,,,,,,,,3633,,808658,,,text,,261
,,,,,,,32.0,,,,,,,,9571,,888301,,,text,,262
,,,,,,,32.0,,,,,,,,4559,,888633,,,text,,265
,,,,,,,32.0,,,,,,,,5021,,903839,,,text,,271
,,,,,,,32.0,,,,,,,,6805,,834057,,,text,,274
,,,,,,,32.0,,,,,,,,9842,,2620445,,,text,,278
