pid,assignment_id,worker_id
0,3KXIR214I4GYPGEQ9U9748LCVIC24E,A1132UNR0JW5TH
1,3N4BPTXIO8SSNUCVD66TH850BVUKUD,A12BJKRR6X8RMR
2,3I02618YA06TYL9BQYB1DPRZ55WPUF,A12S4E3AJF8JSK
3,3Q5C1WP23M19WE0U4VS34HHL38W518,A12ZY1L9NF1RBW
4,3Z4GS9HPNVA2U4TFH4O93BMUX0R77M,A1365MQ15M7IIU
5,37Z929RLG98BB0AEIAPL3YA89BWTS8,A148E0MMDWK270
6,3NAPMVF0ZWFV83W9BS7E7K5MMK5271,A1518CYJ8XQYIJ
7,3KWTYT08703MML4YX5AMOWQZ1E2L5V,A1601UNFFAAQOI
8,3WETL7AQWT856HE9RZ6MSAWI1S853Y,A16ROI6LUUR8D6
9,3ZWFC4W1UU7PRGS081KRWKQBW03FRW,A17F1RMJ3M07EY
10,373ERPL3YO8ZALA13LPGDO5CN99TRG,A18WY66LP06VT0
11,3VELCLL3GKJ1YBTJA75CQT8YS2IF19,A191V7PT3DQKDP
12,3COPXFW7XBCFVP4ZWK7Z72I13E0PKK,A193UABHF95PS3
13,3HPZF4IVNMTRL5KCVUMKWAY52APCYJ,A1995SUSUX0VQ8
14,3X73LLYYQ1EOQEREAKRAQLXEBIPHN6,A19GFLTQYX2RF0
15,3H7XDTSHKCR0DC5HIF0F14Y4PUHWGE,A1A0ERQ81JGNKT
16,3TEM0PF1Q5X4T2U5NI6MOOM3BXP0D9,A1B9QEQ7EHYA9C
17,35LDD5557A49AM7M44F7QYO6Y9NMKJ,A1BKYMEF2K879Y
18,3018Q3ZVOIQUVPBSXLYZIJFKZKTRAY,A1CGGZRO2JUQUG
19,39LNWE0K4UW1HZM7D3LH4SQNJR1UI8,A1COQN0KWD4WDH
20,3EO896NRAWVICXROVGG7BXJLDSJJTI,A1CRD463RZUEXE
21,3J88R45B2GYLFP36V3MOXWQ3ZNBXPD,A1DBCHREMYNOVT
22,3I0BTBYZAXL7RDPWJET019W4TLT0YF,A1DOKYGCXQG3FE
23,3X4JMASXCM9BE5WL9MFGTYY38C9B09,A1DS5O8MSI3ZH0
24,3MRNMEIQW56HQYJRCBS5M8EREV1LD4,A1ETJBNTO9ZWZ8
25,3U8YCDAGXPGYIBYAS4C6ONT2UCA0QA,A1FSPD1LIOXCN1
26,39GAF6DQWR0QU8F9AMAG8FBKGWX1VA,A1GLPHR2XTGMSU
27,3F6KKYWMNB17EYMCOO8KZ0IGJQ0ND7,A1HK063KPS2M3W
28,3N1FSUEFL50LSQC66JTO0RCGS964DU,A1IEFZ8RTKERMP
29,3CFVK00FWLLI5P4C2OKRG24ZX996LS,A1J0GU26323WVA
30,30X31N5D63Q6W4B5CAY48TKGLMASAL,A1KJRCRM3XWSI2
31,32Z9ZLUT1LK68ZRQBZRN5AXJ1SVHOM,A1LNGN131ARHZQ
32,3Y4W8Q93LZKKM3VLQFUB9HCT5TXVDR,A1M82YWDR8IVSA
33,33NF62TLXJ2J9E11172FA6WPUFPKJA,A1N1F009NU2GF7
34,3VHP9MDGRNKLLE3HQ4UW7PRPWZZCFM,A1PBRKFHSF1OF8
35,39OWYR0EPKRYOH4MMWCL4GJ8ZNGFYW,A1PZ1YZAQEXRSQ
36,3UN61F00HWPXPJZB2P7IA8ZY76UR5U,A1Q0QCHCD2YOIR
37,3LOZAJ85YDDPNI20T5BC1JIAODI2XU,A1UK8S8R5QYL6D
38,3AMYWKA6YBMQBA79FG0J8J8TSEG6OB,A1UTT7EVKOIR6U
39,3X31TUMD7XMNY33FWI8AL6DIPYUL1A,A1V5DPNTC9JZZ0
40,3MRNMEIQW56HQYJRCBS5M8EREVXDLS,A1VCIMAAY6GUD3
41,3TVSS0C0E104IHRN2FZM0NDTFOSTWN,A1WUC82IN5GX1D
42,3IQ1VMJRYTKORPF634YDRYFQTYJA9Q,A1YBS8FSUNNPHU
43,3F0BG9B9MPNL9OPG4DE9GO6R1ZX7YK,A1Z0TPX5V41FBD
44,37UQDCYH6XV45UUBZ2RP9P2XJIWV70,A20ASMCESA51U4
45,3UN61F00HWPXPJZB2P7IA8ZY76Q5R4,A21X1J4AYT8B9N
46,36W0OB37HWEI735XD824L84NLWXZH5,A22ON3MIIG0IJA
47,3X31TUMD7XMNY33FWI8AL6DIPYY1LU,A24HG5ETSQ39EO
48,3IAS3U3I0FGIAFZZO9JUCMRI5AYB2Y,A24I5N406D8R22
49,3RRCEFRB7MCSDTEMSN2I51OGPOPB4P,A24Q3ZTP8ZNHP6
50,3IXQG4FA2TYTAZKY9IY9M9ZWBG69BM,A25TSW9TVAIOQL
51,3HL8HNGX451JNGWEEKK55ZQHQEY9F4,A276TOSEU7TQ8Y
52,3LOZAJ85YDDPNI20T5BC1JIAODL2XX,A277U3NSBWRQ2G
53,382M9COHEHFP1UKLHKVQJDSVRYUUEZ,A27CB6JIC5MZFR
54,3QY5DC2MXRKH78KHCVFW1VDV3Z5UFD,A27GL2P3W3DCWV
55,31UV0MXWNQCKWKWSC2D9WGY7KA45IX,A27IABVBUZ9X8Z
56,3VW6495TLJ04O8LHRM49T1QO5YBYYH,A29INQ22VVM4HB
57,3A7Y0R2P2OOPTE080QH4004RQO6XJE,A2A9EWTHDTEX1R
58,3VHP9MDGRNKLLE3HQ4UW7PRPWZ3FCT,A2ABFXJB7DKIBQ
59,3AMYWKA6YBMQBA79FG0J8J8TSEGO6T,A2AMYI18XRB2WF
60,3YGXWBAF70HBNY6S6NYDGLUY79Q4CQ,A2ATR9CQ8B67P3
61,3180JW2OT4CGRVGYUKY98HD7XPT5J9,A2B0FLA55RH047
62,3PWWM24LHSYZ8H1SLXZKLK1HX4I28V,A2DEEWJUCRYDXQ
63,3X08E93BHVI0M415FKEPRJM27EL66L,A2F21IVRBXA337
64,3TU5ZICBRD1G003DN8PLH2ZKDAMQ8N,A2GKTUMQOKZXMG
65,3Q8GYXHFEP2TJHASKSHNLD0C75K5CV,A2ILUP6FN8HKKC
66,3180JW2OT4CGRVGYUKY98HD7XPY5JE,A2KFOOEQWGN0GK
67,3N8OEVH1FRQG0GDDFCMDPJUKDE9OOH,A2MMVK48R4HYTC
68,3GD6L00D3SX74LL0WU9PLJS7P3LM1E,A2NNGSD0WDSZ0N
69,3MYYFCXHJ37O4AMX89UW6CFD51L4G3,A2NSUJPQTY8CLO
70,31QNSG6A5RT6UIYYR9GFHBIP8KU877,A2OIGST8UL7HJP
71,37WLF8U1WPQ7LJMUHO8Q12RK898K67,A2R6T58RL4A84K
72,3LUY3GC63Z0R0AXFDQIQ3XDFXU1P7F,A2RJIU7H2XGUSQ
73,3G0WWMR1UVK137QHTAE4ZZPF25MNQ9,A2T2QJUG7IGXXF
74,3NQL1CS15R8NKEQCMBHPM2MUNH7VY3,A2TC08CPQM8E7U
75,3OUYGIZWR7YDIZXVSRXHOI3SPGO0PJ,A2TJGFPBFEIXMJ
76,3FFJ6VRIL1OL1DARFW7XFL2G32T0I7,A2WLGVXAVT2XTR
