pid,assignment_id,worker_id
0,3NVC2EB65QZ385OT21BJ37UBWVWY3N,A09265903LS1OKAES4KAC
1,34HJIJKLP5W7M7CSX4TI6DINSESV4Y,A09350121GO48AWFR15PV
2,3VE8AYVF8MXJ9BD49SER53V666ZF80,A105FRIGFBE5N
3,3M0NZ3JDP1Y6RAL2C61VWB1XGLTZ57,A10M7HQOWTVFSW
4,3K5TEWLKGVB1UEB7ITVM0ES6XWRVIB,A10QPA4A4454UL
5,3KB8R4ZV1E78P976NO4JEQLJFRRBG1,A138LSJBBLOR8Q
6,3IUZPWIU1O75FY1086LUZWQXW9LKWO,A13JJHHXEFXT6W
7,3S06PH7KSR440RFNJ1AM2T5DGNDD13,A14PFRHG0A2YY9
8,3V0Z7YWSIY0XJTX5TQAUDYLP80XV23,A150WT435LOUMX
9,3VP0C6EFSGW2B7MX20L6GFJOXCN6ME,A153ONO49N24LO
10,3I02618YA06TYL9BQYB1DPRZ53DUPX,A163J5TEJBO43B
11,379J5II41OGMI4XR863PSQWCE5QELA,A165NT5C5RXGJQ
12,3G5F9DBFOPX1YJ0NCBD102RRXJCVHI,A16A0VHHKDIKR6
13,384PI804XS1AVRDNK81BJN83CYH0SH,A16OH8XXYY0AAS
14,39GAF6DQWR0QU8F9AMAG8FBKGUHV1K,A16SNVT88M7LW2
15,34S9DKFK73PAC9H3KKVYCLSH1CQNYV,A170D2YBJA3J5S
16,39O5D9O87TSQ52NO69TU6G2ST7F3CL,A17CM9QPETQYGH
17,3VSOLARPKB9O74GLUPJ34Q1KNMC394,A18M0ZEH8A6LBQ
18,3PB5A5BD0V6LNX4GA7S39OZNW1UG7E,A18QPP2LO27S53
19,39RP059MEHT8HJ3SYR2ERV5GBEKBMS,A18SI5095GGGWT
20,33M4IA01QG16R2JL8VQD2RQI03QXRS,A19WKZ0CQDKTJ0
21,3W8CV64QJ2Z31CNK9A858K2U6S39HS,A1AIHLAEJ8FU4J
22,3OONKJ5DKCJWHMO4B7HRJZUL6ELBOT,A1C4FCGHKOGJM6
23,3JNQLM5FT4MUNOLBFM8OQPNNH2TL28,A1C7JU0JCT5SR7
24,3P4RDNWND56S3JBD14H3XQHC29LJIF,A1CM612SSQU5L
25,3WRFBPLXRAO9W6KFVZ28MRW4SBT3N3,A1DJD0J0BTE1X8
26,3QY7M81QH7MQPJ0Z0YDI7GRG3IB7K8,A1F68NKD3LKHQU
27,3GFK2QRXX9H2XFGX1JHOX77FZJR5WP,A1GOFX0UOEG283
28,3SUWZRL0MYD4ZJUKL2XN37EFOAU6EN,A1GZR4AW2MNUWC
29,33CID57104TJ86HUJMMT9ZSFNGTL3J,A1HK32MD7F0B7F
30,35H6S234SA04301RA14KZD82BHV65M,A1HUWK2J3GF1OY
31,3IHR8NYAM71UHNFWBSKJ0LT56QWP4C,A1I6LWJWGKXOUU
32,3IXQG4FA2TYTAZKY9IY9M9ZWBEP9B1,A1IDAOL2MZ3L3L
33,36WLNQG78ZAA5VBFHTEVEN072B6EBH,A1JVZ2MVPSFZA
34,39O5D9O87TSQ52NO69TU6G2ST7G3CM,A1KN3TP3P2NJHC
35,3N2BF7Y2VQUI8W6EYJCAD68E6Q1HMO,A1KS8IFVQ52JK6
36,3VELCLL3GKJ1YBTJA75CQT8YS0TF1G,A1L1SQ488YCCFJ
37,3X1FV8S5JXRNYN5CS5VJF2FQIJ0GV5,A1L3G1F48LOD5F
38,34BBWHLWHABE93BC830IMGBK45VIWA,A1MJFW27HXR76D
39,3W92K5RLWUHPIQGSB9CSB5O1SAM5VC,A1N1WY7UCRBQQ9
40,39OWYR0EPKRYOH4MMWCL4GJ8ZL6YF1,A1N5JM0X5SONDD
41,3ITXP059PWJHXXE96GBH1SNZB7TSJM,A1NTP3F91PC3BG
42,3OS4RQUCR9F2B9BBC4Y1W5L7ECKFBZ,A1NYFTOY47Z7F4
43,3IOEN3P9S7J5FI089E28WNVLZ1Q614,A1OSRAPSRT934Z
44,3N1FSUEFL50LSQC66JTO0RCGS7ND4G,A1P0S57VGQ0UZE
45,39O5D9O87TSQ52NO69TU6G2ST7F3CL,A1P65XJVS45T0H
46,379J5II41OGMI4XR863PSQWCE5QLEH,A1P6LFEAY9MWAY
47,36AHBNMV1RC1QXQQVQHVGGGNN8PYDP,A1PAY3X73PQ16S
48,3T111IHZ5EQGQ61N5FKZMO40T0ZR93,A1PNQWE4UAI1P2
49,3F0BG9B9MPNL9OPG4DE9GO6R1XK7Y3,A1PTBCPAYANOYE
50,3YHH42UU5BFNREIX0Z4A71U8K4B0L5,A1Q0N5H1DXMK0V
51,336KAV9KYQSENNSAY1XEKXPJQHZY2F,A1QLYBRMIULAYC
52,3H8DHMCCW9B66S19RBG4781CPTDDK6,A1QNZIHBBYK1OE
53,3OLF68YTN91XSZ6J6QY51U11WU0FA5,A1QRJL0704Y3EA
54,3PXX5PX6LXY7FIU31OC9I4AGHXGABS,A1RI8QYD2X616H
55,3Z4AIRP3C6DIYXK4A1BYW085W5QX1Q,A1RQG31FZ6CGUA
