pid	label	verbal report
0	0	look few circle educational guesses
1	0	try show just enough location priz see lose/win lot money
2	1	try different method seem work
3	0	try nearest location first near location heavy negative think worth risk spend more reveal other locations found profitable location look location second location profitable invest +acq-2 find end locations
4	0	try follow path most positive amounts found path most positive least negatives stop click start move
5	0	plan first few round try find destination biggest payout least deduction route
6	0	just pick random spot
7	1	totally random
8	1	option try reveal many spending take route most
9	0	found profitable route take
10	1	just pick direction
11	0	try find best route thta pay most
12	0	just kinda pick
13	0	start check endpoint work backwards when found favorable end
14	1	try guess where money
15	1	try different route everytime
16	0	planning just kind take chances
17	0	first price destinations try choose most beneficial route
18	0	randomly pick route
19	0	start first decision more check third decision second choice same check second sometimes third decide
20	1	random
21	0	just click middle icon first feel path good
22	0	random
23	0	just click highest pay
24	1	plan frankly impossible plan sense accuracy real hope gain bonus pretty try realize
25	0	try spend money find pay route right beginning
27	1	try guess best
28	0	plan first fly randomly spend money realize better spend figure path
29	1	try different strategies focus destination focus through ways
31	0	pick circle closest plane first positive number check follow circle see positive amount money
32	0	try see first stop cause big penalty first stop try path
34	0	open many feel need order find good path stop when found pay
35	0	path bad onethen decide try again figure path repeat
36	0	check value end point see bring more money look circle
37	0	try avoid move space losses
38	0	just try most money
40	0	really understand plan route just try try different route
41	1	
42	0	try peek second spot over try stick route highest value
43	0	try know
44	0	learn determine first spot later
45	0	really decide pay money prevent lose almost like buying insurance
46	0	look large number head
47	1	randomly
48	0	just try different route time airplane
49	0	start route closest positive check further
51	0	uncover value cost +acq-4 choose route highest payment more
52	1	sense hunch
53	0	try find path lose instead look more
54	0	check first circle route just best payout figure check all circle prove think bet start stroingly possible hope best
55	1	poorly
56	1	just kind pick real plan
57	0	click see value circle choose highest value choose randomly
58	0	begin determine penalty learn hidden value low mind select
59	1	just same
61	1	try influence previous reward deduction
62	0	first leg less
63	0	check final destination first look green work backward calculate found good quickly otherwise keep click found
64	0	just try find most profitable route
65	1	check first stop find positive dollar amount click last stop route find positive amount try click more times
66	1	try plan work
67	0	mostly just choose randomly awhile duplicate pattern twice row mostly try rotate options
69	0	randomly pick route time
70	1	good luck north direction
71	0	try find best pay bubble directly connect departure spot select next bubble best pay bubble proceed best pay combine branch
72	0	try look profit amount plan
73	0	check value destination point intermediate point determine best outcome
74	1	good way
75	0	first check see profitable route immediately surround start position route explore
76	0	first random highest value
77	1	
78	0	random choice
80	0	first think click anywhere saw penalty decide click end route clockwise fashion
82	0	route work good payouts
83	0	guess
84	1	first pick several random circle look values end cost more try pick route look +ac0alq- fail try look first steps didn+ads-t work
85	1	check far circle sector found positive value
86	0	start look possibilities realize difficult retrieve losses
87	1	figure only afford lose hint round
88	0	specific routejust move
89	1	take route time positive result past
90	0	check intersection route first check side connect positive
92	0	higher number
93	0	just gut
94	0	first profitable route found take
95	1	try reveal least route first negative avoid branch
96	0	chance
97	0	found value possible end eventually found value route highest end point
98	0	try most money least lose start work way
99	0	gut
100	1	pretty random+ads- spend +acq-4 look seem help
101	0	choose show few spot search positive number instead negative found good route way look more profitable
102	1	freaking clue waste money
103	1	beginning view first stop look highest paid next stop avoid lose money work inconsistent end try random path seem work
104	1	trial error
105	0	try expose route highest payout progress where just reveal first leg take gamble
