subject	label	comments	
S600877	0	I chose routes that looked to be shortest.	
S795207	1	This was fun. Thanks+ACE- I tried to think about the probability that the red square would be in certain areas and went for that route. Sometimes I was wrong  and sometimes I was right.	
S826168	0	I based them off how many the average steps it would take to get to the red door.	
S161939	0	gut reactions	
S191334	0	Intuition	
S224593	1	One of the most interesting studies I have ever taken on mturk. Excellent game. I mostly used intuition and some logic here and there.	
S248332	1	I tried to gauge the path  to guess which way the door might be. I am not sure that this was such a great method  as it seemed to take me too many steps to get there.	
S266392	1	I just went where I wanted to go.	
S29058	0	This is so much fun. I was thinking that I would love to find this as a stand alone game somewhere on the Internet. It is a little bit mindless which makes it nice. Thanks+ACE- At first  it was just random. Then  I SEEM to notice that if I go either left or up  that the red square is in a direction that is against my initial wish to move in another direction. ummm...does this make sense? I had just begun to test my theory and it was working a bit.	
S294201	0	I went with my gut.	
S304108	1	It was a fun task. Unique from most mturk ones+ACE- I went with my gut feeling and hoped for the best.	
S336295	1	Just guessing.	
S34222	1	great game i tried to make a rational choice but it always seemed random	
S359778	0	I went with my gut.	
S37550	1	Fun+ACE- It's random. It's a guessing game. Sometimes I go far  sometimes I go near. It's luck. There are routes that can reveal the most squares faster though and I try to take those.	
S394005	0	I just guessed.	
S490917	0	Mostly guessing and with some feeling that I should go in one direction more than the other.	
S49292	0	I just went with my gut  there was no way to know.	
S586692	0	I loved this game. I guessed which way was probably the best way to go.	
S622759	0	Randomly	
S625801	1	I just went with what felt right to me.	
S662810	0	At first i decided to check the last place i thought it would be but that seemed to be wrong almost every time. Then i tried to check the first place id think it would be and it was right more often.	
S673562	1	there is a lot of guessing here i tried to be as efficient as possible but a lot of times I had to guess	
S701323	1	I used intuition to try to pick the correct path to go  but sometimes I just logically tried to clear nearest black squares first just in case the red square was nearest to the starting location.	
S722906	0	Just guessed	
S737098	0	I have always felt my best guess was pretty good not so today. I had to take a lot of steps.I tried to make my best guess as to which way to go.	
S748157	0	was quite a bit about luck+ACE- It seemed like the red square was placed in inconvenient locations  so I tried them first.	
