attribute	regular_count	alien_count	total_counr	regular_frequency	alien_frequency
try	7	35	42	0.1666666667	0.8333333333
food	18	15	33	0.5454545455	0.4545454545
know	25	4	29	0.8620689655	0.1379310345
something	14	14	28	0.5	0.5
newly	6	20	26	0.2307692308	0.7692307692
alien	14	10	24	0.5833333333	0.4166666667
want	7	7	14	0.5	0.5
ice	6	8	14	0.4285714286	0.5714285714
cream	6	8	14	0.4285714286	0.5714285714
process	9	3	12	0.75	0.25
like	9	3	12	0.75	0.25
eat	8	4	12	0.6666666667	0.3333333333
foreigner	8	2	10	0.8	0.2
think	4	5	9	0.4444444444	0.5555555556
rather	7	0	7	1	0
prefer	6	1	7	0.8571428571	0.1428571429
opportunity	0	6	6	0	1
stay	5	0	5	1	0
sound	0	5	5	0	1
say	3	2	5	0.6	0.4
fun	0	5	5	0	1
anything	1	4	5	0.2	0.8
already	4	1	5	0.8	0.2
unknown	4	0	4	1	0
require	3	1	4	0.75	0.25
really	1	3	4	0.25	0.75
pleasurable	2	2	4	0.5	0.5
only	3	1	4	0.75	0.25
more	2	2	4	0.5	0.5
idea	4	0	4	1	0
familiar	4	0	4	1	0
experience	1	3	4	0.25	0.75
different	1	3	4	0.25	0.75
conclusion	1	3	4	0.25	0.75
choose	2	2	4	0.5	0.5
always	0	4	4	0	1
well	1	2	3	0.3333333333	0.6666666667
weird	3	0	3	1	0
taste	0	3	3	0	1
situation	2	1	3	0.6666666667	0.3333333333
safe	2	1	3	0.6666666667	0.3333333333
frighten	2	1	3	0.6666666667	0.3333333333
first	1	2	3	0.3333333333	0.6666666667
exciting	0	3	3	0	1
decide	1	2	3	0.3333333333	0.6666666667
concern	2	1	3	0.6666666667	0.3333333333
better	1	2	3	0.3333333333	0.6666666667
wrong	2	0	2	1	0
time	0	2	2	0	1
see	0	2	2	0	1
scan	1	1	2	0.5	0.5
same	0	2	2	0	1
reason	1	1	2	0.5	0.5
put	2	0	2	1	0
poison	2	0	2	1	0
pleasure	1	1	2	0.5	0.5
mind	2	0	2	1	0
involve	2	0	2	1	0
intrigue	0	2	2	0	1
interesting	0	2	2	0	1
have	0	2	2	0	1
feel	2	0	2	1	0
faith	2	0	2	1	0
entirely	1	1	2	0.5	0.5
enjoyment	0	2	2	0	1
enjoy	0	2	2	0	1
end	2	0	2	1	0
eater	1	1	2	0.5	0.5
doubt	2	0	2	1	0
danger	2	0	2	1	0
comfortable	2	0	2	1	0
certain	2	0	2	1	0
body	2	0	2	1	0
avoid	2	0	2	1	0
assume	0	2	2	0	1
afraid	1	1	2	0.5	0.5
adventurous	2	0	2	1	0
able	1	1	2	0.5	0.5
zone	1	0	1	1	0
wouldnt	1	0	1	1	0
work	1	0	1	1	0
wont	1	0	1	1	0
willing	0	1	1	0	1
why	0	1	1	0	1
where	1	0	1	1	0
when	0	1	1	0	1
way	1	0	1	1	0
visual	1	0	1	1	0
unwanted	1	0	1	1	0
unusual	1	0	1	1	0
unsure	1	0	1	1	0
unique	0	1	1	0	1
type	0	1	1	0	1
thus	0	1	1	0	1
things	1	0	1	1	0
thinga	1	0	1	1	0
thank	1	0	1	1	0
term	1	0	1	1	0
technology	0	1	1	0	1
suggestion	0	1	1	0	1
strange	1	0	1	1	0
spirit	1	0	1	1	0
specific	1	0	1	1	0
sorry	1	0	1	1	0
sneak	0	1	1	0	1
smart	1	0	1	1	0
sir	1	0	1	1	0
similar	0	1	1	0	1
side	0	1	1	0	1
