attribute	known_count	alien_count	total_count	known_frequency	alien_frequency
know	17	1	18	0.9444444444	0.0555555556
something	8	7	15	0.5333333333	0.4666666667
process	11	3	14	0.7857142857	0.2142857143
try	1	11	12	0.0833333333	0.9166666667
newly	0	9	9	0	1
ice	6	3	9	0.6666666667	0.3333333333
alien	6	3	9	0.6666666667	0.3333333333
cream	5	3	8	0.625	0.375
want	4	3	7	0.5714285714	0.4285714286
think	4	2	6	0.6666666667	0.3333333333
stay	5	0	5	1	0
situation	3	2	5	0.6	0.4
foreigner	5	0	5	1	0
unknown	4	0	4	1	0
say	3	1	4	0.75	0.25
really	1	3	4	0.25	0.75
rather	4	0	4	1	0
prefer	4	0	4	1	0
pleasurable	2	2	4	0.5	0.5
like	3	1	4	0.75	0.25
sound	0	3	3	0	1
safe	3	0	3	1	0
only	2	1	3	0.6666666667	0.3333333333
more	2	1	3	0.6666666667	0.3333333333
idea	3	0	3	1	0
familiar	3	0	3	1	0
experience	1	2	3	0.3333333333	0.6666666667
eat	2	1	3	0.6666666667	0.3333333333
curious	0	3	3	0	1
conclusion	0	3	3	0	1
well	1	1	2	0.5	0.5
see	0	2	2	0	1
scan	1	1	2	0.5	0.5
require	2	0	2	1	0
reason	0	2	2	0	1
other	1	1	2	0.5	0.5
mind	2	0	2	1	0
long	1	1	2	0.5	0.5
intrigue	0	2	2	0	1
hope	2	0	2	1	0
fun	0	2	2	0	1
frighten	2	0	2	1	0
feel	2	0	2	1	0
faith	2	0	2	1	0
fact	1	1	2	0.5	0.5
exciting	0	2	2	0	1
even	2	0	2	1	0
entirely	1	1	2	0.5	0.5
Earth	1	1	2	0.5	0.5
choose	2	0	2	1	0
better	1	1	2	0.5	0.5
already	2	0	2	1	0
zone	1	0	1	1	0
wrong	1	0	1	1	0
work	1	0	1	1	0
wont	1	0	1	1	0
where	1	0	1	1	0
weird	1	0	1	1	0
way	1	0	1	1	0
unhealthy	1	0	1	1	0
thus	0	1	1	0	1
thinga	1	0	1	1	0
term	1	0	1	1	0
technology	0	1	1	0	1
take	0	1	1	0	1
spirit	1	0	1	1	0
sorry	1	0	1	1	0
smart	1	0	1	1	0
sir	1	0	1	1	0
side	0	1	1	0	1
sick	1	0	1	1	0
"scans"""""	1	0	1	1	0
safer	1	0	1	1	0
risky	1	0	1	1	0
rational	0	1	1	0	1
race	0	1	1	0	1
put	1	0	1	1	0
positive	0	1	1	0	1
poorly	1	0	1	1	0
poison	1	0	1	1	0
pleasure	1	0	1	1	0
person	1	0	1	1	0
participate	0	1	1	0	1
option	1	0	1	1	0
opportunity	0	1	1	0	1
nothing	1	0	1	1	0
moment	1	0	1	1	0
miscalculate	1	0	1	1	0
material	1	0	1	1	0
little	1	0	1	1	0
just	1	0	1	1	0
interested	0	1	1	0	1
increase	1	0	1	1	0
ice-cream	0	1	1	0	1
humans	1	0	1	1	0
horrible	1	0	1	1	0
have	0	1	1	0	1
handle	1	0	1	1	0
foods	1	0	1	1	0
fight	1	0	1	1	0
favor	1	0	1	1	0
far	1	0	1	1	0
extremely	0	1	1	0	1
expect	1	0	1	1	0
end	1	0	1	1	0
element	1	0	1	1	0
effect	1	0	1	1	0
drill	0	1	1	0	1
doubt	1	0	1	1	0
dislike	1	0	1	1	0
different	0	1	1	0	1
describe	0	1	1	0	1
definitely	1	0	1	1	0
decide	0	1	1	0	1
dangewrous	1	0	1	1	0
danger	1	0	1	1	0
correct	0	1	1	0	1
concept	1	0	1	1	0
comfortable	1	0	1	1	0
comfort	1	0	1	1	0
claim	0	1	1	0	1
change	0	1	1	0	1
cause	1	0	1	1	0
both	0	1	1	0	1
body	1	0	1	1	0
base	0	1	1	0	1
anything	0	1	1	0	1
anxious	1	0	1	1	0
analogy	1	0	1	1	0
always	0	1	1	0	1
aliens	1	0	1	1	0
advanced	0	1	1	0	1
able	0	1	1	0	1
