trial_id,cost,kind,optimal_clicks,optimal_return
9359,1.25,train,8,13.999999999999996
9876,1.25,train,8,10.0
7003,1.25,train,8,-2.0
5157,1.25,train,8,10.0
8818,1.25,train,8,10.0
6615,1.25,train,8,10.0
8969,1.25,train,8,10.0
6264,1.25,train,8,10.0
7618,1.25,train,8,10.0
7410,1.25,train,8,10.0
6426,1.25,test,4,15.0
5033,1.25,test,8,10.0
5638,1.25,test,10,-0.5
6060,1.25,test,4,15.0
7370,1.25,test,10,-8.5
6337,1.25,test,3,28.25
12675,4.0,train,2,-4.0
12579,4.0,train,1,0.0
14785,4.0,train,2,-7.999999999999999
12086,4.0,train,2,-7.999999999999999
12291,4.0,train,1,0.0
13397,4.0,train,1,8.0
10323,4.0,train,1,0.0
14313,4.0,train,1,8.0
12615,4.0,train,2,4.0
13051,4.0,train,1,0.0
11337,4.0,test,1,8.0
12022,4.0,test,2,-7.999999999999999
12997,4.0,test,2,-4.0
12186,4.0,test,2,4.0
13777,4.0,test,2,-4.0
10339,4.0,test,1,8.0
1996,0.1,train,12,18.8
163,0.1,train,12,18.8
2306,0.1,train,12,18.8
4684,0.1,train,13,18.7
1269,0.1,train,13,18.7
3335,0.1,train,13,18.7
54,0.1,train,11,18.9
2700,0.1,train,11,18.9
4860,0.1,train,11,18.9
3376,0.1,train,13,18.7
3845,0.1,test,10,35.0
1313,0.1,test,10,19.0
4439,0.1,test,11,2.9000000000000004
1597,0.1,test,3,43.7
3324,0.1,test,10,35.0
2319,0.1,test,8,27.2
