p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
"[{u'Q': 20, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 20, u'9': 4, u'13': -28, u'5': 20}, u'state': [0, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[11219, 28273, 34591]","[u'0', u'0', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],"[1, u'__TERM_ACTION__']","[0, 1, 2, 4]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [1], u'time': [2869]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[11219, 1535, 5801]",10.75,205438,1.0,8969.0,mouselab-mdp,,0
"[{u'Q': 20, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -4, u'9': 20, u'13': 4, u'5': 12}, u'state': [0, 4, u'__', u'__', u'__', 4, u'__', u'__', u'__', 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[13147, 32672, 35775]","[u'2', u'2', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 4, u'__', u'__', u'__', 20, u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],"[5, 9, 1, u'__TERM_ACTION__']","[0, 9, 10, 12]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [5, 9, 1], u'time': [1998, 4708, 11014]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[13146, 4008, 2584]",0.25,285588,2.0,9359.0,mouselab-mdp,,0
"[{u'Q': 20, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -20, u'9': 20, u'13': 20, u'5': 12}, u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', 4, -12, u'__', u'__', -4, 4], u'V': 20}]","[14037, 37723, 38677]","[u'2', u'2', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', -12, u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', 4, -12, u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', 4, -12, u'__', u'__', -4, u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', 4, -12, u'__', u'__', -4, 4]]",,[15],[True],"[9, 12, 11, 15, 16, u'__TERM_ACTION__']","[0, 9, 10, 11]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 12, 11, 15, 16], u'time': [1647, 2669, 3494, 9504, 12246]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[14037, 8168, 441]",13.75,352204,3.0,9876.0,mouselab-mdp,,0
"[{u'Q': 4, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -20, u'9': 12, u'13': 4, u'5': 20}, u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', -4, u'__', 4, 4], u'V': 20}]","[10560, 26729, 28393]","[u'3', u'3', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', u'__', u'__', 4, 4], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', u'__', -4, u'__', 4, 4]]",,[15],[False],"[8, 16, 15, 13, u'__TERM_ACTION__']","[0, 13, 14, 15]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [8, 16, 15, 13], u'time': [1763, 6739, 7771, 8444]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[10560, 645, 1160]",-1.0,419608,4.0,6615.0,mouselab-mdp,,0
"[{u'Q': 20, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -12, u'9': 20, u'13': -4, u'5': 20}, u'state': [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[3405, 23072, 66331]","[u'1', u'1', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],[u'__TERM_ACTION__'],"[0, 5, 6, 8]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[3405, 4159, 42755]",20.0,489768,5.0,5157.0,mouselab-mdp,,0
"[{u'Q': 20, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 4, u'9': -4, u'13': 20, u'5': 20}, u'state': [0, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[8692, 25672, 27321]","[u'1', u'1', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, -4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],"[9, 1, 5, u'__TERM_ACTION__']","[0, 5, 6, 7]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 1, 5], u'time': [5647, 6733, 7580]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[8691, 1468, 1129]",16.25,556214,6.0,7410.0,mouselab-mdp,,0
"[{u'Q': 12, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 4, u'9': 20, u'13': 12, u'5': -12}, u'state': [0, 4, u'__', -4, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[5194, 21946, 22928]","[u'3', u'3', u'0']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', -4, -4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],"[1, 3, 4, u'__TERM_ACTION__']","[0, 13, 14, 15]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [1, 3, 4], u'time': [1547, 2215, 2997]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[5194, 1242, 471]",8.25,623174,7.0,6264.0,mouselab-mdp,,0
"[{u'Q': 12, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 20, u'9': -12, u'13': 4, u'5': 12}, u'state': [0, u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', -20, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[4244, 20830, 21732]","[u'1', u'1', u'2']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', -20, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, u'__', u'__', u'__', u'__', 4, u'__', u'__', u'__', -20, u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],"[9, 5, u'__TERM_ACTION__']","[0, 5, 6, 7]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [9, 5], u'time': [1690, 3103]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4244, 1069, 385]",-6.5,714618,8.0,7618.0,mouselab-mdp,,0
"[{u'Q': 20, u'action': u'__TERM_ACTION__', u'Qs': {u'1': 20, u'9': -12, u'13': 4, u'5': 20}, u'state': [0, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[2377, 18945, 19760]","[u'0', u'0', u'1']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 12, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],"[1, u'__TERM_ACTION__']","[0, 1, 2, 3]",[False],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [1], u'time': [1046]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[2377, 1061, 307]",10.75,922374,9.0,8818.0,mouselab-mdp,,0
"[{u'Q': -12, u'action': u'__TERM_ACTION__', u'Qs': {u'1': -12, u'9': 4, u'13': 20, u'5': -12}, u'state': [0, 4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], u'V': 20}]","[4442, 21106, 21867]","[u'0', u'0', u'3']","[[0, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', u'__', u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__'], [0, 4, u'__', u'__', u'__', 4, u'__', u'__', u'__', -12, u'__', u'__', u'__', u'__', u'__', u'__', u'__']]",,[15],[True],"[1, 9, 5, u'__TERM_ACTION__']","[0, 1, 2, 4]",[True],[False],"{u'mouseover': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}, u'click': {u'state': {u'target': [1, 9, 5], u'time': [1445, 2708, 3284]}, u'edge': {u'target': [], u'time': []}}, u'mouseout': {u'state': {u'target': [], u'time': []}, u'edge': {u'target': [], u'time': []}}}",,,"[4442, 1144, 252]",-15.75,997145,10.0,7003.0,mouselab-mdp,,0
