p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,,,,,,,"{""Q0"":""I tried to aviod the big decreases in money."",""Q1"":""I learned I probably didn't have to reveal as many spots to come out positive."",""Q2"":""26"",""Q3"":""male""}",45768,,1819253,,,survey-text,,0
,,,,,,,,,,,,,"{""Q0"":""Looked at end branch nodes for high value. I though there were less negative values than there were."",""Q1"":""Not really"",""Q2"":""61"",""Q3"":""Male""}",56138,,1144474,,,survey-text,,1
,,,,,,,,,,,,,"{""Q0"":""I click on everything and see which one is the best route"",""Q1"":""Hmm somewhat.."",""Q2"":""34"",""Q3"":""Male""}",40302,,1934760,,,survey-text,,2
,,,,,,,,,,,,,"{""Q0"":""I made my best route"",""Q1"":""I tried to learn from my mistakes"",""Q2"":""38"",""Q3"":""male""}",25352,,1105702,,,survey-text,,3
,,,,,,,,,,,,,"{""Q0"":""Guessing"",""Q1"":""Not at all.."",""Q2"":""29"",""Q3"":""Male""}",32873,,1060565,,,survey-text,,4
,,,,,,,,,,,,,"{""Q0"":""Choosing the potential for highest paying routes of course"",""Q1"":""Paying to choose every option might be the most cost productive"",""Q2"":""23"",""Q3"":""Male""}",110188,,1402461,,,survey-text,,5
,,,,,,,,,,,,,"{""Q0"":""Completely random. My decisions didn't have any influence on the final outcome."",""Q1"":""No"",""Q2"":""30"",""Q3"":""female""}",43756,,971301,,,survey-text,,6
,,,,,,,,,,,,,"{""Q0"":"""",""Q1"":"""",""Q2"":""26"",""Q3"":""male""}",10524,,1244742,,,survey-text,,7
,,,,,,,,,,,,,"{""Q0"":""IT WAS RANDOM"",""Q1"":""NOT REALLY"",""Q2"":""54"",""Q3"":""FEMALE""}",40225,,998787,,,survey-text,,8
,,,,,,,,,,,,,"{""Q0"":""I revealed most or all of the spots and tried to pick the best route."",""Q1"":""Not really."",""Q2"":""36"",""Q3"":""Male""}",42563,,1041212,,,survey-text,,9
,,,,,,,,,,,,,"{""Q0"":""I tried to select the first route that had a good enough profit to avoid paying to look at every option."",""Q1"":""I learned that I shouldn't look at every option, I get the most profit when I take the 1st good-enough option."",""Q2"":""28"",""Q3"":""female""}",94251,,1076999,,,survey-text,,10
,,,,,,,,,,,,,"{""Q0"":""I picked the ending spot with the highest award and worked backward."",""Q1"":""I tried to just move the plane without looking but that was not smart."",""Q2"":""43"",""Q3"":""Male""}",58885,,1350226,,,survey-text,,11
,,,,,,,,,,,,,"{""Q0"":""I calculated the best route that would earn most money."",""Q1"":""no"",""Q2"":""46"",""Q3"":""female""}",46623,,1199737,,,survey-text,,12
,,,,,,,,,,,,,"{""Q0"":""I tried to maximize my profit by finding the most profitable course in the fewest clicks."",""Q1"":""Yes, I eventually altered my strategy."",""Q2"":""39"",""Q3"":""female""}",122465,,1474403,,,survey-text,,14
,,,,,,,,,,,,,"{""Q0"":""I tried to minimize my cost and do my best guessing"",""Q1"":""No, my performance did not get better"",""Q2"":""41"",""Q3"":""male""}",43862,,1527664,,,survey-text,,15
,,,,,,,,,,,,,"{""Q0"":""Checked which paid more"",""Q1"":""no"",""Q2"":""29"",""Q3"":""Female""}",43226,,1197482,,,survey-text,,17
,,,,,,,,,,,,,"{""Q0"":""If the first point I looked at was good I checked a second one on that route.  If it didn't I tried another one."",""Q1"":""No."",""Q2"":""32"",""Q3"":""male""}",93144,,1362872,,,survey-text,,18
,,,,,,,,,,,,,"{""Q0"":""Randomly"",""Q1"":""No"",""Q2"":""37"",""Q3"":""Female""}",30008,,1166934,,,survey-text,,21
,,,,,,,,,,,,,"{""Q0"":""clicked on however many dots i needed to determine the smartest route"",""Q1"":""there were only used $4, $12, and $20 options so that helped with process of choosing "",""Q2"":""26"",""Q3"":""female""}",60729,,1105082,,,survey-text,,22
,,,,,,,,,,,,,"{""Q0"":""Randomly click 3-4 location, and see the values associated to them, avoid possible negative values"",""Q1"":""Yes."",""Q2"":""47"",""Q3"":""Male""}",99435,,1613505,,,survey-text,,23
,,,,,,,,,,,,,"{""Q0"":""At first I tried to see which route might be cheaper."",""Q1"":""I realized I spent too much money looking for a path and just trusted my gut."",""Q2"":""40"",""Q3"":""Male""}",48894,,1105291,,,survey-text,,24
,,,,,,,,,,,,,"{""Q0"":""I would click on a location to determine its value and decide from there."",""Q1"":""Yes, sometimes its best to spend to reveal value and go from there."",""Q2"":""39"",""Q3"":""Male""}",76425,,951858,,,survey-text,,25
,,,,,,,,,,,,,"{""Q0"":""I had no strategy"",""Q1"":""I learned to stop having the numbers be shown to me."",""Q2"":""43"",""Q3"":""Female""}",35359,,1026408,,,survey-text,,26
,,,,,,,,,,,,,"{""Q0"":""Looking for the most money."",""Q1"":""Yes, to use my value check more often. "",""Q2"":""22"",""Q3"":""Female""}",31771,,1393594,,,survey-text,,28
,,,,,,,,,,,,,"{""Q0"":""I didn't plan it out, I just went with the route that appeared to be giving me positive points."",""Q1"":""Stop while you're ahead."",""Q2"":""33"",""Q3"":""Male""}",69297,,1307926,,,survey-text,,29
,,,,,,,,,,,,,"{""Q0"":""find a positive end value"",""Q1"":""look at fewer spots"",""Q2"":""45"",""Q3"":""f""}",33229,,960875,,,survey-text,,30
,,,,,,,,,,,,,"{""Q0"":""I felt like it was tricky and there was no method to succeeding "",""Q1"":""no it was frustrating and I felt like the last six rounds made it impossible to come out ahead"",""Q2"":""28"",""Q3"":""female""}",47825,,1155212,,,survey-text,,31
,,,,,,,,,,,,,"{""Q0"":""At first I did it randomly but then I kept losing money, so I started looking at the pay for each spot and kept losing money."",""Q1"":""No, no matter what I did was losing money."",""Q2"":""21"",""Q3"":""female""}",51644,,1367524,,,survey-text,,32
,,,,,,,,,,,,,"{""Q0"":""At first I just checked the value of every spot. Later I noticed the values capped at +/-$20 so I didn't need to click every one to tell if a path was clearly bad."",""Q1"":""I noticed a trend of the optimal path having a net total of +$20 for most of them. Later ones threw that out the window though. Mostly once I saw a path had two negatives I gave up on it, since no reward from the remaining would possibly make it the best."",""Q2"":""48"",""Q3"":""Female""}",254783,,1197693,,,survey-text,,33
,,,,,,,,,,,,,"{""Q0"":""For the most part I checked all of the hidden costs/bonuses. It was cheap enough that it was worth it to get the best route. I only stopped when I thought I couldn't do better. "",""Q1"":""I think it is worthwhile to get the information because you will gain a lot more in the end. "",""Q2"":""39"",""Q3"":""female""}",59884,,1087260,,,survey-text,,34
,,,,,,,,,,,,,"{""Q0"":""Basically started at 3 o'clock and based on money I would either stay or move. "",""Q1"":""No real way to plan as everything is chance. Tried to go opposite but that did not seem to work. "",""Q2"":""46"",""Q3"":""Male""}",76331,,1261795,,,survey-text,,35
,,,,,,,,,,,,,"{""Q0"":""I had no game plan"",""Q1"":""No, not at all"",""Q2"":""30"",""Q3"":""Female""}",34144,,1094529,,,survey-text,,36
